"決算年度","決算四半期","売上高","売上原価","売上総利益","売上総利益率","販管費","営業利益","営業利益率","EBITDA","経常利益","法人税等","実質実効税率","親会社に帰属する純利益","純利益率","EPS","BPS","企業価値","時価総額","純有利子負債","PER（会予）","PBR","PER × PBR","EV/EBITDA（会予）","PSR","PCFR","一株当たり配当金","配当利回り（実績）","配当性向","自己資本配当率","ROE","総資産回転率","財務レバレッジ","実質ROE","ROIC","ROA","総資産","流動資産","現金及び預金","現金/総資産","現金/月間売上","現金/時価総額","売掛金および受取手形","製品および仕掛品","流動比率","固定資産","負債","流動負債","買掛金および支払手形","固定負債","有利子負債","D/Eレシオ","ネットD純利益倍率","自己株調整済負債比率","純資産","株主資本","自己資本","自己資本比率","資本金","利益剰余金","営業CF","減価償却費","のれん償却費","投資CF","財務CF","フリーCF","設備投資額","研究開発費","発行済株式総数","従業員数","売上/従業員数","営利/従業員数","株価"
"2020","4","1946728000000","-","-","-","-","-","-","-","394221000000","113124000000","28.8","280130000000","14.4","74.7","3033.0","-56780811935520","3988674064480","-60769486000000","14.8","0.4","5.2","-","-","13.1","50.0","4.7","66.9","1.6","2.5","0.01","19.7","2.2","-","0.1","223870673000000","-","60769486000000","27","375","1524","362212000000","-","-","-","212475846000000","-","-","-","-","-","-216.9","1674","11394827000000","9245904000000","11370088000000","5","3500000000000","2750234000000","9431212000000","35033000000","-","-247977000000","-79141000000","9390034000000","41178000000","-","3748753820","12451","156351136","-","1064"
"2019","4","1799544000000","-","-","-","-","-","-","-","379137000000","105680000000","27.9","273435000000","15.2","72.9","2399.0","-47927704832635","3737546167365","-51665251000000","13.8","0.4","5.8","-","-","12.2","50.0","5.02","68.5","2.1","3.0","0.01","23.5","2.7","-","0.1","210910882000000","-","51665251000000","24","345","1382","315812000000","-","-","-","201907626000000","-","-","-","-","-","-188.9","1959","9003256000000","9059245000000","8993311000000","4","3500000000000","2563840000000","2935966000000","36263000000","-","-1787359000000","-182265000000","2911641000000","24325000000","-","3748792545","12517","143767996","-","997"
"2018","4","1845413000000","-","-","-","-","-","-","-","373978000000","104090000000","28.1","266189000000","14.4","71.0","3029.6","-46138367895150","4532289104850","-50670657000000","17.4","0.4","7.0","-","-","15.4","50.0","4.14","70.4","1.7","2.3","0.01","18.4","2.1","-","0.1","208974134000000","-","50698686000000","24","330","1119","295679000000","-","-","-","197611768000000","-","-","-","28029000000","0.0","-190.4","1561","11362365000000","8973237000000","11357397000000","5","3500000000000","2477878000000","-1120727000000","33693000000","-","2713730000000","-182940000000","-1170078000000","49351000000","-","3748791650","12821","143936744","-","1209"
"2017","4","2044940000000","-","-","-","-","-","-","-","499654000000","146192000000","29.3","352775000000","17.3","94.1","3073.2","-43743360031800","5353472968200","-49096833000000","15.3","0.5","7.1","-","-","13.8","50.0","3.5","53.1","1.6","3.1","0.01","18.3","2.8","-","0.2","210629821000000","-","49288314000000","23","289","921","278566000000","-","-","-","199108141000000","-","-","-","191481000000","0.0","-139.2","1553","11521680000000","8894730000000","11521217000000","5","3500000000000","2399162000000","-130411000000","37447000000","-","-1676182000000","-187324000000","-189057000000","58646000000","-","3748930650","13022","157037321","-","1428"
"2016","4","1897281000000","-","-","-","-","-","-","-","442085000000","128332000000","29.1","312264000000","16.5","83.3","3144.5","-46064019261850","5177577738150","-51241597000000","17.3","0.4","7.6","-","-","15.4","50.0","3.62","60.0","1.6","2.6","0.01","17.8","2.4","-","0.1","209568820000000","-","51281921000000","24","324","990","252214000000","-","-","-","197788782000000","-","-","-","40324000000","0.0","-164.1","1511","11789277000000","8729634000000","11789277000000","6","3500000000000","2233759000000","717488000000","35306000000","-","4876733000000","-187716000000","683653000000","33835000000","-","3749151150","12965","146338681","-","1381"
"2015","4","1968987000000","-","-","-","-","-","-","-","481998000000","155819000000","32.4","325069000000","16.5","86.7","3069.3","-40702045125000","5193022875000","-45895068000000","16.2","0.5","7.3","-","-","14.6","25.0","1.81","28.8","0.8","2.8","0.01","18.0","2.5","-","0.2","207056039000000","-","45895068000000","22","280","884","178509000000","-","-","-","195547888000000","-","-","-","-","-","-141.2","1527","11508150000000","8605256000000","11508150000000","6","3500000000000","2108969000000","3446036000000","36666000000","-","9952376000000","-184717000000","3404152000000","41884000000","-","3749475000","12905","152575513","-","1385"
"2014","4","2078179000000","-","-","-","-","-","-","-","569489000000","201599000000","35.3","369434000000","17.8","82.1","2584.5","-","-","-33301050000000","-","-","-","-","-","-","1478.0","-","60.0","57.2","3.2","0.01","17.9","2.9","-","0.2","208179309000000","-","33301050000000","16","192","-","122032000000","-","-","-","196549097000000","-","-","-","-","-","-90.1","1520","11630212000000","8464904000000","11630212000000","6","3500000000000","1968617000000","2849061000000","34601000000","-","12291787000000","-1393986000000","2812956000000","36105000000","-","4500000000","12889","161236636","-","-"
