"åàéZîNìx","åàéZélîºä˙","îÑè„çÇ","îÑè„å¥âø","îÑè„ëçóòâv","îÑè„ëçóòâvó¶","îÃä«îÔ","âcã∆óòâv","âcã∆óòâvó¶","EBITDA","åoèÌóòâv","ñ@êlê≈ìô","é¿éøé¿å¯ê≈ó¶","êeâÔé–Ç…ãAëÆÇ∑ÇÈèÉóòâv","èÉóòâvó¶","EPS","BPS","äÈã∆âøíl","éûâøëçäz","èÉóLóòéqïâç¬","PERÅiâÔó\Åj","PBR","PER Å~ PBR","EV/EBITDAÅiâÔó\Åj","PSR","PCFR","àÍäîìñÇΩÇËîzìñã‡","îzìñóòâÒÇËÅié¿ê—Åj","îzìñê´å¸","é©å»éëñ{îzìñó¶","ROE","ëçéëéYâÒì]ó¶","ç‡ñ±ÉåÉoÉåÉbÉW","é¿éøROE","ROIC","ROA","ëçéëéY","ó¨ìÆéëéY","åªã‡ãyÇ—óaã‡","åªã‡/ëçéëéY","åªã‡/åéä‘îÑè„","åªã‡/éûâøëçäz","îÑä|ã‡Ç®ÇÊÇ—éÛéÊéËå`","êªïiÇ®ÇÊÇ—édä|ïi","ó¨ìÆî‰ó¶","å≈íËéëéY","ïâç¬","ó¨ìÆïâç¬","îÉä|ã‡Ç®ÇÊÇ—éxï•éËå`","å≈íËïâç¬","óLóòéqïâç¬","D/EÉåÉVÉI","ÉlÉbÉgDèÉóòâvî{ó¶","é©å»äîí≤êÆçœïâç¬î‰ó¶","èÉéëéY","äîéÂéëñ{","é©å»éëñ{","é©å»éëñ{î‰ó¶","éëñ{ã‡","óòâvèËó]ã‡","âcã∆CF","å∏âøèûãpîÔ","ÇÃÇÍÇÒèûãpîÔ","ìäéëCF","ç‡ñ±CF","ÉtÉäÅ[CF","ê›îıìäéëäz","å§ãÜäJî≠îÔ","î≠çsçœäîéÆëçêî","è]ã∆àıêî","îÑè„/è]ã∆àıêî","âcóò/è]ã∆àıêî","äîâø"
"2021","4","354085000000","276306000000","77779000000","22.0","51932000000","25846000000","7.3","30110000000","28902000000","8335000000","26.8","21488000000","6.1","518.1","2723.3","95652736150","132300736150","-36648000000","-","1.2","-","-","-","31.0","156.0","4.89","30.1","5.7","19.0","1.62","1.9","19.0","12.4","9.8","218455000000","150990000000","64834000000","30","2","49","-","5736000000","188.3","67465000000","97575000000","80178000000","-","17396000000","28186000000","0.2","-1.7","81","120880000000","100564000000","112945000000","52","29065000000","67408000000","15770000000","4072000000","192000000","-6223000000","4218000000","10547000000","5223000000","-","41473585","-","-","-","3190"
"2020","4","336405000000","270518000000","65887000000","19.6","48135000000","17752000000","5.3","21364000000","18012000000","6631000000","37.2","10022000000","3.0","241.6","2069.0","93034698742","123842698742","-30808000000","-","1.4","-","-","-","34.3","93.0","2.81","38.5","4.5","11.7","1.91","2.0","9.9","10.6","5.7","175883000000","120530000000","49903000000","28","2","40","56436000000","7354000000","188.7","55352000000","83366000000","63886000000","-","19480000000","19095000000","0.2","-3.1","77","92516000000","82678000000","85811000000","49","29065000000","49488000000","15715000000","3423000000","189000000","-8402000000","6735000000","9303000000","6412000000","158000000","41474447","35760","9407299","496421","2986"
"2019","4","311871000000","257262000000","54608000000","17.5","43918000000","10689000000","3.4","13421000000","8954000000","3483000000","34.5","6279000000","2.0","151.4","1789.0","47795115548","79383115548","-31588000000","-","1.1","-","-","-","29.1","46.0","2.4","30.4","2.6","8.5","2.17","1.9","7.0","9.3","4.4","143985000000","96922000000","35012000000","24","1","44","49793000000","5564000000","152.8","47062000000","66015000000","63432000000","-","2583000000","3424000000","0.0","-5.0","71","77969000000","72669000000","74197000000","52","29065000000","41061000000","8093000000","2571000000","161000000","-6885000000","-2093000000","2549000000","5544000000","150000000","41474982","32666","9547266","327221","1914"
"2018","4","284696000000","237494000000","47202000000","16.6","41846000000","5355000000","1.9","8282000000","5394000000","4686000000","50.6","4433000000","1.6","106.9","1725.3","67179056114","89545056114","-22366000000","-","1.3","-","-","-","30.6","33.0","1.53","30.9","1.9","6.2","2.1","1.9","5.1","0.8","3.3","135268000000","89835000000","36032000000","27","2","40","44746000000","3988000000","186.7","45433000000","60353000000","48121000000","-","12232000000","13666000000","0.2","-5.0","67","74915000000","67847000000","71557000000","53","29065000000","36261000000","3889000000","2394000000","533000000","4344000000","-3165000000","-625000000","4514000000","158000000","41475246","30051","9473761","178197","2159"
"2017","4","266645000000","219377000000","47267000000","17.7","41175000000","6092000000","2.3","8831000000","1802000000","3052000000","292.3","-2176000000","-","-52.5","1630.4","96757271408","113809271408","-17052000000","-","1.7","-","-","-","41.6","23.0","0.84","-43.8","1.4","-","2.07","1.9","-","3.7","-","129067000000","82989000000","31937000000","25","1","28","42238000000","3551000000","183.6","46077000000","57867000000","45201000000","-","12666000000","14885000000","0.2","7.8","67","71199000000","65477000000","67622000000","52","29065000000","33381000000","7814000000","2220000000","519000000","-6658000000","-4049000000","3477000000","4337000000","-","41475682","24875","10719397","244905","2744"
"2016","4","242314000000","199411000000","42902000000","17.7","34822000000","8080000000","3.3","10421000000","6742000000","3039000000","28.7","7156000000","3.0","172.5","1969.7","90293979872","108501979872","-18208000000","-","1.3","-","-","-","46.3","52.0","1.99","30.1","2.6","8.8","1.69","1.8","7.4","5.2","5.0","143802000000","82283000000","33866000000","24","2","31","39967000000","2662000000","201.6","61518000000","58613000000","40812000000","-","17800000000","15658000000","0.2","-2.5","58","85188000000","70478000000","81696000000","57","29065000000","37737000000","8487000000","1856000000","485000000","-6199000000","-3300000000","5252000000","3235000000","-","41476292","18607","13022733","434245","2616"
"2015","4","224605000000","184231000000","40373000000","18.0","30648000000","9725000000","4.3","11746000000","8870000000","4349000000","36.0","7587000000","3.4","184.4","1967.3","101721737132","120285737132","-18564000000","-","1.5","-","-","-","59.5","56.0","1.92","30.4","2.8","9.4","1.6","1.7","7.8","5.6","5.4","140674000000","75787000000","33776000000","24","2","28","35908000000","1597000000","226.7","64887000000","56693000000","33431000000","-","23261000000","15212000000","0.2","-2.4","57","83981000000","66481000000","80930000000","58","29065000000","32842000000","3197000000","1750000000","271000000","-13935000000","12832000000","-211000000","3408000000","-","41137393","16401","13694592","592952","2924"
"2014","4","199178000000","162490000000","36687000000","18.4","27521000000","9166000000","4.6","10735000000","9603000000","3247000000","29.8","7349000000","3.7","178.6","1580.9","72580834235","104205834235","-31625000000","-","1.6","-","-","-","66.4","54.0","2.13","30.2","3.4","11.3","1.96","1.6","9.1","9.1","7.2","101551000000","69269000000","31880000000","31","2","31","31690000000","1112000000","208.7","32282000000","34155000000","33194000000","-","961000000","255000000","0.0","-4.3","41","67396000000","61120000000","65038000000","64","29065000000","27476000000","12177000000","1488000000","81000000","-8062000000","-3769000000","9828000000","2349000000","-","41139295","15995","12452516","573054","2533"
"2013","4","186503000000","151100000000","35403000000","19.0","25861000000","9541000000","5.1","11034000000","10082000000","2903000000","29.7","6289000000","3.4","152.9","1394.1","59596908440","87711908440","-28115000000","-","1.5","-","-","-","58.7","46.0","2.16","30.1","3.3","11.0","2.02","1.6","8.6","11.1","6.8","92173000000","66926000000","30521000000","33","2","35","31694000000","786000000","219.4","25246000000","31363000000","30511000000","-","851000000","2406000000","0.0","-4.5","41","60809000000","55753000000","57354000000","62","29065000000","22105000000","8921000000","1419000000","74000000","-4282000000","-8284000000","6798000000","2123000000","-","41140670","15189","12278820","628152","2132"
"2012","4","166335000000","137667000000","28668000000","17.2","21415000000","7253000000","4.4","8712000000","8507000000","3332000000","39.0","4919000000","3.0","119.6","1212.4","30233570290","55214570290","-24981000000","-","1.1","-","-","-","37.8","36.0","2.68","30.1","3.0","9.9","1.88","1.8","7.5","6.7","5.6","88420000000","63394000000","34025000000","38","2","62","25760000000","495000000","211.4","25026000000","35118000000","29986000000","-","5132000000","9044000000","0.2","-5.1","51","53301000000","50949000000","49884000000","56","29065000000","17297000000","8737000000","1374000000","85000000","-252000000","-11977000000","7219000000","1518000000","-","41143495","14447","11513463","502042","1342"
