"åàéZîNìx","åàéZélîºä˙","îÑè„çÇ","îÑè„å¥âø","îÑè„ëçóòâv","îÑè„ëçóòâvó¶","îÃä«îÔ","âcã∆óòâv","âcã∆óòâvó¶","EBITDA","åoèÌóòâv","ñ@êlê≈ìô","é¿éøé¿å¯ê≈ó¶","êeâÔé–Ç…ãAëÆÇ∑ÇÈèÉóòâv","èÉóòâvó¶","EPS","BPS","äÈã∆âøíl","éûâøëçäz","èÉóLóòéqïâç¬","PERÅiâÔó\Åj","PBR","PER Å~ PBR","EV/EBITDAÅiâÔó\Åj","PSR","PCFR","àÍäîìñÇΩÇËîzìñã‡","îzìñóòâÒÇËÅié¿ê—Åj","îzìñê´å¸","é©å»éëñ{îzìñó¶","ROE","ëçéëéYâÒì]ó¶","ç‡ñ±ÉåÉoÉåÉbÉW","é¿éøROE","ROIC","ROA","ëçéëéY","ó¨ìÆéëéY","åªã‡ãyÇ—óaã‡","åªã‡/ëçéëéY","åªã‡/åéä‘îÑè„","åªã‡/éûâøëçäz","îÑä|ã‡Ç®ÇÊÇ—éÛéÊéËå`","êªïiÇ®ÇÊÇ—édä|ïi","ó¨ìÆî‰ó¶","å≈íËéëéY","ïâç¬","ó¨ìÆïâç¬","îÉä|ã‡Ç®ÇÊÇ—éxï•éËå`","å≈íËïâç¬","óLóòéqïâç¬","D/EÉåÉVÉI","ÉlÉbÉgDèÉóòâvî{ó¶","é©å»äîí≤êÆçœïâç¬î‰ó¶","èÉéëéY","äîéÂéëñ{","é©å»éëñ{","é©å»éëñ{î‰ó¶","éëñ{ã‡","óòâvèËó]ã‡","âcã∆CF","å∏âøèûãpîÔ","ÇÃÇÍÇÒèûãpîÔ","ìäéëCF","ç‡ñ±CF","ÉtÉäÅ[CF","ê›îıìäéëäz","å§ãÜäJî≠îÔ","î≠çsçœäîéÆëçêî","è]ã∆àıêî","îÑè„/è]ã∆àıêî","âcóò/è]ã∆àıêî","äîâø"
"2021","4","3860283000000","3204371000000","655911000000","17.0","556727000000","-","-","-","173684000000","48029000000","27.7","113541000000","2.9","338.2","4696.4","1035275881940","1349532881940","-314257000000","13.5","0.9","11.6","-","0.4","5.7","100.0","2.49","29.6","2.1","7.2","0.75","3.2","7.2","-","2.2","5116340000000","2803126000000","314257000000","6","1","23","744466000000","798601000000","113.0","2313214000000","3453810000000","2480720000000","863281000000","973090000000","-","-","-2.8","208","1662529000000","1576611000000","1576611000000","31","265608000000","1099158000000","285563000000","135787000000","-","16306000000","-255774000000","156307000000","129256000000","-","335704697","-","-","-","4020"
"2020","4","3699946000000","3116464000000","583482000000","15.8","531383000000","-","-","-","49355000000","6153000000","12.5","40639000000","1.1","120.9","4064.7","913947664578","1159368664578","-245421000000","58.0","0.8","49.2","-","0.3","4.5","75.0","2.17","62.0","1.8","3.0","0.77","3.5","3.0","-","0.8","4810727000000","2454670000000","245421000000","5","1","21","655181000000","713498000000","104.7","2356056000000","3371337000000","2345260000000","763731000000","1026076000000","-","-","-6.0","233","1439390000000","1366342000000","1366343000000","28","265608000000","952528000000","-94948000000","238258000000","-","-182249000000","221737000000","-211506000000","116558000000","125727000000","336146322","79974","46264361","-","3449"
"2019","4","4041376000000","3331339000000","710036000000","17.6","583874000000","-","-","-","-32660000000","-139945000000","428.5","87123000000","2.2","259.4","3627.7","636060871425","917686871425","-281626000000","9.2","0.8","6.9","-","0.2","2.2","150.0","5.49","57.8","4.1","7.2","0.81","4.1","7.1","11.5","1.7","4985690000000","2838493000000","281626000000","6","1","31","611976000000","726228000000","101.1","2147196000000","3695614000000","2808742000000","824030000000","886871000000","-","-","-3.2","285","1290076000000","1218343000000","1218344000000","24","265608000000","886307000000","452564000000","323967000000","-","-239566000000","-204452000000","304449000000","148115000000","146864000000","335841490","81631","49507859","-","2733"
"2018","4","4078344000000","3309351000000","768992000000","18.9","538210000000","-","-","-","195059000000","57671000000","29.6","110271000000","2.7","328.5","4204.7","1260362991716","1543597991716","-283235000000","15.4","1.1","16.9","-","0.4","5.1","130.0","2.83","39.6","3.1","7.8","0.78","3.7","7.8","-","2.1","5240353000000","3159890000000","283235000000","5","1","18","717414000000","739820000000","121.7","2080463000000","3511660000000","2596790000000","862174000000","914870000000","-","-","-2.6","202","1728693000000","1411564000000","1411565000000","27","265608000000","869238000000","420349000000","202789000000","-","-161869000000","-271002000000","282937000000","137412000000","152199000000","335710742","80744","50509561","-","4598"
"2017","4","4085679000000","3367065000000","718613000000","17.6","545068000000","126530000000","3.1","422165000000","39232000000","22644000000","57.7","-7320000000","-","-21.8","4147.1","1882773704868","1368840704868","513933000000","17.1","1.0","16.8","4.0","0.3","3.6","66.0","2.95","-2781.6","1.6","-","0.78","3.8","-","4.7","-","5248756000000","3240925000000","299237000000","6","1","22","759902000000","1212813000000","122.2","2007831000000","3554891000000","2651558000000","801154000000","903332000000","813170000000","0.6","-70.2","209","1693865000000","1395537000000","1393409000000","27","265608000000","830057000000","405752000000","279151000000","16484000000","-238193000000","-112334000000","247299000000","158453000000","-","335994282","80652","50658124","1568839","4074"
"2016","4","3914018000000","3180898000000","733119000000","18.7","582576000000","150543000000","3.8","339873000000","124293000000","64440000000","38.0","87720000000","2.2","261.2","5299.1","2177267618944","1499742618944","677525000000","15.0","0.8","12.6","5.1","0.4","5.2","12.0","2.69","45.9","0.2","4.9","0.71","3.1","4.9","3.2","1.6","5481978000000","3522095000000","248040000000","5","1","17","1180143000000","1325550000000","139.4","1959883000000","3377860000000","2527262000000","736502000000","850598000000","925565000000","0.5","7.7","160","2104118000000","1679407000000","1779523000000","32","265608000000","1214749000000","95913000000","172762000000","16568000000","8712000000","-162078000000","-114598000000","210511000000","-","335813394","82728","47311890","1819735","4466"
"2015","4","4046810000000","3184596000000","862213000000","21.3","552707000000","309506000000","7.6","479628000000","272500000000","56031000000","42.2","63834000000","1.6","190.1","5003.0","2145398954318","1403773954318","741625000000","15.6","0.8","13.0","4.6","0.3","5.4","12.0","2.87","63.1","0.2","3.8","0.74","3.3","3.8","9.3","1.2","5500712000000","3529792000000","310523000000","6","1","22","1200852000000","1335997000000","135.7","1970920000000","3500975000000","2600378000000","763761000000","900596000000","1052148000000","0.6","11.6","175","1999737000000","1637842000000","1679761000000","31","265608000000","1173053000000","270002000000","158706000000","11416000000","-262479000000","-23106000000","26751000000","243251000000","-","335750766","83932","48215341","3687580","4181"
"2014","4","3992110000000","3161157000000","830953000000","20.8","534812000000","296140000000","7.4","465087000000","274787000000","101143000000","43.5","110412000000","2.8","329.0","5306.5","2830745532051","2222573532051","608172000000","22.2","1.2","27.7","6.6","0.6","8.3","11.0","1.66","33.4","0.2","6.2","0.72","3.1","6.2","7.1","2.0","5520357000000","3552002000000","367415000000","7","1","17","1291278000000","1324861000000","146.2","1968354000000","3400342000000","2429232000000","794780000000","971109000000","975587000000","0.5","5.5","160","2120014000000","1612668000000","1780768000000","32","265608000000","1148268000000","212834000000","157010000000","11937000000","-174149000000","-45872000000","36791000000","176043000000","-","335584106","81845","48776468","3618303","6623"
"2013","4","3349598000000","2695898000000","653700000000","19.5","447581000000","206118000000","6.2","346880000000","183159000000","49442000000","23.1","160428000000","4.8","478.1","4599.9","2579556334943","2003125334943","576431000000","13.4","1.3","17.3","7.8","0.6","6.9","8.0","1.34","16.7","0.2","10.4","0.69","3.2","10.4","6.3","3.3","4886035000000","3180861000000","381056000000","8","1","19","1188928000000","1150900000000","139.2","1705174000000","3111812000000","2285278000000","760444000000","826533000000","957487000000","0.6","3.6","175","1774223000000","1495573000000","1543400000000","32","265608000000","1031371000000","296216000000","134970000000","5792000000","-151555000000","-136669000000","4410000000","291806000000","-","335531882","80583","41567055","2557835","5970"
"2012","4","2817893000000","2297072000000","520821000000","18.5","357300000000","163520000000","5.8","283012000000","149028000000","59139000000","38.0","97330000000","3.5","290.1","4109.0","2497901241625","1795028241625","702873000000","25.6","1.3","33.4","9.4","0.6","9.5","8.0","1.5","27.6","0.2","7.1","0.72","2.9","7.0","4.3","2.5","3935119000000","2624824000000","328365000000","8","1","18","931469000000","1009835000000","155.0","1310294000000","2504893000000","1693822000000","663451000000","811070000000","1031238000000","0.7","7.2","174","1430225000000","1365568000000","1378650000000","35","265608000000","901397000000","288375000000","118557000000","935000000","-76737000000","-154215000000","169507000000","118868000000","-","335519298","68213","41310205","2397197","5350"
