"åàéZîNìx","åàéZélîºä˙","îÑè„çÇ","îÑè„å¥âø","îÑè„ëçóòâv","îÑè„ëçóòâvó¶","îÃä«îÔ","âcã∆óòâv","âcã∆óòâvó¶","EBITDA","åoèÌóòâv","ñ@êlê≈ìô","é¿éøé¿å¯ê≈ó¶","êeâÔé–Ç…ãAëÆÇ∑ÇÈèÉóòâv","èÉóòâvó¶","EPS","BPS","äÈã∆âøíl","éûâøëçäz","èÉóLóòéqïâç¬","PERÅiâÔó\Åj","PBR","PER Å~ PBR","EV/EBITDAÅiâÔó\Åj","PSR","PCFR","àÍäîìñÇΩÇËîzìñã‡","îzìñóòâÒÇËÅié¿ê—Åj","îzìñê´å¸","é©å»éëñ{îzìñó¶","ROE","ëçéëéYâÒì]ó¶","ç‡ñ±ÉåÉoÉåÉbÉW","é¿éøROE","ROIC","ROA","ëçéëéY","ó¨ìÆéëéY","åªã‡ãyÇ—óaã‡","åªã‡/ëçéëéY","åªã‡/åéä‘îÑè„","åªã‡/éûâøëçäz","îÑä|ã‡Ç®ÇÊÇ—éÛéÊéËå`","êªïiÇ®ÇÊÇ—édä|ïi","ó¨ìÆî‰ó¶","å≈íËéëéY","ïâç¬","ó¨ìÆïâç¬","îÉä|ã‡Ç®ÇÊÇ—éxï•éËå`","å≈íËïâç¬","óLóòéqïâç¬","D/EÉåÉVÉI","ÉlÉbÉgDèÉóòâvî{ó¶","é©å»äîí≤êÆçœïâç¬î‰ó¶","èÉéëéY","äîéÂéëñ{","é©å»éëñ{","é©å»éëñ{î‰ó¶","éëñ{ã‡","óòâvèËó]ã‡","âcã∆CF","å∏âøèûãpîÔ","ÇÃÇÍÇÒèûãpîÔ","ìäéëCF","ç‡ñ±CF","ÉtÉäÅ[CF","ê›îıìäéëäz","å§ãÜäJî≠îÔ","î≠çsçœäîéÆëçêî","è]ã∆àıêî","îÑè„/è]ã∆àıêî","âcóò/è]ã∆àıêî","äîâø"
"2021","4","10264602000000","7705981000000","2558621000000","24.9","1820385000000","-","-","-","839333000000","168469000000","20.1","583470000000","5.7","603.2","4488.9","7784477901740","5963010901740","1821467000000","10.8","1.4","14.9","6.2","0.6","5.5","125.0","2.03","20.7","2.8","13.4","0.74","3.2","13.4","-","4.2","13887502000000","6599431000000","968827000000","7","1","16","2978149000000","2042432000000","112.7","7288071000000","8532225000000","5854066000000","1754633000000","2678159000000","2790294000000","0.6","3.1","159","5355277000000","4341836000000","4341836000000","31","461731000000","3197725000000","729943000000","540252000000","-","-1048866000000","202739000000","290082000000","439861000000","-","967236156","-","-","-","6165"
"2020","4","8729196000000","6533890000000","2195306000000","25.1","1700126000000","-","-","-","844443000000","325247000000","38.5","501613000000","5.7","518.8","3646.5","5945092707912","4838014707912","1107078000000","13.1","1.4","17.9","6.5","0.6","5.6","105.0","2.1","20.2","2.9","14.2","0.74","3.4","14.2","-","4.2","11852853000000","5943300000000","1015886000000","9","1","21","2734476000000","1653395000000","129.3","5909553000000","7394621000000","4596930000000","1515954000000","2797691000000","2122964000000","0.6","2.2","166","4458232000000","3525502000000","3525502000000","30","460790000000","2710604000000","793128000000","491663000000","-","-458840000000","-184838000000","433328000000","359800000000","293500000000","966829478","350864","24879144","-","5004"
"2019","4","8767263000000","6396895000000","2370368000000","27.0","1708485000000","-","-","-","180268000000","51246000000","28.4","87596000000","1.0","90.7","3270.4","3478334060248","3036860060248","441474000000","30.4","1.0","29.2","-","0.3","5.7","95.0","3.02","104.8","2.9","2.8","0.88","3.1","2.8","-","0.9","9930081000000","5217589000000","812331000000","8","1","27","2260205000000","1408937000000","139.8","4712492000000","5663342000000","3733178000000","1270668000000","1930164000000","1253805000000","0.4","5.0","133","4266739000000","3159986000000","3159986000000","32","459862000000","2296208000000","560920000000","433158000000","-","-525826000000","2837000000","62624000000","498296000000","293700000000","966229736","301056","29121702","-","3143"
"2018","4","9480619000000","6964635000000","2515984000000","26.5","1761008000000","-","-","-","516502000000","186344000000","36.1","222546000000","2.3","230.2","3375.0","3477518820000","3465590820000","11928000000","19.3","1.1","20.5","3.1","0.4","6.3","58.0","2.51","112.1","1.7","6.8","0.98","3.0","6.8","-","2.3","9626592000000","5035793000000","807593000000","8","1","23","2399933000000","1356762000000","139.7","4590799000000","5212189000000","3605560000000","1406012000000","1606629000000","819521000000","0.3","0.1","118","4414403000000","3262603000000","3262603000000","34","458790000000","2287587000000","610025000000","368044000000","-","-162872000000","-320426000000","104825000000","505200000000","323100000000","966692000","295941","32035504","-","3585"
"2017","4","9368610000000","6866520000000","2502090000000","26.7","1916080000000","586012000000","6.3","950444000000","638646000000","131708000000","20.6","362988000000","3.9","375.5","3391.0","4077963280400","3725633280400","352330000000","12.4","1.1","14.1","4.0","0.4","5.6","15.0","1.95","20.0","0.4","11.1","0.93","3.1","11.1","10.5","3.6","10106600000000","5151800000000","697964000000","7","1","19","2501410000000","1375230000000","135.7","4954800000000","5594930000000","3795390000000","1536980000000","1799540000000","1050294000000","0.3","1.0","124","4511670000000","3278020000000","3278020000000","32","458790000000","2105400000000","727168000000","364432000000","-","-474328000000","-321454000000","286856000000","440312000000","333000000000","966692600","307275","30489334","1907126","3854"
"2016","4","9162260000000","6782680000000","2379590000000","26.0","1838100000000","541483000000","5.9","956666000000","469091000000","125112000000","26.7","231261000000","2.5","239.2","3069.3","3323522457500","2912161457500","411361000000","14.6","1.0","14.3","3.4","0.3","4.7","13.0","2.16","27.2","0.4","7.8","0.95","3.3","7.8","10.0","2.4","9663920000000","5002610000000","765242000000","8","1","26","2433150000000","1225910000000","134.4","4661310000000","5566920000000","3720860000000","1402230000000","1846060000000","1176603000000","0.4","1.8","136","4097000000000","2967090000000","2967090000000","31","458790000000","1793570000000","629582000000","415183000000","-","-337955000000","-209536000000","212432000000","417150000000","324000000000","966692600","303887","30150220","1781856","3013"
"2015","4","10034300000000","7459070000000","2575230000000","25.7","2024710000000","550527000000","5.5","1058317000000","517040000000","165206000000","32.0","172155000000","1.7","178.3","2832.4","5447683260183","2542538260183","2905145000000","10.6","0.9","9.8","4.8","0.3","3.4","12.0","2.28","33.7","0.4","6.3","0.8","4.6","6.3","6.1","1.4","12551000000000","5872560000000","699315000000","6","1","28","2992770000000","1299860000000","117.6","6678450000000","8425440000000","4994220000000","1451920000000","3431220000000","3604460000000","1.3","16.9","204","4125570000000","2735080000000","2735080000000","22","458790000000","1609760000000","812226000000","507790000000","-","-730799000000","-26467000000","326294000000","485932000000","334000000000","965643092","335244","29931334","1642168","2633"
"2014","4","9774930000000","7198230000000","2576700000000","26.4","2093740000000","482959000000","4.9","963980000000","518994000000","122075000000","23.5","217482000000","2.2","225.2","3046.7","6830531215137","3974884215137","2855647000000","15.9","1.4","21.5","6.4","0.4","5.4","12.0","1.46","26.6","0.4","7.4","0.79","4.2","7.4","5.6","1.7","12433700000000","5882410000000","701703000000","6","1","18","2870040000000","1458120000000","123.1","6551320000000","8137390000000","4779480000000","1426520000000","3357910000000","3557350000000","1.2","13.1","189","4296340000000","2942280000000","2942280000000","24","458790000000","1477520000000","451825000000","481021000000","-","-612545000000","233206000000","-35124000000","486949000000","335000000000","965715310","336670","29034158","1434517","4116"
"2013","4","9616200000000","7083360000000","2532840000000","26.3","2000030000000","532811000000","5.5","988196000000","568182000000","204152000000","35.9","264975000000","2.8","274.4","2745.1","5730375887468","3679702887468","2050673000000","17.1","1.4","23.8","5.9","0.4","5.5","10.5","1.38","19.1","0.4","10.0","0.87","4.2","10.0","6.2","2.4","11016900000000","5703870000000","558217000000","5","1","15","3060890000000","1407060000000","132.9","5313030000000","7164440000000","4290770000000","1350210000000","2873670000000","2608890000000","1.0","7.7","186","3852460000000","2651240000000","2651240000000","24","458790000000","1587390000000","439406000000","455385000000","-","-491363000000","32968000000","-64464000000","503870000000","351000000000","965801283","323919","29687051","1644890","3810"
"2012","4","9041070000000","6743990000000","2297080000000","25.4","1875050000000","422028000000","4.7","840047000000","344537000000","106816000000","31.0","175326000000","1.9","181.5","2155.6","4563313624366","2622969624366","1940344000000","-","1.3","-","-","-","6.3","10.0","1.84","27.6","0.5","8.4","0.92","4.7","8.4","6.9","1.8","9809230000000","5190140000000","527632000000","5","1","20","2723810000000","1577825000000","130.9","4619090000000","6629940000000","3964140000000","1234860000000","2665800000000","2467976000000","1.2","11.1","208","3179290000000","2082560000000","2082560000000","21","458790000000","1370720000000","583508000000","418019000000","-","-553457000000","-180445000000","95935000000","487573000000","341000000000","966102992","326240","27712941","1293612","2715"
