"åàéZîNìx","åàéZélîºä˙","îÑè„çÇ","îÑè„å¥âø","îÑè„ëçóòâv","îÑè„ëçóòâvó¶","îÃä«îÔ","âcã∆óòâv","âcã∆óòâvó¶","EBITDA","åoèÌóòâv","ñ@êlê≈ìô","é¿éøé¿å¯ê≈ó¶","êeâÔé–Ç…ãAëÆÇ∑ÇÈèÉóòâv","èÉóòâvó¶","EPS","BPS","äÈã∆âøíl","éûâøëçäz","èÉóLóòéqïâç¬","PERÅiâÔó\Åj","PBR","PER Å~ PBR","EV/EBITDAÅiâÔó\Åj","PSR","PCFR","àÍäîìñÇΩÇËîzìñã‡","îzìñóòâÒÇËÅié¿ê—Åj","îzìñê´å¸","é©å»éëñ{îzìñó¶","ROE","ëçéëéYâÒì]ó¶","ç‡ñ±ÉåÉoÉåÉbÉW","é¿éøROE","ROIC","ROA","ëçéëéY","ó¨ìÆéëéY","åªã‡ãyÇ—óaã‡","åªã‡/ëçéëéY","åªã‡/åéä‘îÑè„","åªã‡/éûâøëçäz","îÑä|ã‡Ç®ÇÊÇ—éÛéÊéËå`","êªïiÇ®ÇÊÇ—édä|ïi","ó¨ìÆî‰ó¶","å≈íËéëéY","ïâç¬","ó¨ìÆïâç¬","îÉä|ã‡Ç®ÇÊÇ—éxï•éËå`","å≈íËïâç¬","óLóòéqïâç¬","D/EÉåÉVÉI","ÉlÉbÉgDèÉóòâvî{ó¶","é©å»äîí≤êÆçœïâç¬î‰ó¶","èÉéëéY","äîéÂéëñ{","é©å»éëñ{","é©å»éëñ{î‰ó¶","éëñ{ã‡","óòâvèËó]ã‡","âcã∆CF","å∏âøèûãpîÔ","ÇÃÇÍÇÒèûãpîÔ","ìäéëCF","ç‡ñ±CF","ÉtÉäÅ[CF","ê›îıìäéëäz","å§ãÜäJî≠îÔ","î≠çsçœäîéÆëçêî","è]ã∆àıêî","îÑè„/è]ã∆àıêî","âcóò/è]ã∆àıêî","äîâø"
"2021","4","5515512000000","4714024000000","801488000000","14.5","460449000000","341179000000","6.2","687705000000","384808000000","96054000000","25.0","263901000000","4.8","345.7","5632.4","6852001095720","5999758095720","852243000000","19.9","1.4","27.8","9.2","1.1","9.3","165.0","2.1","47.7","2.9","6.1","0.74","1.7","6.1","4.1","3.6","7432271000000","3168814000000","867808000000","12","2","14","1120781000000","1032161000000","186.1","4263457000000","2942745000000","1702545000000","1131375000000","1240200000000","1720051000000","0.4","3.2","66","4489526000000","4299357000000","4299357000000","58","187457000000","3017660000000","395637000000","346526000000","-","-301579000000","-159536000000","23493000000","372144000000","-","763328002","-","-","-","7860"
"2020","4","4936725000000","4275239000000","661486000000","13.4","514492000000","155107000000","3.1","490685000000","193753000000","45658000000","23.6","125055000000","2.5","161.4","5021.5","5649778537194","5692951537194","-43173000000","50.8","1.5","74.4","11.6","1.2","12.7","140.0","1.91","86.7","2.8","3.2","0.73","1.7","3.2","2.3","1.8","6767684000000","2789736000000","897395000000","13","2","16","1028821000000","726159000000","186.1","3977948000000","2690967000000","1498659000000","1014406000000","1192308000000","854222000000","0.2","-0.3","65","4076717000000","3891012000000","3891012000000","57","187457000000","2796451000000","437235000000","335578000000","-","-395903000000","238657000000","62958000000","374277000000","492012000000","774867502","168391","29317036","921112","7347"
"2019","4","5153476000000","4423876000000","729600000000","14.2","668509000000","61078000000","1.2","373966000000","89631000000","5009000000","5.6","68099000000","1.3","87.9","4384.1","2572627934529","2705071934529","-132444000000","12.0","0.8","9.6","4.3","0.5","5.0","140.0","4.01","159.3","3.2","2.0","0.91","1.7","2.0","1.5","1.2","5651801000000","2346318000000","597816000000","11","1","22","885461000000","651670000000","164.9","3305483000000","2092932000000","1423067000000","891949000000","669865000000","465372000000","0.1","-1.9","58","3558869000000","3397136000000","3397136000000","60","187457000000","2767466000000","595320000000","312888000000","-","-447390000000","-240948000000","158868000000","436452000000","507827000000","774870219","170932","30149276","357323","3491"
"2018","4","5362772000000","4531872000000","830900000000","15.5","513323000000","316196000000","5.9","603513000000","356031000000","76422000000","21.5","254524000000","4.7","328.5","4640.4","3183688062002","3345128062002","-161440000000","11.3","0.9","10.5","4.8","0.6","5.7","140.0","3.24","42.6","3.0","7.1","0.93","1.6","7.0","5.8","4.4","5792414000000","2612310000000","711638000000","12","2","21","1009049000000","612539000000","201.9","3180104000000","2022048000000","1293947000000","939550000000","728101000000","550198000000","0.2","-0.6","53","3770366000000","3595694000000","3595694000000","62","187457000000","2794682000000","533487000000","287317000000","-","-514700000000","-92240000000","85487000000","448000000000","497417000000","774873306","171992","31180357","1838434","4317"
"2017","4","5108290000000","4254600000000","853693000000","16.7","441017000000","412676000000","8.1","681302000000","449903000000","106459000000","23.7","320561000000","6.3","411.1","4614.9","4228498981180","4537986981180","-309488000000","14.8","1.3","18.7","6.4","0.9","7.9","130.0","2.23","31.6","2.8","8.9","0.89","1.6","8.8","7.5","5.6","5764420000000","2563830000000","783338000000","14","2","17","993549000000","550291000000","198.7","3200580000000","1990120000000","1290340000000","923272000000","699788000000","473850000000","0.1","-1.0","52","3774290000000","3598320000000","3598318000000","62","187457000000","2674140000000","558001000000","268626000000","-","-529053000000","-40312000000","190001000000","368000000000","447000000000","779722849","168813","30260051","2444575","5820"
"2016","4","4527150000000","3769530000000","757616000000","16.7","427065000000","330551000000","7.3","571674000000","360858000000","86963000000","24.1","257619000000","5.7","327.8","4215.5","3516493001174","3848315001174","-331822000000","18.0","1.2","20.9","6.5","0.9","8.5","120.0","2.45","36.6","2.8","7.8","0.88","1.6","7.7","6.7","5.0","5150760000000","2332050000000","682077000000","13","2","18","740048000000","485867000000","211.3","2818710000000","1703680000000","1103810000000","562580000000","599869000000","350255000000","0.1","-1.3","49","3447080000000","3312720000000","3312722000000","64","187457000000","2436030000000","467779000000","241123000000","-","-108037000000","-240526000000","123779000000","344000000000","409000000000","785851542","154493","29303269","2139586","4897"
"2015","4","4524520000000","3747310000000","777211000000","17.2","461483000000","315728000000","7.0","552573000000","347293000000","86728000000","25.0","244251000000","5.4","308.1","3940.0","3575531239116","3586589239116","-11058000000","14.5","1.1","16.6","6.3","0.8","7.4","120.0","2.65","38.9","3.0","7.8","0.9","1.6","7.2","6.3","4.8","5042900000000","2397210000000","503530000000","10","1","14","699377000000","476574000000","190.7","2645680000000","1787860000000","1257350000000","525589000000","530516000000","492472000000","0.2","-0.0","51","3255040000000","3123580000000","3123583000000","62","187457000000","2492760000000","552862000000","236845000000","-","-544834000000","-104663000000","208862000000","344000000000","399000000000","792791609","151775","29810707","2080237","4524"
"2014","4","4309790000000","3552190000000","757595000000","17.6","426219000000","331376000000","7.7","551488000000","371915000000","95206000000","25.6","258382000000","6.0","323.9","4171.7","4322567300088","4373772300088","-51205000000","16.6","1.3","21.8","7.5","1.0","9.0","110.0","2.01","34.0","2.6","7.8","0.82","1.6","7.3","6.3","4.9","5283260000000","2332210000000","498405000000","9","1","11","688670000000","479527000000","226.7","2951050000000","1809050000000","1028690000000","518244000000","780358000000","447200000000","0.1","-0.2","49","3474210000000","3327940000000","3327789000000","63","187457000000","2390870000000","383156000000","220112000000","-","-111504000000","-135686000000","18156000000","365000000000","396000000000","797696936","146714","29375452","2258653","5483"
"2013","4","4094960000000","3341834000000","754091000000","18.4","376395000000","377696000000","9.2","576487000000","419571000000","113033000000","27.0","287388000000","7.0","360.5","3376.1","3772810296884","3944685296884","-171875000000","-","1.5","-","-","-","19.8","105.0","2.12","29.1","3.1","10.7","0.92","1.7","9.9","8.5","6.5","4442507000000","2341647000000","607618000000","14","2","15","644559000000","422425000000","227.1","2100860000000","1619161000000","1031016000000","493933000000","588145000000","435743000000","0.2","-0.6","53","2823346000000","2421072000000","2691491000000","61","187457000000","2184238000000","462799000000","197174000000","1617000000","-390318000000","-154976000000","147909000000","314890000000","-","797228233","139842","29282762","2700877","4948"
"2012","4","3580923000000","3007614000000","573309000000","16.0","310933000000","262376000000","7.3","443848000000","296017000000","84090000000","29.8","181682000000","5.1","228.4","2891.4","3012381618815","3170013618815","-157632000000","21.1","1.4","29.1","7.8","0.9","9.6","64.0","1.61","28.0","2.2","7.9","0.9","1.7","7.2","6.4","4.6","3979093000000","2281886000000","665152000000","17","2","21","586312000000","370662000000","234.4","1697207000000","1552232000000","973546000000","456603000000","578686000000","507520000000","0.2","-0.9","59","2426861000000","2164098000000","2300064000000","58","187457000000","1933814000000","374775000000","181132000000","340000000","-269183000000","-98519000000","148369000000","226406000000","-","795486479","132276","27071600","1983550","3985"
"2011","4","3154630000000","2719890000000","434740000000","13.8","274008000000","160732000000","5.1","341380000000","180754000000","61324000000","37.5","89298000000","2.8","110.8","2492.9","2151461464080","2228316464080","-76855000000","27.2","1.1","30.1","6.8","0.7","8.5","46.0","1.66","41.5","1.8","4.4","0.87","1.8","4.0","3.9","2.5","3607697000000","2120108000000","599955000000","17","2","27","585137000000","324513000000","260.7","1487589000000","1490496000000","813342000000","457782000000","677154000000","523100000000","0.3","-0.9","64","2117201000000","2048011000000","2009044000000","56","187457000000","1792428000000","176682000000","180648000000","-","-271239000000","78819000000","3213000000","173469000000","-","805901072","-","-","-","2765"
"2010","4","3131460000000","2661963000000","469497000000","15.0","281166000000","188331000000","6.0","381413000000","207228000000","52771000000","24.9","143033000000","4.6","177.5","2435.1","2103412541880","2224192541880","-120780000000","16.6","1.1","18.8","5.5","0.7","6.8","46.0","1.67","25.9","1.9","7.3","0.93","1.7","6.6","5.7","4.2","3380433000000","1864511000000","520380000000","15","2","23","486722000000","288736000000","235.3","1515922000000","1307990000000","792471000000","394801000000","515519000000","399600000000","0.2","-0.8","58","2072443000000","1996497000000","1962399000000","58","187457000000","1741008000000","395527000000","193082000000","-","-327886000000","-44773000000","251539000000","143988000000","-","805866863","-","-","-","2760"
"2009","4","2976709000000","2559993000000","416716000000","14.0","280076000000","136640000000","4.6","374584000000","152672000000","67602000000","46.0","73427000000","2.5","91.1","2378.2","2079310154105","2244434154105","-165124000000","112.2","1.2","131.4","7.6","0.8","8.7","27.0","0.97","29.6","1.1","3.8","0.88","1.8","3.5","3.0","2.2","3364070000000","1755122000000","574582000000","17","2","26","564028000000","266264000000","230.4","1608948000000","1331806000000","761752000000","422997000000","570054000000","409458000000","0.2","-2.2","60","2032264000000","1882557000000","1916579000000","57","187457000000","1626988000000","357141000000","237944000000","-","-155115000000","29153000000","230150000000","126991000000","-","805900953","-","-","-","2785"
