"決算年度","決算四半期","売上高","売上原価","売上総利益","売上総利益率","販管費","営業利益","営業利益率","EBITDA","経常利益","法人税等","実質実効税率","親会社に帰属する純利益","純利益率","EPS","BPS","企業価値","時価総額","純有利子負債","PER（会予）","PBR","PER × PBR","EV/EBITDA（会予）","PSR","PCFR","一株当たり配当金","配当利回り（実績）","配当性向","自己資本配当率","ROE","総資産回転率","財務レバレッジ","実質ROE","ROIC","ROA","総資産","流動資産","現金及び預金","現金/総資産","現金/月間売上","現金/時価総額","売掛金および受取手形","製品および仕掛品","流動比率","固定資産","負債","流動負債","買掛金および支払手形","固定負債","有利子負債","D/Eレシオ","ネットD純利益倍率","自己株調整済負債比率","純資産","株主資本","自己資本","自己資本比率","資本金","利益剰余金","営業CF","減価償却費","のれん償却費","投資CF","財務CF","フリーCF","設備投資額","研究開発費","発行済株式総数","従業員数","売上/従業員数","営利/従業員数","株価"
"2021","4","682713000000","-","-","-","-","-234767000000","-","-","-246617000000","-65272000000","26.5","-177551000000","-","-406.3","1830.0","1434983508610","1000746508610","434237000000","-","1.3","-","-","1.3","-6.9","0.0","0.0","0.0","-","-","0.29","3.0","-","-","-","2371658000000","750504000000","494226000000","21","9","49","120322000000","31279000000","159.5","1621153000000","1527517000000","470486000000","94046000000","1057030000000","928463000000","1.2","-2.4","181","844141000000","799736000000","799737000000","34","273200000000","176406000000","-103545000000","-","-","-173769000000","359280000000","-103545000000","0","-","437007209","-","-","-","2290"
"2020","4","481225000000","-","-","-","-","-390414000000","-","-","-404078000000","-116202000000","28.8","-286693000000","-","-656.0","2168.1","1186218989010","1079407989010","106811000000","-","1.1","-","-","2.3","-3.6","0.0","0.0","0.0","-","-","0.23","2.2","-","-","-","2107279000000","567816000000","408335000000","19","10","38","76760000000","23680000000","119.1","1539462000000","1125744000000","476893000000","97185000000","648850000000","515146000000","0.5","-0.4","115","981535000000","947459000000","947460000000","45","273200000000","352965000000","-219519000000","-","-","-91012000000","388624000000","-307827000000","88308000000","-","437007283","36060","13345119","-10826789","2470"
"2019","4","1385914000000","-","335081000000","24.2","234449000000","86103000000","6.2","224138000000","88149000000","36137000000","41.0","48057000000","3.5","142.6","3010.3","725404881510","670513881510","54891000000","7.2","0.7","4.8","2.6","0.5","2.9","55.0","2.76","38.6","1.8","4.7","0.7","2.0","4.7","3.6","2.4","1982254000000","508435000000","329149000000","17","3","49","94071000000","26491000000","101.4","1473819000000","932637000000","501651000000","125208000000","430985000000","384040000000","0.4","1.1","89","1049617000000","1014295000000","1014296000000","51","181352000000","645408000000","80857000000","138035000000","-","-233725000000","-38810000000","-160647000000","241504000000","-","336941649","35653","38872297","2415028","1990"
"2018","4","1487261000000","-","412028000000","27.7","235867000000","176160000000","11.8","300264000000","165360000000","1096000000","0.7","150807000000","10.1","432.3","3340.2","1039852470957","1360075470957","-320223000000","9.9","1.2","11.5","3.5","0.9","5.2","110.0","2.82","25.4","3.3","12.9","0.73","1.7","12.9","13.4","7.4","2030328000000","761539000000","462064000000","23","4","34","153112000000","21929000000","167.6","1268788000000","830192000000","454399000000","-","375793000000","141841000000","0.1","-2.1","69","1200135000000","1186421000000","1165134000000","57","181352000000","822554000000","296717000000","124104000000","-","-186392000000","-37037000000","73240000000","223477000000","-","348826743","34003","43739111","5180719","3899"
"2017","4","1383257000000","-","389621000000","28.2","215055000000","174565000000","12.6","285425000000","163180000000","21485000000","13.2","135406000000","9.8","385.6","3019.5","1210933447726","1503666447726","-292733000000","12.4","1.4","17.6","4.4","1.1","6.5","110.0","2.57","28.5","3.6","12.8","0.75","1.7","12.6","12.9","7.3","1853997000000","680492000000","417842000000","23","4","28","151262000000","21996000000","171.5","1173504000000","759869000000","396846000000","-","363023000000","125109000000","0.1","-2.2","69","1094127000000","1084972000000","1060335000000","57","181352000000","731106000000","281542000000","110860000000","-","-166600000000","-55883000000","70738000000","210804000000","-","351159843","33038","41868666","5283764","4282"
"2016","4","1288967000000","-","362030000000","28.1","191698000000","170332000000","13.2","266109000000","165013000000","-8087000000","-5.0","164174000000","12.7","464.4","2749.7","969645158602","1246497158602","-276852000000","7.7","1.3","9.9","3.6","1.0","4.9","94.0","2.67","20.2","3.4","16.9","0.75","1.8","16.9","16.4","9.5","1728777000000","626332000000","392075000000","23","4","31","142745000000","21118000000","171.8","1102444000000","725384000000","364601000000","-","360783000000","115223000000","0.1","-1.7","72","1003393000000","1011569000000","972065000000","56","181352000000","647701000000","253153000000","95777000000","-","-168077000000","-53531000000","19957000000","233196000000","-","353515927","32047","40221144","5315068","3526"
"2015","4","1336661000000","-","404759000000","30.3","195567000000","209192000000","15.7","297720000000","209219000000","26398000000","12.7","174468000000","13.1","481.3","2325.8","1165495493810","1494227493810","-328732000000","8.7","1.8","15.4","4.0","1.1","5.7","120.0","2.91","24.9","5.2","20.7","0.85","1.9","20.7","19.6","11.0","1578928000000","629242000000","420333000000","27","4","28","128148000000","20314000000","170.7","949686000000","708371000000","368552000000","-","339818000000","91601000000","0.1","-1.9","81","870557000000","921761000000","843100000000","53","181352000000","557905000000","312394000000","88528000000","-","-288915000000","-49636000000","99959000000","212435000000","-","362500605","31986","41788939","6540111","4122"
"2014","4","1344711000000","-","357988000000","26.6","178298000000","179689000000","13.4","265586000000","175275000000","15976000000","9.4","149045000000","11.1","411.2","2142.0","1090157262700","1355752262700","-265595000000","9.8","1.7","17.0","4.3","1.0","6.0","104.0","2.78","12.6","4.9","19.2","0.91","1.9","19.2","18.7","10.1","1473354000000","615455000000","364988000000","25","3","27","142150000000","19754000000","165.0","857899000000","672603000000","373074000000","-","299528000000","99393000000","0.1","-1.8","84","800751000000","784992000000","776476000000","53","181352000000","421137000000","261139000000","85897000000","-","-230559000000","-67323000000","64675000000","196464000000","-","362500605","31534","42643211","5698262","3740"
"2013","4","1309343000000","-","339244000000","25.9","172452000000","166792000000","12.7","249510000000","157634000000","-10338000000","-6.5","166251000000","12.7","458.5","1903.5","685207172280","921097172280","-235890000000","7.2","1.3","9.6","2.9","0.7","4.4","160.0","3.15","17.5","8.4","24.1","0.98","1.9","24.1","21.5","12.4","1340168000000","605009000000","368774000000","28","3","40","143807000000","20680000000","181.0","735158000000","629103000000","334265000000","-","294838000000","132884000000","0.2","-1.4","88","711064000000","696332000000","690289000000","52","181352000000","332067000000","247941000000","82718000000","-","-131237000000","-61912000000","84590000000","163351000000","-","362636682","31472","41603425","5299695","2540"
"2012","4","1238839000000","-","354834000000","28.6","159592000000","195242000000","15.8","276246000000","185863000000","13929000000","7.3","171672000000","13.9","473.4","1558.2","602887618500","792368618500","-189481000000","4.9","1.4","6.8","2.3","0.6","3.2","190.0","4.35","20.1","12.2","30.4","1.02","2.2","30.4","25.1","14.1","1216612000000","551348000000","347986000000","29","3","44","121058000000","22277000000","176.1","665263000000","633423000000","313154000000","-","320269000000","158505000000","0.3","-1.1","109","583189000000","562469000000","565048000000","46","181352000000","198196000000","264853000000","81004000000","-","-264436000000","-60643000000","140172000000","124681000000","-","362640100","30882","40115245","6322194","2185"
