"åàéZîNìx","åàéZélîºä˙","îÑè„çÇ","îÑè„å¥âø","îÑè„ëçóòâv","îÑè„ëçóòâvó¶","îÃä«îÔ","âcã∆óòâv","âcã∆óòâvó¶","EBITDA","åoèÌóòâv","ñ@êlê≈ìô","é¿éøé¿å¯ê≈ó¶","êeâÔé–Ç…ãAëÆÇ∑ÇÈèÉóòâv","èÉóòâvó¶","EPS","BPS","äÈã∆âøíl","éûâøëçäz","èÉóLóòéqïâç¬","PERÅiâÔó\Åj","PBR","PER Å~ PBR","EV/EBITDAÅiâÔó\Åj","PSR","PCFR","àÍäîìñÇΩÇËîzìñã‡","îzìñóòâÒÇËÅié¿ê—Åj","îzìñê´å¸","é©å»éëñ{îzìñó¶","ROE","ëçéëéYâÒì]ó¶","ç‡ñ±ÉåÉoÉåÉbÉW","é¿éøROE","ROIC","ROA","ëçéëéY","ó¨ìÆéëéY","åªã‡ãyÇ—óaã‡","åªã‡/ëçéëéY","åªã‡/åéä‘îÑè„","åªã‡/éûâøëçäz","îÑä|ã‡Ç®ÇÊÇ—éÛéÊéËå`","êªïiÇ®ÇÊÇ—édä|ïi","ó¨ìÆî‰ó¶","å≈íËéëéY","ïâç¬","ó¨ìÆïâç¬","îÉä|ã‡Ç®ÇÊÇ—éxï•éËå`","å≈íËïâç¬","óLóòéqïâç¬","D/EÉåÉVÉI","ÉlÉbÉgDèÉóòâvî{ó¶","é©å»äîí≤êÆçœïâç¬î‰ó¶","èÉéëéY","äîéÂéëñ{","é©å»éëñ{","é©å»éëñ{î‰ó¶","éëñ{ã‡","óòâvèËó]ã‡","âcã∆CF","å∏âøèûãpîÔ","ÇÃÇÍÇÒèûãpîÔ","ìäéëCF","ç‡ñ±CF","ÉtÉäÅ[CF","ê›îıìäéëäz","å§ãÜäJî≠îÔ","î≠çsçœäîéÆëçêî","è]ã∆àıêî","îÑè„/è]ã∆àıêî","âcóò/è]ã∆àıêî","äîâø"
"2021","4","1459706000000","1209200000000","250505000000","17.2","216694000000","33810000000","2.3","88766000000","37986000000","46852000000","-148.8","-84732000000","-","-147.6","798.2","518038632960","413299632960","104739000000","-","0.9","-","6.0","0.3","432.3","10.0","1.39","-6.8","1.3","-","1.16","2.7","-","-","-","1258350000000","634755000000","66253000000","5","1","16","288044000000","226136000000","103.3","623594000000","742342000000","614204000000","250780000000","128137000000","170992000000","0.4","-1.2","144","516007000000","417556000000","458170000000","36","72717000000","279087000000","106711000000","54956000000","-","-62181000000","-39147000000","45209000000","61502000000","-","574027268","-","-","-","720"
"2020","4","1498442000000","1285609000000","212832000000","14.2","200582000000","12250000000","0.8","67004000000","12261000000","4414000000","-234.4","-7489000000","-","-13.0","965.5","672425841640","546474841640","125951000000","-","1.0","-","11.6","0.4","12.8","12.0","1.26","-92.0","1.2","-","1.22","2.2","-","1.1","-","1231495000000","608632000000","56188000000","5","0","10","300569000000","200662000000","115.7","622862000000","626622000000","526210000000","229329000000","100412000000","182139000000","0.3","-16.8","104","604872000000","514696000000","554245000000","45","72717000000","376402000000","108429000000","54754000000","-","-56211000000","-38408000000","63934000000","44495000000","51358000000","574028195","34527","43399137","354795","952"
"2019","4","1815597000000","1542431000000","273165000000","15.0","218306000000","54859000000","3.0","112870000000","49596000000","16233000000","31.8","31467000000","1.7","54.8","944.5","506546046540","333511046540","173035000000","8.3","0.6","5.1","4.0","0.2","3.4","20.0","3.44","36.5","2.1","5.8","1.42","2.4","5.8","5.1","2.5","1275080000000","660752000000","40647000000","3","0","12","290241000000","262053000000","116.1","614327000000","682399000000","569211000000","239232000000","113188000000","213682000000","0.4","5.5","115","592680000000","528132000000","542189000000","43","72717000000","390781000000","95176000000","58011000000","-","-67006000000","-28243000000","25855000000","69321000000","60573000000","574029340","34548","52552883","1587907","581"
"2018","4","1981331000000","1674392000000","306938000000","15.5","220220000000","86717000000","4.4","145256000000","83903000000","21512000000","26.1","54908000000","2.8","95.7","945.4","736137738356","534948738356","201189000000","10.1","1.0","10.0","5.1","0.3","4.8","29.0","3.11","30.3","3.1","10.1","1.47","2.5","10.1","8.3","4.1","1345821000000","732201000000","41493000000","3","0","8","354001000000","262521000000","113.9","613619000000","749361000000","642766000000","282434000000","106595000000","242682000000","0.4","3.7","126","596459000000","514166000000","542650000000","40","72717000000","375389000000","48653000000","58539000000","-","-72284000000","20902000000","-19758000000","68411000000","61489000000","573979333","34069","58156418","2545334","932"
"2017","4","1837982000000","1542439000000","295543000000","16.1","215211000000","80331000000","4.4","138890000000","80422000000","23644000000","28.9","51361000000","2.8","89.5","875.4","942362344652","785624344652","156738000000","15.1","1.6","23.6","6.9","0.4","7.1","28.0","2.05","31.3","3.2","10.2","1.43","2.6","10.2","8.0","4.0","1286081000000","681985000000","45225000000","4","0","6","342804000000","242515000000","108.3","604096000000","733232000000","629978000000","307013000000","103254000000","201963000000","0.4","3.1","133","552848000000","476701000000","502366000000","39","72717000000","337998000000","86473000000","58559000000","-","-62781000000","-9448000000","21424000000","65049000000","-","573867308","32719","56174761","2455179","1369"
"2016","4","1683720000000","1411090000000","272630000000","16.2","201451000000","71178000000","4.2","122275000000","72042000000","17177000000","23.8","49408000000","2.9","86.1","811.1","935791068517","772743068517","163048000000","27.6","1.7","45.8","12.1","0.7","9.8","26.0","1.93","30.2","3.2","10.6","1.41","2.6","10.6","8.2","4.1","1192385000000","618056000000","32145000000","3","0","4","315221000000","203597000000","110.1","574328000000","679471000000","561136000000","265306000000","118335000000","195193000000","0.4","3.3","132","512913000000","441297000000","465290000000","39","72717000000","302781000000","75758000000","51097000000","-","-92583000000","17461000000","-5544000000","81302000000","-","573677111","32111","52434368","2216624","1347"
"2015","4","1745540000000","1450984000000","294555000000","16.9","196268000000","98287000000","5.6","147601000000","95892000000","28838000000","29.8","65130000000","3.7","113.6","748.9","822296052572","697833052572","124463000000","9.4","1.6","15.3","5.2","0.4","5.7","38.0","3.12","33.5","5.1","15.2","1.56","2.6","15.2","11.8","5.8","1119888000000","576895000000","34672000000","3","0","5","283198000000","191928000000","111.5","542993000000","645996000000","517361000000","253567000000","128635000000","159135000000","0.4","1.9","136","473891000000","408348000000","429418000000","38","72717000000","270006000000","111366000000","49314000000","-","-87685000000","-22120000000","14967000000","96399000000","-","573404316","31020","56271438","3168504","1217"
"2014","4","1685298000000","1389771000000","295526000000","17.5","190006000000","105519000000","6.3","149476000000","104600000000","24124000000","23.4","74500000000","4.4","130.0","730.6","1115144411725","983004411725","132140000000","14.2","2.3","33.4","7.5","0.6","8.7","40.0","2.33","30.8","5.5","17.8","1.5","2.7","17.8","13.9","6.6","1124196000000","598079000000","36104000000","3","0","4","299821000000","200512000000","112.0","526117000000","658826000000","534143000000","262854000000","124683000000","168244000000","0.4","1.8","141","465370000000","366454000000","418783000000","37","72717000000","228955000000","77756000000","43957000000","-","-75011000000","-26168000000","56000000","77700000000","-","573180415","29864","56432427","3533318","1715"
"2013","4","1699573000000","1409503000000","290069000000","17.1","177883000000","112185000000","6.6","156705000000","109141000000","14958000000","13.3","89127000000","5.2","155.7","593.9","992530947658","876584947658","115946000000","-","2.6","-","-","-","19.7","38.0","2.48","24.4","6.4","26.2","1.68","3.0","26.2","19.4","8.8","1009416000000","550522000000","44738000000","4","0","5","285481000000","155471000000","106.4","458893000000","629826000000","517460000000","247492000000","112365000000","160684000000","0.5","1.3","166","379589000000","313841000000","340065000000","34","72717000000","177040000000","142941000000","44520000000","-","-61812000000","-49711000000","68976000000","73965000000","-","572557118","28998","58610008","3868715","1531"
"2012","4","1541357000000","1314038000000","227318000000","14.7","162200000000","65118000000","4.2","112400000000","66922000000","12225000000","18.5","47685000000","3.1","83.4","463.3","735281594330","577160594330","158121000000","13.7","2.2","30.0","6.9","0.4","6.5","23.0","2.28","27.6","5.0","18.0","1.71","3.4","17.9","11.8","5.3","903427000000","492180000000","27143000000","3","0","5","274680000000","147535000000","102.2","411246000000","604495000000","481523000000","229887000000","122972000000","185264000000","0.7","3.3","201","298932000000","242943000000","264747000000","29","72717000000","106786000000","96930000000","47282000000","-","-54531000000","-43642000000","41265000000","55665000000","-","571446133","27705","55634615","2350406","1010"
