"決算年度","決算四半期","売上高","売上原価","売上総利益","売上総利益率","販管費","営業利益","営業利益率","EBITDA","経常利益","法人税等","実質実効税率","親会社に帰属する純利益","純利益率","EPS","BPS","企業価値","時価総額","純有利子負債","PER（会予）","PBR","PER × PBR","EV/EBITDA（会予）","PSR","PCFR","一株当たり配当金","配当利回り（実績）","配当性向","自己資本配当率","ROE","総資産回転率","財務レバレッジ","実質ROE","ROIC","ROA","総資産","流動資産","現金及び預金","現金/総資産","現金/月間売上","現金/時価総額","売掛金および受取手形","製品および仕掛品","流動比率","固定資産","負債","流動負債","買掛金および支払手形","固定負債","有利子負債","D/Eレシオ","ネットD純利益倍率","自己株調整済負債比率","純資産","株主資本","自己資本","自己資本比率","資本金","利益剰余金","営業CF","減価償却費","のれん償却費","投資CF","財務CF","フリーCF","設備投資額","研究開発費","発行済株式総数","従業員数","売上/従業員数","営利/従業員数","株価"
"2021","4","569325000000","462236000000","107088000000","18.8","87861000000","24186000000","4.2","39344000000","12003000000","9799000000","81.6","832000000","0.1","6.6","523.8","298444780500","195185780500","103259000000","15.2","3.0","45.1","7.4","0.4","7.0","31.0","2.0","469.2","5.9","1.3","1.62","5.3","1.3","6.6","0.2","350934000000","167198000000","48334000000","14","1","25","88061000000","2658000000","78.7","183736000000","278471000000","212512000000","62398000000","65959000000","151593000000","2.3","124.1","384","72464000000","65957000000","65957000000","19","25230000000","22934000000","28872000000","15158000000","-","-38373000000","-25985000000","25104000000","3768000000","-","125926310","121153","4699223","199632","1550"
"2020","4","365135000000","294761000000","70374000000","19.3","60437000000","13282000000","3.6","25548000000","7741000000","5074000000","65.5","1910000000","0.5","15.2","480.1","240770066610","173880066610","66890000000","45.2","2.9","129.9","9.3","0.5","10.8","10.0","0.72","65.9","2.1","3.2","1.21","5.0","3.2","3.9","0.6","302901000000","160289000000","81720000000","27","3","47","55905000000","1743000000","105.5","142613000000","236456000000","151970000000","41365000000","84486000000","148610000000","2.5","35.0","356","66446000000","60448000000","60448000000","20","25214000000","23229000000","22498000000","12266000000","-","-8720000000","26905000000","19564000000","2934000000","-","125908810","93028","3925001","142774","1381"
"2019","4","360874000000","290617000000","70257000000","19.5","58864000000","13798000000","3.8","24715000000","11956000000","3878000000","32.4","7330000000","2.0","58.3","473.2","208928958180","145667958180","63261000000","14.6","2.4","35.6","7.0","0.4","7.0","24.0","2.07","41.2","5.1","12.3","1.51","4.0","12.3","6.1","3.1","239485000000","112720000000","40246000000","17","1","28","52711000000","1547000000","124.1","126765000000","175593000000","90832000000","35280000000","84761000000","103507000000","1.7","8.6","275","63892000000","59528000000","59527000000","25","25187000000","24661000000","22560000000","10917000000","-","-8572000000","-3207000000","19544000000","3016000000","-","125792710","86020","4195234","160405","1158"
"2018","4","311311000000","248911000000","62400000000","20.0","47327000000","15073000000","4.8","18263000000","13037000000","4373000000","33.5","7696000000","2.5","61.3","441.0","157195901760","132559901760","24636000000","19.2","2.4","46.0","9.3","0.5","13.1","21.0","1.99","34.3","4.8","13.9","1.71","3.3","13.9","9.8","4.2","181577000000","93636000000","29451000000","16","1","22","50165000000","1509000000","139.2","87941000000","123300000000","67246000000","32038000000","56054000000","54087000000","1.0","3.2","212","58277000000","55362000000","55362000000","30","25123000000","19990000000","8496000000","3190000000","-","-30018000000","32442000000","5938000000","2558000000","-","125530210","83154","3743789","181266","1056"
"2017","4","230172000000","184356000000","45816000000","19.9","34456000000","11360000000","4.9","13841000000","10395000000","3466000000","33.3","6180000000","2.7","60.6","301.8","247633265540","209441265540","38192000000","41.1","6.8","279.5","20.7","1.0","27.6","19.0","0.93","6.3","6.3","20.1","1.85","4.1","20.1","9.0","5.0","124645000000","59312000000","19108000000","15","1","9","34052000000","1395000000","115.0","65333000000","97888000000","51594000000","2384000000","46294000000","57300000000","1.9","6.2","366","26757000000","30772000000","30772000000","25","7131000000","14057000000","10132000000","2481000000","-","-8498000000","5389000000","8249000000","1883000000","-","101967510","63642","3616668","178498","2054"
"2016","4","134283000000","106519000000","27764000000","20.7","22092000000","5672000000","4.2","7187000000","5048000000","1516000000","30.0","3121000000","2.3","35.8","143.2","100026052790","63634052790","36392000000","181.8","5.1","925.4","19.2","0.5","34.1","42.0","1.15","23.5","29.3","25.0","1.49","7.2","25.0","6.9","3.5","89833000000","36251000000","11746000000","13","1","18","20735000000","808000000","79.6","53582000000","79746000000","45521000000","1067000000","34225000000","48138000000","3.9","11.7","791","10087000000","12502000000","12502000000","14","1759000000","8477000000","1246000000","1515000000","-","-28717000000","31688000000","499000000","747000000","-","87289510","45408","2957254","124912","729"
"2015","4","80871000000","64327182000","16533570000","20.4","13408159000","3125411000","3.9","4494600000","3224894000","1431457000","43.2","1810286000","2.2","20.8","134.0","57060582310","55529124310","1531458000","34.3","4.8","163.2","12.8","0.8","18.6","35.0","1.1","33.7","26.1","15.5","2.18","3.2","15.5","7.6","4.9","37042507000","24657941000","9215341000","25","1","17","12979081000","851429000","122.3","12384565000","24670488000","20155470000","730643000","4515018000","10746799000","0.9","0.8","199","12372018000","11574293000","11664002000","31","1724943000","6424230000","2097469000","446145000","923044000","-5039652000","5793170000","1741134000","356335000","-","87036245","31320","2582088","99790","638"
"2014","4","59421352000","47457823000","11963528000","20.1","9953091000","2010436000","3.4","2873926000","2197395000","718038000","33.9","1316669000","2.2","17.7","92.7","26419861600","26632647600","-212786000","25.1","3.9","97.2","9.2","0.4","13.8","35.0","1.95","39.5","37.7","19.1","2.46","3.5","18.1","9.7","5.5","24132961000","17065086000","6671801000","28","1","25","8257339000","823323000","131.6","7067875000","16563412000","12967188000","752039000","3596223000","6459015000","0.9","-0.2","208","7569549000","6219656000","6883183000","29","613151000","4988277000","2284510000","344582000","518908000","-1351635000","-930429000","1923843000","360667000","-","74227000","21826","2722503","92112","359"
"2013","4","47384304000","38102746000","9281557000","19.6","8078645000","1202912000","2.5","1923169000","1357305000","378416000","23.8","1122365000","2.4","15.4","73.3","17800730600","16824813600","975917000","16.8","3.2","53.1","7.9","0.3","9.8","13.0","1.12","16.8","17.7","21.1","2.33","3.8","19.6","6.7","5.5","20343008000","14119704000","6032990000","30","2","36","6529303000","578396000","141.1","6223303000","14427501000","10003803000","609635000","4423698000","7008907000","1.3","0.9","229","5915506000","4945279000","5328020000","26","514780000","3910642000","1298702000","348622000","371635000","-1982739000","1800184000","863430000","435272000","-","72646000","16572","2859299","72587","232"
"2012","4","42090453000","33618302000","8472151000","20.1","7471638000","1000512000","2.4","1651757000","1153906000","311708000","31.3","641670000","1.5","8.9","56.6","6021423100","5151617100","869806000","9.6","1.3","12.1","3.6","0.1","4.3","8.0","2.24","18.0","14.1","15.7","3.04","3.4","14.3","8.3","4.6","13866410000","9431277000","3363905000","24","1","65","5232946000","132400000","137.2","4433455000","9354541000","6875722000","208694000","2478818000","4233711000","1.0","1.4","191","4511869000","4008563000","4087239000","29","485443000","3032600000","1062512000","320936000","330309000","-755921000","697963000","831609000","230903000","-","72151500","12886","3266371","77643","71"
"2011","4","32397745000","25658946000","6738798000","20.8","6175588000","563210000","1.7","1002921000","702774000","352995000","62.6","194575000","0.6","2.7","47.7","4916537200","3953902200","962635000","17.6","1.1","20.2","5.1","0.1","5.9","8.0","2.92","59.3","16.8","5.7","2.72","3.5","5.1","3.2","1.6","11921809000","7933807000","2264170000","19","1","57","4900556000","139845000","133.5","3985714000","8251145000","5943164000","49544000","2307980000","3226805000","0.9","4.9","203","3670664000","3445116000","3440286000","29","485443000","2469153000","412875000","271352000","168359000","-274004000","319619000","237245000","175630000","-","72151500","-","-","-","55"
"2010","4","28386708000","22378831000","6007877000","21.2","4834497000","1173380000","4.1","1569998000","1401318000","711760000","47.8","760120000","2.7","10.6","46.2","5694065000","4754475000","939590000","4.5","1.4","6.5","2.9","0.2","3.3","7.2","2.18","0.1","15.6","22.9","2.65","3.2","20.4","7.7","7.1","10707735000","6948358000","1731399000","16","1","36","4182469000","78554000","130.2","3756479000","7232193000","5335328000","16987000","1896864000","2670989000","0.8","1.2","187","3475542000","3323496000","3326408000","31","483916000","2350588000","765612000","266724000","129894000","436192000","-1121903000","618295000","147317000","-","72037500","-","-","-","66"
"2009","4","17964396000","14578030000","3386365000","18.9","3536588000","-150222000","-","-","22141000","116282000","-65.7","-215744000","-","-2.9","38.4","7304197800","6045258800","1258939000","9.0","2.1","19.1","5.1","0.2","6.4","644.0","1.59","-44.4","1678.8","-","1.92","3.3","-","-","-","9365465000","5697261000","2050402000","22","1","34","3018675000","136497000","128.1","3664696000","6432244000","4445854000","20402000","1986389000","3309341000","1.2","-5.8","204","2933221000","2857700000","2855877000","30","483435000","1713363000","-465872000","211723000","67377000","-8794000","668479000","-964580000","498708000","-","74449000","-","-","-","81"
