"åàéZîNìx","åàéZélîºä˙","îÑè„çÇ","îÑè„å¥âø","îÑè„ëçóòâv","îÑè„ëçóòâvó¶","îÃä«îÔ","âcã∆óòâv","âcã∆óòâvó¶","EBITDA","åoèÌóòâv","ñ@êlê≈ìô","é¿éøé¿å¯ê≈ó¶","êeâÔé–Ç…ãAëÆÇ∑ÇÈèÉóòâv","èÉóòâvó¶","EPS","BPS","äÈã∆âøíl","éûâøëçäz","èÉóLóòéqïâç¬","PERÅiâÔó\Åj","PBR","PER Å~ PBR","EV/EBITDAÅiâÔó\Åj","PSR","PCFR","àÍäîìñÇΩÇËîzìñã‡","îzìñóòâÒÇËÅié¿ê—Åj","îzìñê´å¸","é©å»éëñ{îzìñó¶","ROE","ëçéëéYâÒì]ó¶","ç‡ñ±ÉåÉoÉåÉbÉW","é¿éøROE","ROIC","ROA","ëçéëéY","ó¨ìÆéëéY","åªã‡ãyÇ—óaã‡","åªã‡/ëçéëéY","åªã‡/åéä‘îÑè„","åªã‡/éûâøëçäz","îÑä|ã‡Ç®ÇÊÇ—éÛéÊéËå`","êªïiÇ®ÇÊÇ—édä|ïi","ó¨ìÆî‰ó¶","å≈íËéëéY","ïâç¬","ó¨ìÆïâç¬","îÉä|ã‡Ç®ÇÊÇ—éxï•éËå`","å≈íËïâç¬","óLóòéqïâç¬","D/EÉåÉVÉI","ÉlÉbÉgDèÉóòâvî{ó¶","é©å»äîí≤êÆçœïâç¬î‰ó¶","èÉéëéY","äîéÂéëñ{","é©å»éëñ{","é©å»éëñ{î‰ó¶","éëñ{ã‡","óòâvèËó]ã‡","âcã∆CF","å∏âøèûãpîÔ","ÇÃÇÍÇÒèûãpîÔ","ìäéëCF","ç‡ñ±CF","ÉtÉäÅ[CF","ê›îıìäéëäz","å§ãÜäJî≠îÔ","î≠çsçœäîéÆëçêî","è]ã∆àıêî","îÑè„/è]ã∆àıêî","âcóò/è]ã∆àıêî","äîâø"
"2021","4","1812521000000","-","-","-","-","424060000000","23.4","424060000000","-","-","-","314124000000","17.3","490.9","3538.3","5193514298516","5193514298516","-","17.2","2.3","39.5","12.7","2.9","17.2","130.0","1.6","26.5","3.7","13.9","0.65","1.2","13.9","18.7","11.2","2809171000000","-","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","-","2263912000000","-","2263912000000","81","-","-","-","-","-","-","-","0","0","-","639831748","-","-","-","8117"
"2020","4","1630193000000","1007992000000","622201000000","38.2","203680000000","313240000000","19.2","456314000000","316417000000","79392000000","25.1","237057000000","14.5","370.5","3002.1","5435997323846","5657248323846","-221251000000","26.2","2.9","77.1","12.6","3.6","15.8","115.0","1.3","31.0","3.8","12.3","0.66","1.3","12.0","11.3","9.6","2462261000000","1184180000000","363979000000","15","3","6","342285000000","361331000000","372.5","1278081000000","540616000000","317911000000","85927000000","222705000000","142728000000","0.1","-0.9","27","1921645000000","1920805000000","1920805000000","78","69444000000","1786660000000","373571000000","143074000000","-","-150275000000","-118189000000","173695000000","199876000000","101727000000","639815463","75184","21682712","4166312","8842"
"2019","4","1534045000000","952583000000","581462000000","37.9","229587000000","253247000000","16.5","393514000000","254032000000","71050000000","28.0","183012000000","11.9","286.0","2647.9","3497380075904","3500966075904","-3586000000","20.6","2.1","42.6","9.4","2.3","11.3","97.0","1.77","33.9","3.7","10.8","0.68","1.3","10.5","9.4","8.1","2250230000000","1027227000000","239656000000","11","2","7","282058000000","334408000000","361.3","1223003000000","555423000000","284300000000","79330000000","271123000000","236070000000","0.1","-0.0","32","1694807000000","1694104000000","1694104000000","75","69444000000","1616783000000","350334000000","140267000000","-","-284431000000","17650000000","64399000000","285935000000","102486000000","639796432","74109","20699848","3417223","5472"
"2018","4","1575026000000","974808000000","600218000000","38.1","231822000000","266807000000","16.9","391226000000","267316000000","60357000000","22.6","206930000000","13.1","323.4","2507.1","3467870377800","3526412377800","-58542000000","16.8","2.2","36.9","8.7","2.2","10.5","280.0","1.69","28.9","11.2","12.9","0.77","1.3","12.5","12.0","10.1","2048893000000","933941000000","181956000000","9","1","5","275619000000","349315000000","359.5","1114952000000","444353000000","259771000000","75491000000","184582000000","123414000000","0.1","-0.3","27","1604540000000","1603976000000","1603976000000","78","69444000000","1493697000000","279842000000","124419000000","-","-303741000000","51546000000","-11739000000","291581000000","101589000000","639770025","77571","20304315","3439520","5512"
"2017","4","1371840000000","927565000000","444277000000","32.4","282131000000","162146000000","11.8","303771000000","167801000000","21749000000","13.0","146086000000","10.6","228.3","2276.8","2952376771532","3107036771532","-154660000000","21.6","2.1","46.0","9.5","2.3","10.9","260.0","1.78","38.0","11.4","10.0","0.76","1.2","9.7","9.5","8.1","1797010000000","810260000000","168902000000","9","1","5","259035000000","290257000000","309.5","986753000000","339797000000","261812000000","94074000000","77985000000","14242000000","0.0","-1.1","22","1457220000000","1456600000000","1456604000000","81","69444000000","1336210000000","225249000000","141625000000","-","-194165000000","-83585000000","-81751000000","307000000000","94181000000","639753159","75326","18212038","2152590","4857"
"2016","4","1135520000000","703129000000","432395000000","38.1","231180000000","201215000000","17.7","314738000000","200418000000","44342000000","22.1","156060000000","13.7","244.5","2122.8","3244411071702","3368677071702","-124266000000","21.6","2.5","53.7","10.3","3.0","12.5","220.0","1.39","30.0","10.4","11.5","0.69","1.2","11.1","11.2","9.5","1635000000000","871431000000","170929000000","10","2","5","209867000000","211447000000","417.5","763568000000","279665000000","208734000000","57918000000","70931000000","46663000000","0.0","-0.8","20","1355330000000","1354820000000","1354815000000","83","69377000000","1241180000000","243920000000","113523000000","-","-202697000000","-11729000000","84920000000","159000000000","81809000000","638214858","59985","18930066","3354422","5278"
"2015","4","1210840000000","712054000000","498787000000","41.2","223381000000","275406000000","22.7","374511000000","279173000000","74952000000","26.8","203776000000","16.8","320.9","1935.4","2731896639546","2872776639546","-140880000000","14.2","2.3","33.2","7.4","2.4","9.5","210.0","1.55","21.8","10.9","16.6","0.8","1.2","15.8","16.2","13.4","1517780000000","835369000000","150627000000","10","1","5","194948000000","217462000000","450.0","682415000000","273805000000","185623000000","56380000000","88182000000","9747000000","0.0","-0.7","21","1243980000000","1229160000000","1229160000000","81","69377000000","1131810000000","252451000000","99105000000","-","-205316000000","-56614000000","79451000000","173000000000","77982000000","635108040","54674","22146541","5037239","4523"
"2014","4","1043540000000","629206000000","414336000000","39.7","199801000000","214535000000","20.6","299470000000","238400000000","71095000000","29.8","167711000000","16.1","264.1","1768.3","3386688946000","3500505946000","-113817000000","23.3","3.1","72.7","12.1","3.5","14.9","180.0","1.09","22.7","10.2","14.9","0.73","1.3","14.2","12.5","11.7","1431300000000","815849000000","139685000000","10","2","4","233673000000","186299000000","410.9","615454000000","292372000000","198534000000","54535000000","93838000000","25868000000","0.0","-0.7","24","1138930000000","1123090000000","1123089000000","78","69377000000","970374000000","259936000000","84935000000","-","-91379000000","-66966000000","158936000000","101000000000","64990000000","635114778","51794","20147894","4142082","5512"
"2013","4","846716000000","554278000000","292438000000","34.5","166547000000","125891000000","14.9","202775000000","132336000000","39064000000","29.5","93191000000","11.0","146.7","1504.8","2013616063923","2060954063923","-47338000000","24.0","2.2","51.7","10.2","2.5","12.7","130.0","1.34","29.5","8.6","9.8","0.68","1.3","9.2","8.6","7.5","1243690000000","672981000000","104467000000","8","1","5","188819000000","170603000000","387.4","570706000000","272055000000","173713000000","43387000000","98342000000","57129000000","0.1","-0.5","26","971632000000","955760000000","955760000000","77","69377000000","834419000000","185751000000","76884000000","-","-117150000000","-40899000000","117554000000","68197000000","54649000000","635123166","48288","17534708","2607087","3245"
"2012","4","681021000000","478824000000","202197000000","29.7","143561000000","58636000000","8.6","130959000000","59534000000","17303000000","29.1","42386000000","6.2","66.9","1359.6","1449343477178","1471178477178","-21835000000","-","1.7","-","-","-","20.3","100.0","1.43","49.8","7.4","4.9","0.63","1.3","4.6","4.5","3.9","1087140000000","538098000000","77444000000","7","1","5","164880000000","192222000000","351.4","549046000000","226181000000","153125000000","38935000000","73056000000","55609000000","0.1","-0.5","24","860963000000","393155000000","860963000000","79","69377000000","764485000000","88537000000","72323000000","-","-56173000000","-9655000000","10875000000","77662000000","48766000000","633225189","37061","18375678","1582148","2323"
