"決算年度","決算四半期","売上高","売上原価","売上総利益","売上総利益率","販管費","営業利益","営業利益率","EBITDA","経常利益","法人税等","実質実効税率","親会社に帰属する純利益","純利益率","EPS","BPS","企業価値","時価総額","純有利子負債","PER（会予）","PBR","PER × PBR","EV/EBITDA（会予）","PSR","PCFR","一株当たり配当金","配当利回り（実績）","配当性向","自己資本配当率","ROE","総資産回転率","財務レバレッジ","実質ROE","ROIC","ROA","総資産","流動資産","現金及び預金","現金/総資産","現金/月間売上","現金/時価総額","売掛金および受取手形","製品および仕掛品","流動比率","固定資産","負債","流動負債","買掛金および支払手形","固定負債","有利子負債","D/Eレシオ","ネットD純利益倍率","自己株調整済負債比率","純資産","株主資本","自己資本","自己資本比率","資本金","利益剰余金","営業CF","減価償却費","のれん償却費","投資CF","財務CF","フリーCF","設備投資額","研究開発費","発行済株式総数","従業員数","売上/従業員数","営利/従業員数","株価"
"2020","4","3902307000000","-","-","-","-","-","-","-","711018000000","156346000000","23.3","512812000000","13.1","374.2","8629.7","98833637030313","5491304030313","93342333000000","13.7","0.5","6.4","-","-","8.8","190.0","4.74","50.8","2.2","4.3","0.02","20.5","4.3","-","0.2","242584308000000","-","72568875000000","30","223","1322","4665244000000","-","-","-","230685262000000","-","-","-","165911208000000","14.0","182.0","1936","11899046000000","9513367000000","11826419000000","5","2341274000000","6492586000000","18795951000000","207815000000","19365000000","-7679878000000","-562580000000","18481992000000","313959000000","60000000","1370427759","86781","44967297","-","4007"
"2019","4","4591873000000","-","-","-","-","-","-","-","932064000000","167684000000","18.9","703883000000","15.3","514.0","7827.5","90070235043599","3592268043599","86477967000000","5.1","0.3","1.7","-","-","3.9","190.0","7.24","37.0","2.4","6.6","0.02","20.5","6.6","-","0.3","219863518000000","-","61768573000000","28","161","1719","4559429000000","-","-","-","209078615000000","-","-","-","148246540000000","13.8","122.9","1936","10784903000000","9354296000000","10719970000000","5","2339964000000","6336311000000","7087460000000","209198000000","17533000000","-3011660000000","-1024554000000","6855405000000","232055000000","77000000","1369526513","86443","53120241","-","2623"
"2018","4","5735312000000","-","-","-","-","-","-","-","1135300000000","331424000000","29.5","726681000000","12.7","520.7","7715.9","93092275545752","5409347545752","87682928000000","7.7","0.5","3.9","-","-","5.4","180.0","4.64","34.6","2.3","6.7","0.03","18.9","6.7","-","0.4","203659146000000","-","57411276000000","28","120","1061","4594578000000","-","-","-","192207534000000","-","-","-","145094204000000","13.5","120.7","1676","11451611000000","9054436000000","10768321000000","5","2339443000000","5992247000000","4596242000000","269010000000","25919000000","1006260000000","-632819000000","4387500000000","208742000000","167000000","1395600502","86659","66182532","-","3876"
"2017","4","5764172000000","-","-","-","-","-","-","-","1164113000000","270524000000","24.4","734368000000","12.7","520.6","7366.2","92952575445276","6288269445276","86664306000000","10.0","0.6","6.0","-","-","6.7","170.0","3.81","32.7","2.3","7.1","0.03","19.2","7.1","-","0.4","199049128000000","-","53732582000000","27","112","854","4730770000000","-","-","-","187436236000000","-","-","-","140396888000000","13.5","118.0","1612","11612892000000","8637039000000","10390465000000","5","2338743000000","5552573000000","9342794000000","281535000000","25225000000","-3395299000000","-350468000000","8494152000000","848642000000","-","1410558422","72978","78985064","-","4458"
"2016","4","5133245000000","-","196433000000","3.8","-","-","-","-","1005855000000","170951000000","17.5","706519000000","13.8","501.1","6901.7","100115541171390","5703558171390","94411983000000","8.1","0.6","4.8","-","-","5.7","150.0","3.71","29.9","2.2","7.3","0.03","20.3","7.3","-","0.4","197791611000000","-","46865538000000","24","110","822","4420377000000","-","-","-","186557325000000","-","-","-","141277521000000","14.5","133.6","1659","11234286000000","8119085000000","9731540000000","5","2337895000000","5036756000000","4514377000000","274988000000","29272000000","581347000000","-166524000000","3873264000000","641113000000","-","1410026742","77205","66488505","-","4045"
"2015","4","4772100000000","-","162553000000","3.4","-","-","-","-","985284000000","225047000000","23.0","646687000000","13.6","473.0","6519.6","98090057823116","4664970823116","93425087000000","6.1","0.5","3.2","-","-","4.5","150.0","4.4","31.7","2.3","7.3","0.03","20.9","7.1","-","0.3","186585842000000","-","42789236000000","23","108","917","4350012000000","-","-","-","176138173000000","-","-","-","136214323000000","15.3","144.5","1658","10447669000000","7454294000000","8913763000000","5","2337895000000","4534472000000","-1127308000000","238348000000","27670000000","5240950000000","-55995000000","-1815351000000","688043000000","-","1367224743","73652","64792538","-","3412"
"2014","4","4851202000000","-","149290000000","3.1","-","-","-","-","1321156000000","441362000000","33.7","753610000000","15.5","551.2","6598.9","92361375412536","6291361412536","86070014000000","9.0","0.7","6.3","-","-","6.6","140.0","3.04","25.4","2.1","8.4","0.03","20.3","8.2","-","0.4","183442585000000","-","39748979000000","22","98","632","4286592000000","-","-","-","172746314000000","-","-","-","125818993000000","13.9","114.2","1589","10696271000000","7018389000000","9022249000000","5","2337895000000","4098425000000","8240226000000","222195000000","26521000000","-1457188000000","-302589000000","7516168000000","724058000000","-","1367241424","68739","70574230","-","4602"
"2013","4","4641880000000","-","137304000000","3.0","-","-","-","-","1432332000000","458805000000","32.2","835357000000","18.0","611.0","5323.9","89692806872004","6028310872004","83664496000000","-","0.8","-","-","-","26.2","120.0","2.72","19.6","2.3","11.5","0.03","22.2","11.2","-","0.5","161534387000000","-","32991113000000","20","85","547","3552658000000","-","-","-","152529368000000","-","-","-","116655609000000","16.0","100.2","1662","9005019000000","6401215000000","7279187000000","5","2337895000000","3480085000000","8303752000000","201421000000","29033000000","14520523000000","-1038814000000","7710941000000","592811000000","-","1367273956","66475","69828958","-","4409"
"2012","4","4326424000000","-","-","-","-","-","-","-","1073745000000","145968000000","13.7","794059000000","18.4","586.5","4686.7","102525661839975","5110882839975","97414779000000","9.5","0.8","7.6","-","-","6.8","120.0","3.18","20.5","2.6","12.5","0.03","23.4","12.1","-","0.5","148696800000000","-","10799291000000","7","30","211","1540516000000","-","-","-","140253582000000","-","-","-","108214070000000","17.1","122.7","1618","8443218000000","5680627000000","6345198000000","4","2337895000000","2811474000000","91455000000","184400000000","25329000000","1253136000000","-742948000000","-306445000000","397900000000","-","1353876249","64635","66936242","-","3775"
"2011","4","3945282000000","-","-","-","-","-","-","-","935571000000","311339000000","32.7","518536000000","13.1","383.8","3856.4","95469561047718","3679089047718","91790472000000","7.4","0.7","5.2","-","-","5.4","100.0","3.67","26.1","2.6","10.0","0.03","27.5","9.5","-","0.4","143040672000000","-","7716291000000","5","23","210","1361289000000","-","-","-","135785696000000","-","-","-","99506763000000","19.1","177.0","1813","7254976000000","5014313000000","5210401000000","4","2337895000000","2152654000000","1838185000000","165113000000","21681000000","-2589543000000","-300119000000","1605584000000","232601000000","-","1351116066","-","-","-","2723"
