"åàéZîNìx","åàéZélîºä˙","îÑè„çÇ","îÑè„å¥âø","îÑè„ëçóòâv","îÑè„ëçóòâvó¶","îÃä«îÔ","âcã∆óòâv","âcã∆óòâvó¶","EBITDA","åoèÌóòâv","ñ@êlê≈ìô","é¿éøé¿å¯ê≈ó¶","êeâÔé–Ç…ãAëÆÇ∑ÇÈèÉóòâv","èÉóòâvó¶","EPS","BPS","äÈã∆âøíl","éûâøëçäz","èÉóLóòéqïâç¬","PERÅiâÔó\Åj","PBR","PER Å~ PBR","EV/EBITDAÅiâÔó\Åj","PSR","PCFR","àÍäîìñÇΩÇËîzìñã‡","îzìñóòâÒÇËÅié¿ê—Åj","îzìñê´å¸","é©å»éëñ{îzìñó¶","ROE","ëçéëéYâÒì]ó¶","ç‡ñ±ÉåÉoÉåÉbÉW","é¿éøROE","ROIC","ROA","ëçéëéY","ó¨ìÆéëéY","åªã‡ãyÇ—óaã‡","åªã‡/ëçéëéY","åªã‡/åéä‘îÑè„","åªã‡/éûâøëçäz","îÑä|ã‡Ç®ÇÊÇ—éÛéÊéËå`","êªïiÇ®ÇÊÇ—édä|ïi","ó¨ìÆî‰ó¶","å≈íËéëéY","ïâç¬","ó¨ìÆïâç¬","îÉä|ã‡Ç®ÇÊÇ—éxï•éËå`","å≈íËïâç¬","óLóòéqïâç¬","D/EÉåÉVÉI","ÉlÉbÉgDèÉóòâvî{ó¶","é©å»äîí≤êÆçœïâç¬î‰ó¶","èÉéëéY","äîéÂéëñ{","é©å»éëñ{","é©å»éëñ{î‰ó¶","éëñ{ã‡","óòâvèËó]ã‡","âcã∆CF","å∏âøèûãpîÔ","ÇÃÇÍÇÒèûãpîÔ","ìäéëCF","ç‡ñ±CF","ÉtÉäÅ[CF","ê›îıìäéëäz","å§ãÜäJî≠îÔ","î≠çsçœäîéÆëçêî","è]ã∆àıêî","îÑè„/è]ã∆àıêî","âcóò/è]ã∆àıêî","äîâø"
"2021","4","7388791000000","5306580000000","2082211000000","28.2","1724511000000","357526000000","4.8","696674000000","360395000000","94957000000","26.3","255334000000","3.5","109.4","1356.1","3032350027094","2773836027094","258514000000","11.6","0.9","10.1","4.3","0.4","4.8","30.0","2.52","27.4","2.2","8.1","0.92","2.5","8.1","5.7","3.2","8023583000000","4031197000000","1205873000000","15","2","43","1324618000000","1132664000000","131.5","3992386000000","4676412000000","3065464000000","1163578000000","1610948000000","1464387000000","0.5","1.0","140","3347171000000","3164962000000","3164962000000","39","259168000000","2387283000000","252630000000","339148000000","-","-796149000000","58910000000","18663000000","233967000000","-","2333896531","-","-","-","1189"
"2020","4","6698794000000","4723943000000","1974851000000","29.5","1667696000000","258600000000","3.9","576172000000","260820000000","76926000000","29.5","165077000000","2.5","70.7","1111.7","2865896091228","3321487091228","-455591000000","22.1","1.3","28.4","5.2","0.5","7.1","20.0","1.4","28.3","1.8","6.4","0.98","2.6","5.9","4.9","2.4","6847073000000","3922747000000","1593224000000","23","3","48","1194391000000","832569000000","139.9","2924326000000","4078571000000","2804328000000","1045617000000","1274243000000","1137633000000","0.4","-2.8","137","2768502000000","2594034000000","2594034000000","38","258981000000","2154023000000","504038000000","317572000000","-","176596000000","-177704000000","273038000000","231000000000","419800000000","2333324265","243540","27505929","1061838","1424"
"2019","4","7490601000000","5339557000000","2151044000000","28.7","1864381000000","293751000000","3.9","666726000000","291050000000","51012000000","17.5","225707000000","3.0","96.7","856.6","2128880399200","1924693399200","204187000000","9.6","1.0","9.3","3.2","0.2","3.4","30.0","3.64","31.0","3.5","11.3","1.2","3.1","10.2","7.5","3.6","6218518000000","3435835000000","1016504000000","16","2","53","1051203000000","793516000000","131.3","2782683000000","4062650000000","2616108000000","969695000000","1446542000000","1220691000000","0.6","0.9","172","2155868000000","1998349000000","1998349000000","32","258867000000","1646403000000","430303000000","372975000000","-","-206096000000","48222000000","88205000000","342098000000","475000000000","2332961696","259385","28878312","1132490","825"
"2018","4","8002733000000","5736234000000","2266499000000","28.3","1939467000000","411498000000","5.1","707539000000","416456000000","113719000000","27.3","284149000000","3.6","121.8","820.4","2069722988382","2225566988382","-155844000000","8.9","1.2","10.4","3.0","0.3","4.1","30.0","3.14","24.6","3.7","14.8","1.33","3.1","13.4","11.8","4.7","6013931000000","3274093000000","772264000000","13","1","35","1190620000000","1016437000000","109.5","2739838000000","3929316000000","2989450000000","1151174000000","939866000000","616420000000","0.3","-0.5","171","2084615000000","1913513000000","1913513000000","32","258740000000","1500870000000","203677000000","296041000000","-","-193387000000","-341761000000","-177001000000","380678000000","488800000000","2332390472","271869","29435989","1513589","954"
"2017","4","7982160000000","5642950000000","2339210000000","29.3","1958670000000","380539000000","4.8","668293000000","378590000000","126563000000","33.4","236040000000","3.0","101.2","732.1","3697335830074","3547481830074","149854000000","16.9","2.1","35.1","5.8","0.4","7.1","30.0","1.97","29.6","4.1","13.8","1.27","3.7","12.3","8.6","3.8","6291150000000","3485960000000","1089590000000","17","2","31","1038980000000","988609000000","112.5","2805190000000","4408860000000","3097940000000","1146480000000","1310930000000","1239444000000","0.7","0.6","211","1882290000000","1707550000000","1707556000000","27","258740000000","1300340000000","423182000000","287754000000","-","-458828000000","-128763000000","28697000000","394485000000","449000000000","2332335194","274143","29116775","1388104","1521"
"2016","4","7343710000000","5157160000000","2186540000000","29.8","1909760000000","276784000000","3.8","547551000000","275066000000","102624000000","37.3","149360000000","2.0","64.0","673.9","2787379205692","2934165205692","-146786000000","22.6","1.9","42.1","5.2","0.4","7.3","25.0","1.99","39.0","3.7","9.5","1.23","3.8","8.4","6.5","2.5","5982960000000","3204820000000","1270790000000","21","2","43","867639000000","806309000000","118.2","2778140000000","4223030000000","2712060000000","955965000000","1510960000000","1124004000000","0.7","-1.0","214","1759940000000","1571890000000","1571894000000","26","258740000000","1051450000000","385410000000","270767000000","-","-420156000000","294598000000","106816000000","278594000000","436000000000","2332404774","257533","28515608","1074752","1258"
"2015","4","7553720000000","5340000000000","2213720000000","29.3","1798010000000","415709000000","5.5","690470000000","217048000000","14537000000","6.7","193256000000","2.6","83.3","734.6","2110258683285","2398749683285","-288491000000","13.3","1.4","18.7","3.1","0.3","5.3","25.0","2.42","30.0","3.4","11.3","1.35","3.3","10.0","16.5","3.5","5596980000000","3054360000000","1014410000000","18","2","42","845748000000","756448000000","128.3","2542620000000","3742670000000","2380900000000","942244000000","1361770000000","725919000000","0.4","-1.5","180","1854310000000","1705060000000","1705052000000","30","258740000000","1165280000000","398680000000","274761000000","-","-274274000000","-308031000000","156844000000","241836000000","450000000000","2320996307","252923","29865690","1643619","1034"
"2014","4","7715040000000","5527210000000","2187820000000","28.4","1805910000000","381913000000","5.0","668441000000","182456000000","-1981000000","-1.1","179485000000","2.3","77.7","788.9","3318900083383","3644864083383","-325964000000","20.8","2.0","41.6","5.2","0.5","7.9","18.0","1.14","23.2","2.3","9.8","1.3","3.3","8.7","13.7","3.0","5956950000000","3412740000000","1298880000000","22","2","36","1017040000000","762670000000","124.9","2544210000000","3964400000000","2732800000000","983305000000","1231600000000","972916000000","0.5","-1.8","177","1992550000000","1823290000000","1823291000000","31","258740000000","1021240000000","491463000000","286528000000","-","-138008000000","257615000000","267301000000","224162000000","457000000000","2311264479","254084","30364132","1503097","1577"
"2013","4","7736540000000","5638870000000","2097670000000","27.1","1792560000000","305114000000","3.9","636197000000","206225000000","89665000000","43.5","120442000000","1.6","52.1","669.7","2761101596773","2711456596773","49645000000","27.1","1.8","47.5","4.6","0.4","6.3","13.0","1.11","24.9","1.9","7.8","1.48","3.4","6.7","9.8","2.3","5212990000000","2653990000000","592467000000","11","1","22","1031910000000","750681000000","108.9","2559000000000","3626560000000","2437860000000","937015000000","1188700000000","642112000000","0.4","0.4","198","1586440000000","1548150000000","1548154000000","30","258740000000","878742000000","581950000000","331083000000","-","12128000000","-532315000000","380215000000","201735000000","479000000000","2311557201","271789","28465243","1122613","1173"
"2012","4","7303050000000","5419890000000","1883160000000","25.8","1722220000000","160936000000","2.2","500303000000","-398386000000","384673000000","-96.6","-754250000000","-","-326.3","546.8","3075411066442","1511825066442","1563586000000","-","1.2","-","6.4","-","4.5","0.0","0.0","0.0","-","-","1.35","4.3","-","-","-","5397810000000","2494080000000","497957000000","9","1","33","962725000000","885502000000","96.0","2903730000000","4093540000000","2599160000000","791786000000","1494380000000","2061543000000","1.6","-2.1","264","1304270000000","1264030000000","1264029000000","23","258740000000","769863000000","338750000000","339367000000","-","16406000000","-491058000000","18582000000","320168000000","502000000000","2311659123","293742","24862124","547882","654"
