"åàéZîNìx","åàéZélîºä˙","îÑè„çÇ","îÑè„å¥âø","îÑè„ëçóòâv","îÑè„ëçóòâvó¶","îÃä«îÔ","âcã∆óòâv","âcã∆óòâvó¶","EBITDA","åoèÌóòâv","ñ@êlê≈ìô","é¿éøé¿å¯ê≈ó¶","êeâÔé–Ç…ãAëÆÇ∑ÇÈèÉóòâv","èÉóòâvó¶","EPS","BPS","äÈã∆âøíl","éûâøëçäz","èÉóLóòéqïâç¬","PERÅiâÔó\Åj","PBR","PER Å~ PBR","EV/EBITDAÅiâÔó\Åj","PSR","PCFR","àÍäîìñÇΩÇËîzìñã‡","îzìñóòâÒÇËÅié¿ê—Åj","îzìñê´å¸","é©å»éëñ{îzìñó¶","ROE","ëçéëéYâÒì]ó¶","ç‡ñ±ÉåÉoÉåÉbÉW","é¿éøROE","ROIC","ROA","ëçéëéY","ó¨ìÆéëéY","åªã‡ãyÇ—óaã‡","åªã‡/ëçéëéY","åªã‡/åéä‘îÑè„","åªã‡/éûâøëçäz","îÑä|ã‡Ç®ÇÊÇ—éÛéÊéËå`","êªïiÇ®ÇÊÇ—édä|ïi","ó¨ìÆî‰ó¶","å≈íËéëéY","ïâç¬","ó¨ìÆïâç¬","îÉä|ã‡Ç®ÇÊÇ—éxï•éËå`","å≈íËïâç¬","óLóòéqïâç¬","D/EÉåÉVÉI","ÉlÉbÉgDèÉóòâvî{ó¶","é©å»äîí≤êÆçœïâç¬î‰ó¶","èÉéëéY","äîéÂéëñ{","é©å»éëñ{","é©å»éëñ{î‰ó¶","éëñ{ã‡","óòâvèËó]ã‡","âcã∆CF","å∏âøèûãpîÔ","ÇÃÇÍÇÒèûãpîÔ","ìäéëCF","ç‡ñ±CF","ÉtÉäÅ[CF","ê›îıìäéëäz","å§ãÜäJî≠îÔ","î≠çsçœäîéÆëçêî","è]ã∆àıêî","îÑè„/è]ã∆àıêî","âcóò/è]ã∆àıêî","äîâø"
"2021","4","31379507000000","24250784000000","7128723000000","22.7","2975977000000","2995697000000","9.5","4817577000000","3990532000000","1115918000000","28.0","2850110000000","9.1","206.9","1904.9","51004978181540","30622275181540","20382703000000","12.3","1.2","14.3","11.0","1.0","7.1","-","2.34","2.7","-","10.9","0.46","2.6","10.9","3.6","4.2","67688771000000","23722290000000","6113655000000","9","2","20","3142832000000","3821356000000","108.6","43966482000000","40533951000000","21842161000000","4292092000000","18691790000000","26496358000000","1.0","7.2","149","27154820000000","26245969000000","26245969000000","39","397050000000","26453126000000","3722615000000","1821880000000","-","-577496000000","-2466516000000","2179264000000","1543351000000","-","13778301544","-","-","-","2223"
"2020","4","27214594000000","21199890000000","6014704000000","22.1","2634625000000","2197748000000","8.1","3842038000000","2932354000000","649976000000","22.2","2245261000000","8.3","160.6","1674.2","44648671654560","24089893654560","20558778000000","12.7","1.0","13.1","12.3","0.9","6.8","240.0","2.79","29.9","14.3","9.6","0.44","2.7","8.5","3.2","3.6","62267140000000","22776800000000","5100857000000","8","2","21","2958742000000","2888028000000","106.1","39490339000000","37978811000000","21460466000000","4045939000000","16518344000000","25659635000000","1.1","9.2","140","24288329000000","23404547000000","23404547000000","38","397050000000","24104176000000","2727162000000","1644290000000","-","-4684175000000","2739174000000","1433900000000","1293262000000","1090424000000","13979743300","366283","74299364","6000137","1723"
"2019","4","29929992000000","23142744000000","6787248000000","22.7","2964759000000","2442869000000","8.2","4048252000000","2554607000000","683430000000","26.8","2076183000000","6.9","150.1","1486.9","34345208610532","17982757610532","16362451000000","7.7","0.9","6.7","8.4","0.6","4.5","220.0","3.38","29.3","14.8","10.1","0.57","2.6","8.8","4.3","3.9","52680436000000","18642531000000","4190518000000","8","2","23","2094894000000","2434918000000","104.1","34037905000000","31438585000000","17902377000000","2434180000000","13536208000000","20552969000000","1.0","7.9","129","21241851000000","20060618000000","20564787000000","39","397050000000","23427613000000","3590643000000","1605383000000","-","-3150861000000","397138000000","2182811000000","1407832000000","1110369000000","13830762660","359542","83244773","6794391","1300"
"2018","4","30225681000000","24781785000000","5443896000000","18.0","2976351000000","2467545000000","8.2","4259920000000","2285465000000","659944000000","28.9","1882873000000","6.2","133.0","1401.4","34949506876329","18374032876329","16575474000000","9.8","0.9","9.1","8.3","0.6","5.0","220.0","3.39","33.1","15.7","9.5","0.58","2.6","8.4","4.5","3.6","51936949000000","18879237000000","3574704000000","7","1","19","9020505000000","2656396000000","103.6","33057712000000","31371739000000","18226938000000","2645984000000","13144801000000","20150178000000","1.0","8.8","135","20565210000000","19348152000000","19846225000000","38","397050000000","21987515000000","3766597000000","1792375000000","-","-2697241000000","-540839000000","27710000000","3738887000000","1048882000000","14162195835","370870","81499396","6653396","1297"
"2017","4","29379500000000","23889200000000","5490360000000","18.7","3090500000000","2399860000000","8.2","4133890000000","2620430000000","504406000000","19.2","2493980000000","8.5","171.4","1321.5","35254311245400","19860231245400","15394080000000","8.3","1.0","8.5","9.0","0.7","4.8","220.0","3.22","25.7","16.6","13.0","0.58","2.6","11.7","4.9","5.0","50308200000000","18152700000000","3953510000000","8","2","20","8567870000000","2539790000000","102.0","32155600000000","30386200000000","17796900000000","2586660000000","12589300000000","19347590000000","1.0","6.2","138","19922100000000","18736000000000","19227980000000","38","397050000000","19473500000000","4210010000000","1734030000000","-","-3660090000000","-449135000000","610010000000","3600000000000","1060000000000","14549619960","369124","79592495","6501501","1365"
"2016","4","27597200000000","22734300000000","4862860000000","17.6","2868490000000","1994370000000","7.2","3605320000000","2193830000000","628900000000","28.7","1831110000000","6.6","123.1","1210.2","33051275495952","17973275495952","15078000000000","10.6","1.0","10.6","9.5","0.7","5.4","210.0","3.48","34.1","17.4","10.2","0.57","2.7","9.3","3.7","3.8","48750200000000","17833700000000","4077730000000","8","2","23","8312590000000","2388620000000","103.0","30916500000000","30081200000000","17319000000000","2566380000000","12762300000000","19155730000000","1.1","8.2","148","18669000000000","17514800000000","18000736000000","37","397050000000","17601100000000","3414240000000","1610950000000","-","-2969940000000","-375165000000","-125760000000","3540000000000","1040000000000","14873614280","364445","75723909","5472348","1208"
"2015","4","28403100000000","22605500000000","5797650000000","20.4","2943680000000","2853970000000","10.0","4479810000000","2983380000000","878269000000","29.4","2312690000000","8.1","152.3","1134.2","32401946778240","18080246778240","14321700000000","8.0","1.0","8.4","7.3","0.7","4.6","210.0","3.53","27.6","18.5","13.4","0.6","2.8","12.3","5.6","4.9","47427600000000","18209600000000","3971460000000","8","2","22","7912830000000","2061510000000","112.9","29218000000000","29339400000000","16124500000000","2389520000000","13215000000000","18293160000000","1.1","6.2","149","18088200000000","16746900000000","17226728000000","36","397050000000","16794200000000","4460860000000","1625840000000","-","-3182540000000","-423571000000","400860000000","4060000000000","1060000000000","15188379350","348877","81412933","8180448","1190"
"2014","4","27234500000000","21841700000000","5392850000000","19.8","2642280000000","2750560000000","10.1","4159640000000","2892830000000","893469000000","30.9","2173340000000","8.0","138.1","1067.0","42923748668673","26379738668673","16544010000000","12.4","1.6","19.5","10.4","1.0","7.5","200.0","2.39","29.0","18.7","12.9","0.57","2.8","12.1","5.2","4.6","47729800000000","17936400000000","2433880000000","5","1","9","8378520000000","2137620000000","109.2","29793400000000","30082500000000","16431500000000","2410590000000","13651000000000","18977890000000","1.1","7.6","159","17647300000000","16788100000000","16788102000000","35","397050000000","15591900000000","3685750000000","1409080000000","-","-3813490000000","306045000000","325750000000","3360000000000","1000000000000","15734068155","344109","79144980","7993281","1677"
"2013","4","25691900000000","20801100000000","4890770000000","19.0","2598660000000","2292110000000","8.9","3542960000000","2441080000000","767808000000","31.5","1823120000000","7.1","115.0","912.9","32573066826694","18467056826694","14106010000000","9.7","1.3","12.4","8.9","0.7","5.9","165.0","2.83","28.7","18.1","12.6","0.62","2.9","11.7","4.9","4.4","41437500000000","15717700000000","2221380000000","5","1","12","7665170000000","1894700000000","107.1","25719800000000","26218500000000","14680700000000","2213220000000","11537800000000","16327390000000","1.1","7.7","160","15219000000000","14469100000000","14469161000000","35","397050000000","14116300000000","3646040000000","1250850000000","-","-4336250000000","919480000000","966040000000","2680000000000","911000000000","15848830095","338875","75815271","6763880","1165"
"2012","4","22064200000000","18641000000000","3423200000000","15.5","2102310000000","1320890000000","6.0","2426000000000","1403650000000","551686000000","39.3","962163000000","4.4","60.8","766.5","28166186326480","15393703326480","12772483000000","-","1.3","-","-","-","13.9","90.0","1.85","29.6","11.7","7.9","0.62","2.9","7.2","2.9","2.7","35483300000000","13784900000000","1825000000000","5","1","12","7105190000000","1885701000000","106.8","21698400000000","22710500000000","12912500000000","2113780000000","9797940000000","14597483000000","1.2","13.3","163","12772900000000","12148000000000","12138554000000","34","397050000000","12689200000000","2451320000000","1105110000000","-","-3027310000000","477242000000","481320000000","1970000000000","807000000000","15837143340","333498","66159917","3960713","972"
"2011","4","18583700000000","16388600000000","2195090000000","11.8","1839460000000","355627000000","1.9","1423457000000","432873000000","262272000000","60.6","283559000000","1.5","17.9","665.6","22146560818210","11305510818210","10841050000000","54.0","1.1","57.9","18.2","0.6","8.9","50.0","0.84","55.8","7.5","2.7","0.61","2.9","2.4","0.4","0.9","30651000000000","12321200000000","1759500000000","6","1","16","6127730000000","1799893000000","104.6","18329800000000","19584500000000","11781600000000","2242580000000","7802910000000","12600550000000","1.2","38.2","161","11066500000000","10550300000000","10539486000000","34","397050000000","11917100000000","1452440000000","1067830000000","-","-1442660000000","-355347000000","-77560000000","1530000000000","780000000000","15834048765","-","-","-","714"
"2009","4","8597872000000","7866781000000","731090000000","8.5","1059151000000","-328061000000","-","-","-77120000000","-103308000000","134.0","26188000000","0.3","1.7","422.7","12794306559535","11744302559535","1050004000000","-","1.8","-","-","0.6","-26.9","45.0","0.67","538.9","10.6","0.4","0.83","1.6","0.3","-","0.3","10350776000000","4834106000000","43181000000","0","0","0","1108417000000","253190000000","190.7","5516670000000","3713084000000","2535200000000","-","1177884000000","1093185000000","0.2","40.1","47","6637692000000","6392222000000","6628543000000","64","397049000000","6855777000000","-","-","-","-","-","0","0","-","15679976715","-","-","-","749"
"2008","4","9278483000000","8332566000000","945917000000","10.2","1133836000000","-187918000000","-","-","182594000000","125944000000","69.0","56649000000","0.6","3.6","423.8","10509886322000","9783953322000","725933000000","-","1.5","-","-","-","-","100.0","1.12","553.6","23.6","0.9","1.01","1.4","0.7","-","0.6","9163662000000","3541378000000","24067000000","0","0","0","565881000000","279309000000","238.7","5622283000000","2511745000000","1483718000000","-","1028026000000","750000000000","0.1","12.8","32","6651917000000","6538184000000","6644862000000","73","397049000000","7002065000000","-","-","-","-","-","0","0","-","15679412375","-","-","-","624"
