"åàéZîNìx","åàéZélîºä˙","îÑè„çÇ","îÑè„å¥âø","îÑè„ëçóòâv","îÑè„ëçóòâvó¶","îÃä«îÔ","âcã∆óòâv","âcã∆óòâvó¶","EBITDA","åoèÌóòâv","ñ@êlê≈ìô","é¿éøé¿å¯ê≈ó¶","êeâÔé–Ç…ãAëÆÇ∑ÇÈèÉóòâv","èÉóòâvó¶","EPS","BPS","äÈã∆âøíl","éûâøëçäz","èÉóLóòéqïâç¬","PERÅiâÔó\Åj","PBR","PER Å~ PBR","EV/EBITDAÅiâÔó\Åj","PSR","PCFR","àÍäîìñÇΩÇËîzìñã‡","îzìñóòâÒÇËÅié¿ê—Åj","îzìñê´å¸","é©å»éëñ{îzìñó¶","ROE","ëçéëéYâÒì]ó¶","ç‡ñ±ÉåÉoÉåÉbÉW","é¿éøROE","ROIC","ROA","ëçéëéY","ó¨ìÆéëéY","åªã‡ãyÇ—óaã‡","åªã‡/ëçéëéY","åªã‡/åéä‘îÑè„","åªã‡/éûâøëçäz","îÑä|ã‡Ç®ÇÊÇ—éÛéÊéËå`","êªïiÇ®ÇÊÇ—édä|ïi","ó¨ìÆî‰ó¶","å≈íËéëéY","ïâç¬","ó¨ìÆïâç¬","îÉä|ã‡Ç®ÇÊÇ—éxï•éËå`","å≈íËïâç¬","óLóòéqïâç¬","D/EÉåÉVÉI","ÉlÉbÉgDèÉóòâvî{ó¶","é©å»äîí≤êÆçœïâç¬î‰ó¶","èÉéëéY","äîéÂéëñ{","é©å»éëñ{","é©å»éëñ{î‰ó¶","éëñ{ã‡","óòâvèËó]ã‡","âcã∆CF","å∏âøèûãpîÔ","ÇÃÇÍÇÒèûãpîÔ","ìäéëCF","ç‡ñ±CF","ÉtÉäÅ[CF","ê›îıìäéëäz","å§ãÜäJî≠îÔ","î≠çsçœäîéÆëçêî","è]ã∆àıêî","îÑè„/è]ã∆àıêî","âcóò/è]ã∆àıêî","äîâø"
"2021","4","2705183000000","2097501000000","607682000000","22.5","455165000000","159066000000","5.9","382803000000","246123000000","60773000000","24.7","180306000000","6.7","580.7","12653.0","4695205363380","2629764363380","2065441000000","15.9","0.7","10.7","12.6","1.0","6.8","170.0","2.01","29.3","1.3","4.6","0.35","1.9","4.6","1.6","2.4","7627120000000","2255827000000","247085000000","3","1","9","1121491000000","433961000000","164.3","5371292000000","3605152000000","1372721000000","745553000000","2232430000000","2312526000000","0.6","11.5","90","4021967000000","3928513000000","3928513000000","52","80462000000","1514657000000","321085000000","223737000000","-","-229805000000","-92114000000","83714000000","237371000000","-","310479854","-","-","-","8470"
"2020","4","2118302000000","1627894000000","490407000000","23.2","374648000000","118159000000","5.6","327998000000","184011000000","42576000000","23.1","136700000000","6.5","440.3","10422.6","4168464331080","3061350331080","1107114000000","22.7","0.9","21.5","13.0","1.5","8.9","150.0","1.52","34.1","1.4","4.2","0.33","2.0","4.1","1.6","2.1","6503986000000","1948081000000","238248000000","4","1","8","962270000000","292461000000","163.9","4555904000000","3181436000000","1188239000000","613579000000","1993196000000","1345362000000","0.4","8.1","94","3322550000000","3236038000000","3236039000000","50","80462000000","1369775000000","382386000000","209839000000","-","-404164000000","-105477000000","129427000000","252959000000","88900000000","310481778","66947","31641478","1764963","9860"
"2019","4","2171355000000","1664923000000","506432000000","23.3","381473000000","128233000000","5.9","336545000000","196288000000","46101000000","23.5","145881000000","6.7","469.9","7854.9","2589931110160","1608305110160","981626000000","10.7","0.7","7.1","7.7","0.7","4.5","160.0","3.09","34.1","2.0","6.0","0.41","2.2","5.8","2.2","2.8","5279653000000","1739883000000","358144000000","7","2","22","867088000000","255738000000","178.6","3539770000000","2759115000000","974314000000","519330000000","1784801000000","1339770000000","0.5","6.7","107","2520537000000","2438807000000","2438807000000","46","80462000000","1267521000000","313199000000","208312000000","-","-182598000000","-7094000000","58184000000","255015000000","90560000000","310483612","66478","32662761","1928954","5180"
"2018","4","2210000000000","1700000000000","512000000000","23.2","377000000000","135000000000","6.1","321000000000","202000000000","42400000000","21.0","153000000000","6.9","492.8","7980.4","2781192704600","1723192704600","1058000000000","11.5","0.7","8.0","8.7","0.8","5.1","155.0","2.79","31.5","1.9","6.2","0.42","2.1","6.0","2.5","2.9","5260000000000","1620000000000","239000000000","5","1","14","845000000000","245000000000","169.3","3640000000000","2700000000000","957000000000","507000000000","1740000000000","1297000000000","0.5","6.9","103","2560000000000","2480000000000","2477800000000","47","80462000000","1180000000000","270000000000","186000000000","-","-395000000000","40500000000","44000000000","226000000000","88807000000","310485172","64641","34188828","2088458","5550"
"2017","4","2003970000000","1534210000000","469765000000","23.4","322319000000","147445000000","7.4","309926000000","209827000000","36010000000","17.2","168180000000","8.4","541.7","8223.8","2732011967280","1999537967280","732474000000","12.7","0.8","10.0","8.9","1.0","6.3","150.0","2.33","27.7","1.8","6.6","0.38","2.1","6.4","3.0","3.2","5258500000000","1493790000000","435626000000","8","3","22","764514000000","223714000000","148.5","3764710000000","2624630000000","1005880000000","479253000000","1618750000000","1168100000000","0.5","4.4","97","2633870000000","2553390000000","2553392000000","49","80462000000","1084140000000","268567000000","162481000000","-","-340324000000","153303000000","68567000000","200000000000","77600000000","310487262","61152","32770310","2411123","6440"
"2016","4","1675150000000","1278380000000","396769000000","23.7","269423000000","127345000000","7.6","276302000000","181986000000","44420000000","24.4","131398000000","7.8","423.2","7215.4","2567951264940","1717005264940","850946000000","14.4","0.8","11.1","9.5","0.8","6.4","125.0","2.26","29.5","1.7","5.9","0.37","2.0","5.7","2.5","2.9","4558210000000","1322420000000","243685000000","5","2","14","646542000000","194427000000","163.1","3235790000000","2241740000000","810603000000","241924000000","1431140000000","1094631000000","0.5","6.5","94","2316470000000","2240290000000","2240296000000","49","80462000000","954503000000","239094000000","148957000000","-","-86925000000","789000000","75094000000","164000000000","57535000000","310489198","52623","31833039","2419949","5530"
"2015","4","1696856000000","1804759000000","424184000000","25.0","296214000000","127970000000","7.5","277981000000","185398000000","83445000000","30.3","183036000000","10.8","582.5","6482.0","2268858749680","1589987749680","678871000000","8.3","0.8","6.5","8.1","0.7","4.6","120.0","2.37","20.6","1.9","9.0","0.4","2.1","8.8","1.5","4.4","4199196000000","1044843000000","352302000000","8","2","22","280807000000","197201000000","155.1","3154352000000","2085248000000","673636000000","214162000000","1411611000000","1031173000000","0.5","3.7","97","2113948000000","934260000000","2036809000000","49","80462000000","789502000000","234957000000","150011000000","-","-526349000000","130923000000","61812000000","173145000000","-","314226828","51458","32975553","2486883","5060"
"2014","4","2166661000000","1765861000000","400799000000","18.5","283224000000","117574000000","5.4","245037000000","170827000000","49153000000","28.8","115263000000","5.3","366.9","7500.2","2830910530080","2161392530080","669518000000","19.3","0.9","17.7","11.7","1.0","9.0","110.0","1.6","30.0","1.5","4.9","0.47","2.0","4.8","2.1","2.5","4650896000000","944901000000","247273000000","5","1","11","265504000000","194836000000","144.7","3705995000000","2224967000000","653187000000","205816000000","1571779000000","916791000000","0.4","5.8","90","2425929000000","788711000000","2356221000000","51","80462000000","644165000000","182191000000","127463000000","-","-160769000000","-8918000000","-5563000000","187754000000","-","314155891","52523","41251661","2238524","6880"
"2013","4","2007856000000","1651573000000","356282000000","17.7","248590000000","107691000000","5.4","219517000000","138133000000","43934000000","31.8","91705000000","4.6","292.3","5640.1","2204765648960","1556104648960","648661000000","-","0.9","-","-","-","13.9","85.0","1.71","29.1","1.5","5.2","0.53","2.1","5.1","2.4","2.4","3799010000000","872058000000","226383000000","6","1","15","246676000000","170241000000","131.5","2926951000000","1969684000000","663353000000","196904000000","1306330000000","875044000000","0.5","7.1","105","1829326000000","707062000000","1769468000000","47","80462000000","563957000000","155059000000","111826000000","-","-118483000000","6183000000","-12285000000","167344000000","-","313730776","49333","40700059","2182940","4960"
"2012","4","1615244000000","1347238000000","268006000000","16.6","190908000000","77098000000","4.8","167854000000","86836000000","26851000000","33.5","53119000000","3.3","170.1","4719.7","1655803705980","1070872705980","584931000000","21.0","0.7","15.3","9.7","0.7","7.6","55.0","1.6","32.3","1.2","3.6","0.5","2.2","3.5","2.2","1.6","3243779000000","780517000000","230348000000","7","2","22","215799000000","142520000000","118.4","2463262000000","1718846000000","659095000000","180146000000","1059750000000","815279000000","0.6","11.0","109","1524933000000","630534000000","1473516000000","45","80462000000","492578000000","151299000000","90756000000","-","-274210000000","7050000000","16777000000","134522000000","-","312207786","47412","34068253","1626128","3430"
