"åàéZîNìx","åàéZélîºä˙","îÑè„çÇ","îÑè„å¥âø","îÑè„ëçóòâv","îÑè„ëçóòâvó¶","îÃä«îÔ","âcã∆óòâv","âcã∆óòâvó¶","EBITDA","åoèÌóòâv","ñ@êlê≈ìô","é¿éøé¿å¯ê≈ó¶","êeâÔé–Ç…ãAëÆÇ∑ÇÈèÉóòâv","èÉóòâvó¶","EPS","BPS","äÈã∆âøíl","éûâøëçäz","èÉóLóòéqïâç¬","PERÅiâÔó\Åj","PBR","PER Å~ PBR","EV/EBITDAÅiâÔó\Åj","PSR","PCFR","àÍäîìñÇΩÇËîzìñã‡","îzìñóòâÒÇËÅié¿ê—Åj","îzìñê´å¸","é©å»éëñ{îzìñó¶","ROE","ëçéëéYâÒì]ó¶","ç‡ñ±ÉåÉoÉåÉbÉW","é¿éøROE","ROIC","ROA","ëçéëéY","ó¨ìÆéëéY","åªã‡ãyÇ—óaã‡","åªã‡/ëçéëéY","åªã‡/åéä‘îÑè„","åªã‡/éûâøëçäz","îÑä|ã‡Ç®ÇÊÇ—éÛéÊéËå`","êªïiÇ®ÇÊÇ—édä|ïi","ó¨ìÆî‰ó¶","å≈íËéëéY","ïâç¬","ó¨ìÆïâç¬","îÉä|ã‡Ç®ÇÊÇ—éxï•éËå`","å≈íËïâç¬","óLóòéqïâç¬","D/EÉåÉVÉI","ÉlÉbÉgDèÉóòâvî{ó¶","é©å»äîí≤êÆçœïâç¬î‰ó¶","èÉéëéY","äîéÂéëñ{","é©å»éëñ{","é©å»éëñ{î‰ó¶","éëñ{ã‡","óòâvèËó]ã‡","âcã∆CF","å∏âøèûãpîÔ","ÇÃÇÍÇÒèûãpîÔ","ìäéëCF","ç‡ñ±CF","ÉtÉäÅ[CF","ê›îıìäéëäz","å§ãÜäJî≠îÔ","î≠çsçœäîéÆëçêî","è]ã∆àıêî","îÑè„/è]ã∆àıêî","âcóò/è]ã∆àıêî","äîâø"
"2021","4","3246057000000","1929612000000","1316444000000","40.6","928620000000","376799000000","11.6","627247000000","377594000000","63234000000","16.7","394037000000","12.1","559.5","3734.2","3508999570643","3485402570643","23597000000","10.7","1.3","14.2","-","1.0","6.1","170.0","3.44","30.4","4.6","15.0","0.71","1.7","14.8","9.1","8.6","4574892000000","2292870000000","787542000000","17","3","23","741612000000","630140000000","224.0","2282022000000","1899538000000","1023401000000","517010000000","876137000000","811139000000","0.3","0.1","70","2675354000000","2629883000000","2629883000000","57","126354000000","2307667000000","281538000000","250448000000","-","131701000000","-379321000000","19538000000","262000000000","95500000000","704264007","135636","23932120","2778016","4949"
"2020","4","2695224000000","1681514000000","1013710000000","37.6","847405000000","62488000000","2.3","329942000000","27412000000","43631000000","159.2","-23301000000","-","-33.1","3053.3","2578426716792","2382781716792","195645000000","-","1.1","-","-","0.8","11.5","110.0","3.25","-332.4","3.6","-","0.64","1.9","-","0.6","-","4189327000000","2054529000000","810546000000","19","4","34","667761000000","491240000000","197.2","2134798000000","1994036000000","1041748000000","420140000000","952288000000","1006191000000","0.5","-8.4","89","2195291000000","2149958000000","2149958000000","51","126354000000","1999996000000","526947000000","267454000000","-","-155378000000","18077000000","255047000000","271900000000","95200000000","704131713","138036","19525515","452694","3384"
"2019","4","3507243000000","2182554000000","1324689000000","37.8","998360000000","349336000000","10.0","625971000000","335510000000","89219000000","26.6","240111000000","6.8","341.0","3332.3","3685744529690","2865504529690","820240000000","10.4","1.2","12.7","6.1","0.8","5.2","160.0","3.93","46.9","4.8","10.2","0.82","1.8","9.3","7.2","5.6","4277016000000","1918408000000","432924000000","10","1","15","755344000000","596422000000","214.3","2358608000000","1874539000000","895336000000","453069000000","979203000000","1253164000000","0.5","3.4","71","2402477000000","2349378000000","2346103000000","55","126354000000","2290696000000","505029000000","269749000000","6886000000","-261875000000","-240458000000","215829000000","289200000000","105200000000","704055167","143589","24425569","2432888","4070"
"2018","4","3650111000000","2268743000000","1381367000000","37.8","978635000000","402732000000","11.0","607767000000","381132000000","128017000000","29.9","291642000000","8.0","387.9","3163.7","3152779706748","3184666706748","-31887000000","10.4","1.3","14.0","5.1","0.9","6.2","160.0","3.78","41.2","5.1","12.3","0.95","1.6","12.1","9.9","7.6","3840269000000","1912440000000","440378000000","11","1","14","601417000000","617232000000","215.6","1927829000000","1404107000000","887119000000","233970000000","516988000000","408491000000","0.2","-0.1","57","2436162000000","2578440000000","2378512000000","62","126354000000","2362736000000","360955000000","200476000000","4559000000","-243061000000","-159094000000","88058000000","272897000000","-","751809893","143509","25434718","2806319","4236"
"2017","4","3643427000000","2262589000000","1380838000000","37.9","961791000000","419047000000","11.5","623984000000","400564000000","123006000000","29.3","288275000000","7.9","383.5","3115.7","3884676506980","3937544506980","-52868000000","13.6","1.7","22.8","6.1","1.1","8.0","150.0","2.86","39.1","4.8","12.3","0.92","1.7","11.3","10.6","7.3","3959038000000","1987036000000","511895000000","13","2","13","503412000000","590182000000","218.2","1972002000000","1556300000000","910545000000","232698000000","645754000000","459027000000","0.2","-0.2","60","2402738000000","2386108000000","2342148000000","59","126354000000","2342822000000","418109000000","200377000000","4560000000","-200777000000","-190069000000","158352000000","259757000000","-","751726710","142669","25537622","2937197","5238"
"2016","4","3337017000000","1972475000000","1364541000000","40.9","914992000000","449548000000","13.5","639608000000","432534000000","146150000000","34.7","265550000000","8.0","339.0","2915.8","3160410037576","3300647037576","-140237000000","12.8","1.4","18.6","4.9","1.0","7.4","140.0","3.32","41.3","4.8","11.6","0.9","1.6","11.3","11.6","7.1","3716030000000","1822150000000","483006000000","13","2","15","455218000000","557408000000","214.4","1893880000000","1370130000000","849834000000","195603000000","520296000000","342769000000","0.2","-0.5","57","2345899000000","2356323000000","2283861000000","61","126354000000","2163115000000","444535000000","188062000000","1998000000","-178276000000","-216404000000","245197000000","199338000000","-","783257484","143616","23235691","3130208","4214"
"2015","4","3790251000000","2293937000000","1496313000000","39.5","979065000000","517248000000","13.6","721727000000","507303000000","182484000000","38.2","284294000000","7.5","363.0","2820.5","3323100258072","3269176258072","53924000000","11.5","1.5","17.0","4.6","0.8","6.7","130.0","3.11","35.8","4.6","12.9","1.0","1.7","12.6","12.6","7.5","3795846000000","1808557000000","387652000000","10","1","12","488832000000","555738000000","216.6","1987289000000","1513835000000","835114000000","181973000000","678720000000","441576000000","0.2","0.2","65","2282011000000","2207664000000","2209069000000","58","126354000000","2014497000000","553938000000","202333000000","2146000000","-233380000000","-238805000000","300358000000","253580000000","-","783223828","144303","26265920","3584458","4174"
"2014","4","3673964000000","2289625000000","1384339000000","37.7","906300000000","478038000000","13.0","667615000000","463212000000","167704000000","35.1","300589000000","8.2","383.8","2650.5","3490942249765","3288393249765","202549000000","11.2","1.6","17.8","5.3","0.9","6.8","100.0","2.38","26.1","3.8","14.5","0.93","1.9","14.1","11.6","7.6","3960908000000","1877649000000","390444000000","10","1","12","541866000000","597535000000","192.3","2083258000000","1814250000000","976198000000","198166000000","838051000000","592993000000","0.3","0.7","82","2146657000000","2035908000000","2075686000000","52","126354000000","1842914000000","428621000000","188332000000","1245000000","-305696000000","-67935000000","115521000000","313100000000","-","783137235","144632","25402152","3305202","4199"
"2013","4","3568091000000","2267663000000","1300428000000","36.4","862296000000","438131000000","12.3","615290000000","434793000000","126311000000","37.1","202053000000","5.7","258.1","2305.6","3394002276940","3116287276940","277715000000","12.7","1.7","21.9","5.9","0.9","7.4","57.0","1.43","22.1","2.5","11.2","1.0","2.0","10.9","13.2","5.6","3577045000000","1717383000000","286558000000","8","1","9","528465000000","557102000000","162.1","1859661000000","1714081000000","1059285000000","188693000000","654795000000","564273000000","0.3","1.4","89","1862963000000","1789714000000","1805285000000","50","126354000000","1597140000000","471771000000","176179000000","980000000","-265229000000","-183722000000","196797000000","274974000000","-","782986753","145029","24602604","3020989","3980"
"2012","4","3039738000000","2017237000000","1022500000000","33.6","736505000000","285995000000","9.4","442505000000","285043000000","88735000000","33.1","171605000000","5.6","219.3","1754.3","2134566874336","1740639874336","393927000000","10.1","1.3","12.8","4.8","0.6","5.3","32.0","1.44","14.6","1.8","12.5","1.0","2.2","12.0","9.9","5.6","3039798000000","1476013000000","226162000000","7","1","13","444669000000","520724000000","165.8","1563785000000","1622450000000","890105000000","168568000000","732345000000","620089000000","0.5","2.3","110","1417347000000","1620484000000","1373022000000","45","126354000000","1428747000000","404467000000","155065000000","1445000000","-237928000000","-55351000000","158336000000","246131000000","-","782661814","143448","21190522","1993719","2224"
