"決算年度","決算四半期","売上高","売上原価","売上総利益","売上総利益率","販管費","営業利益","営業利益率","EBITDA","経常利益","法人税等","実質実効税率","親会社に帰属する純利益","純利益率","EPS","BPS","企業価値","時価総額","純有利子負債","PER（会予）","PBR","PER × PBR","EV/EBITDA（会予）","PSR","PCFR","一株当たり配当金","配当利回り（実績）","配当性向","自己資本配当率","ROE","総資産回転率","財務レバレッジ","実質ROE","ROIC","ROA","総資産","流動資産","現金及び預金","現金/総資産","現金/月間売上","現金/時価総額","売掛金および受取手形","製品および仕掛品","流動比率","固定資産","負債","流動負債","買掛金および支払手形","固定負債","有利子負債","D/Eレシオ","ネットD純利益倍率","自己株調整済負債比率","純資産","株主資本","自己資本","自己資本比率","資本金","利益剰余金","営業CF","減価償却費","のれん償却費","投資CF","財務CF","フリーCF","設備投資額","研究開発費","発行済株式総数","従業員数","売上/従業員数","営利/従業員数","株価"
"2020","4","1456473000000","1266055000000","190417000000","13.1","90265000000","100151000000","6.9","116861000000","105465000000","33515000000","30.2","77176000000","5.3","101.2","1068.7","802074776320","683516776320","118558000000","11.2","0.8","9.4","8.1","0.5","8.8","30.0","3.35","29.7","2.8","9.5","0.76","2.3","9.2","5.8","4.0","1908674000000","1013598000000","214321000000","11","2","31","-","72696000000","141.8","895076000000","1087227000000","714908000000","280980000000","372319000000","332879000000","0.4","1.5","129","821446000000","659494000000","815289000000","43","74365000000","563628000000","80674000000","16710000000","-","-113954000000","-42710000000","-41726000000","122400000000","14800000000","762853545","16586","87813397","6038285","896"
"2019","4","1698292000000","1472622000000","225670000000","13.3","91775000000","133894000000","7.9","147527000000","137986000000","42230000000","29.9","98977000000","5.8","129.7","957.6","632982665605","644613665605","-11631000000","6.8","0.9","6.0","4.3","0.4","5.9","38.0","4.5","29.3","4.0","13.5","0.89","2.6","13.2","8.6","5.2","1904934000000","1145908000000","351722000000","18","2","55","-","82077000000","131.5","759025000000","1168521000000","871553000000","319164000000","296968000000","340091000000","0.5","-0.1","154","736412000000","606741000000","730480000000","38","74365000000","510873000000","170557000000","13633000000","-","-115745000000","68732000000","46257000000","124300000000","13200000000","762856409","16297","104208873","8215868","845"
"2018","4","1664960000000","1448315000000","216645000000","13.0","86921000000","129724000000","7.8","143028000000","133957000000","43113000000","30.1","99668000000","6.0","127.0","929.7","871936491534","754737491534","117199000000","8.3","1.0","8.6","6.4","0.4","7.2","36.0","3.74","28.3","3.9","13.7","0.89","2.6","13.6","8.7","5.4","1860794000000","1145901000000","150978000000","8","1","20","-","104824000000","136.8","714892000000","1125551000000","837868000000","354466000000","287683000000","268177000000","0.4","1.2","153","735242000000","559674000000","729416000000","39","74365000000","443802000000","-14933000000","13304000000","-","-52652000000","-42404000000","-73733000000","58800000000","12500000000","784550407","16184","102876915","8015571","962"
"2017","4","1519435000000","1316018000000","203417000000","13.4","82043000000","121373000000","8.0","133772000000","124130000000","43188000000","33.7","84978000000","5.6","108.3","829.6","-","-","92444000000","-","-","-","-","-","-","26.0","-","24.0","3.1","13.1","0.85","2.7","13.0","8.3","4.8","1780943000000","1104578000000","196158000000","11","2","-","-","98172000000","135.6","676365000000","1124613000000","814299000000","377469000000","310314000000","288602000000","0.4","1.1","171","656330000000","482680000000","650852000000","37","74365000000","366805000000","82879000000","12399000000","-","-30938000000","-26124000000","52239000000","30640000000","-","784553510","16024","94822454","7574451","-"
"2016","4","1567427000000","1357806000000","209620000000","13.4","80784000000","128835000000","8.2","140497000000","131197000000","37953000000","27.7","98946000000","6.3","126.1","728.8","-","-","115271000000","-","-","-","-","-","-","26.0","-","20.6","3.6","17.3","0.93","3.0","17.3","10.6","5.9","1688197000000","1059091000000","172803000000","10","1","-","-","117520000000","133.9","629106000000","1111318000000","790868000000","390395000000","320449000000","288074000000","0.5","1.2","192","576879000000","422017000000","571774000000","34","74365000000","306128000000","143668000000","11662000000","-","-34654000000","-65375000000","112728000000","30940000000","-","784565115","15925","98425557","8090110","-"
"2015","4","1664933000000","1489559000000","175374000000","10.5","80706000000","94668000000","5.7","106236000000","95501000000","33943000000","36.3","59322000000","3.6","75.6","612.7","-","-","142319000000","-","-","-","-","-","-","16.0","-","21.2","2.6","12.3","0.97","3.6","12.3","7.5","3.4","1722936000000","1120395000000","189167000000","11","1","-","-","107283000000","129.1","602541000000","1237281000000","867576000000","441301000000","369704000000","331486000000","0.7","2.4","254","485655000000","335457000000","480716000000","28","74365000000","219507000000","38335000000","11568000000","-","-14051000000","9199000000","22329000000","16006000000","-","784585747","15640","106453517","6052941","-"
"2014","4","1567843000000","1444845000000","122998000000","7.8","72966000000","50032000000","3.2","61419000000","56246000000","21550000000","38.7","33397000000","2.1","42.6","607.8","-","-","138899000000","-","-","-","-","-","-","8.0","-","18.8","1.3","7.0","0.92","3.6","7.0","3.6","2.0","1703399000000","1038673000000","176482000000","10","1","-","-","90827000000","125.1","664725000000","1221502000000","830562000000","454576000000","390940000000","315381000000","0.7","4.2","253","481896000000","283259000000","476909000000","28","74365000000","167283000000","56105000000","11387000000","-","-17644000000","14305000000","36315000000","19790000000","-","784624075","15587","100586579","3209854","-"
"2013","4","1497578000000","1401803000000","95774000000","6.4","69720000000","26054000000","1.7","36291000000","29277000000","15067000000","49.8","14191000000","0.9","18.1","474.4","-","-","169048000000","-","-","-","-","-","-","7.0","-","38.7","1.5","3.8","0.99","4.1","3.8","1.6","0.9","1512686000000","944912000000","141440000000","9","1","-","-","71284000000","119.6","567774000000","1136638000000","789972000000","435934000000","346666000000","310488000000","0.8","11.9","301","376048000000","255162000000","372262000000","25","74365000000","139160000000","17395000000","10237000000","-","-27977000000","-28592000000","-10152000000","27547000000","-","784657240","15518","96505864","1678953","-"
"2012","4","1416044000000","1333001000000","83042000000","5.9","69940000000","13101000000","0.9","23613000000","17330000000","8583000000","59.4","5901000000","0.4","7.5","452.8","-","-","165980000000","-","-","-","-","-","-","7.0","-","93.1","1.5","1.7","0.97","4.1","1.7","0.7","0.4","1456441000000","923697000000","158634000000","11","1","-","-","93011000000","118.7","532744000000","1098346000000","778120000000","388901000000","320226000000","324614000000","0.9","28.1","305","358094000000","247221000000","355304000000","24","74365000000","131202000000","46364000000","10512000000","-","-29744000000","-14045000000","13206000000","33158000000","-","784695378","15616","90679047","838947","-"
"2011","4","1224532000000","1249530000000","86663000000","7.1","69097000000","17566000000","1.4","27006000000","16159000000","12355000000","90.9","1430000000","0.1","1.8","387.7","-","-","183209000000","-","-","-","-","-","-","7.0","-","384.1","1.8","0.5","0.87","4.6","0.5","0.8","0.1","1410975000000","927685000000","150773000000","11","1","-","-","-","115.5","483290000000","1103972000000","803186000000","398364000000","300786000000","333982000000","1.1","128.1","358","307002000000","246858000000","304264000000","22","74365000000","130838000000","10518000000","9440000000","-","-21566000000","-23942000000","-10613000000","21131000000","-","784704967","-","-","-","-"
