"決算年度","決算四半期","売上高","売上原価","売上総利益","売上総利益率","販管費","営業利益","営業利益率","EBITDA","経常利益","法人税等","実質実効税率","親会社に帰属する純利益","純利益率","EPS","BPS","企業価値","時価総額","純有利子負債","PER（会予）","PBR","PER × PBR","EV/EBITDA（会予）","PSR","PCFR","一株当たり配当金","配当利回り（実績）","配当性向","自己資本配当率","ROE","総資産回転率","財務レバレッジ","実質ROE","ROIC","ROA","総資産","流動資産","現金及び預金","現金/総資産","現金/月間売上","現金/時価総額","売掛金および受取手形","製品および仕掛品","流動比率","固定資産","負債","流動負債","買掛金および支払手形","固定負債","有利子負債","D/Eレシオ","ネットD純利益倍率","自己株調整済負債比率","純資産","株主資本","自己資本","自己資本比率","資本金","利益剰余金","営業CF","減価償却費","のれん償却費","投資CF","財務CF","フリーCF","設備投資額","研究開発費","発行済株式総数","従業員数","売上/従業員数","営利/従業員数","株価"
"2021","4","470657000000","-","-","-","347766000000","58852000000","12.5","91286000000","59944000000","18698000000","31.3","30212000000","6.4","140.0","1965.5","573513806252","256414806252","317099000000","10.3","0.6","6.2","6.9","0.6","4.5","50.0","4.21","35.7","2.5","7.1","0.07","14.8","7.1","2.7","0.5","6278586000000","5979170000000","738782000000","12","19","288","27028000000","-","118.3","298699000000","5769530000000","5052244000000","-","717286000000","1055881000000","2.5","10.5","1133","509055000000","423771000000","424223000000","7","45698000000","258525000000","76287000000","30561000000","1873000000","-33562000000","-13508000000","47225000000","29062000000","-","215837379","-","-","-","1188"
"2020","4","487309000000","-","-","-","358689000000","40651000000","8.3","72101000000","40238000000","13196000000","33.6","17693000000","3.6","82.0","1860.1","595039904300","294392904300","300647000000","-","0.7","-","1.2","0.6","9.4","34.0","2.49","41.5","1.8","4.4","0.08","15.3","4.4","2.0","0.3","6123721000000","5814809000000","705739000000","12","17","240","30800000000","-","118.9","308130000000","5649053000000","4888859000000","-","760194000000","1006386000000","2.5","17.0","1189","474667000000","402768000000","401462000000","7","45698000000","237385000000","62282000000","29579000000","1871000000","-94557000000","-14354000000","22775000000","39507000000","-","215830575","17611","27670717","2308273","1364"
"2019","4","457280000000","-","-","-","354977000000","65070000000","14.2","92508000000","65797000000","19535000000","30.3","34149000000","7.5","158.2","1823.1","595785027968","338377027968","257408000000","8.9","0.9","7.7","6.1","0.8","5.2","68.0","4.34","43.0","3.7","8.7","0.08","14.7","8.7","3.2","0.6","5781370000000","5483871000000","762891000000","13","20","225","14823000000","-","116.8","296720000000","5322295000000","4693618000000","-","628676000000","1020299000000","2.6","7.5","1158","459075000000","396032000000","393418000000","7","45698000000","230508000000","352217000000","25756000000","1682000000","-177438000000","-89040000000","312422000000","39795000000","-","215801676","19873","23010114","3274292","1568"
"2018","4","439001000000","-","-","-","-","-","-","-","70171000000","17998000000","26.0","39408000000","9.0","182.6","1764.1","4160715072818","486148072818","3674567000000","11.6","1.3","14.8","-","1.1","7.5","68.0","3.02","37.2","3.9","10.4","0.08","13.8","9.7","-","0.8","5254079000000","4981426000000","644502000000","12","18","133","13316000000","-","115.2","272425000000","4805374000000","4325626000000","-","479748000000","4319069000000","11.3","93.2","1015","448705000000","376376000000","380645000000","7","45698000000","235413000000","215730000000","20851000000","1835000000","-194595000000","-16072000000","181107000000","34623000000","-","215778106","19313","22730855","-","2253"
"2017","4","407970000000","-","-","-","-","-","-","-","65746000000","17697000000","26.6","38677000000","9.5","179.3","1714.9","3152917730605","527541730605","2625376000000","13.2","1.4","18.8","-","1.4","8.6","68.0","2.78","37.9","4.0","10.5","0.08","13.1","9.8","-","0.8","4852844000000","-","650470000000","13","19","123","5095000000","-","-","-","4415061000000","-","-","-","3275846000000","8.9","67.9","954","437782000000","368124000000","370017000000","8","45698000000","227387000000","198941000000","19221000000","1835000000","-68075000000","-15237000000","163269000000","35672000000","-","215763489","18460","22100217","-","2445"
"2016","4","375166000000","-","-","-","-","-","-","-","61606000000","12065000000","20.2","39454000000","10.5","182.9","1604.8","2667916604598","452362604598","2215554000000","12.2","1.3","16.0","-","1.2","8.0","68.0","3.24","37.2","4.2","11.4","0.09","12.1","10.6","-","0.9","4187263000000","-","534656000000","13","17","118","3945000000","-","-","-","3786093000000","-","-","-","2750210000000","7.9","56.2","888","401170000000","345210000000","346183000000","8","45698000000","203401000000","35909000000","17583000000","1865000000","5357000000","43487000000","-662000000","36571000000","-","215718934","17340","21635871","-","2097"
"2015","4","359651000000","-","-","-","-","-","-","-","59380000000","14787000000","25.0","35785000000","9.9","180.1","1465.3","2425986064992","527802064992","1898184000000","16.0","1.8","29.0","-","1.4","10.4","66.0","2.48","36.7","4.5","12.3","0.1","12.9","11.3","-","1.0","3745546000000","-","444868000000","12","15","84","5051000000","-","-","-","3404660000000","-","-","-","2343052000000","8.0","53.0","930","340886000000","289296000000","291187000000","8","30441000000","177766000000","-9650000000","15884000000","1840000000","-5782000000","-15805000000","-39277000000","29627000000","-","198720657","17244","20856588","-","2656"
"2014","4","329046000000","-","-","-","-","-","-","-","53080000000","14065000000","26.7","30491000000","9.3","153.5","1377.6","2212725266945","603027266945","1609698000000","22.8","2.2","50.1","-","1.9","14.1","60.0","1.98","39.1","4.4","11.1","0.09","13.1","10.2","-","0.8","3589495000000","-","467726000000","13","17","78","6649000000","-","-","-","3264547000000","-","-","-","2077424000000","7.6","52.8","932","324948000000","266026000000","273709000000","8","30421000000","154518000000","161500000000","14532000000","1839000000","-81427000000","-34579000000","126365000000","35135000000","-","198691027","14965","21987705","-","3035"
"2013","4","286070000000","-","-","-","-","-","-","-","41092000000","11912000000","29.9","20743000000","7.3","100.5","1316.0","1885905855442","480360855442","1405545000000","46.4","1.8","82.1","-","-","19.3","60.0","2.58","59.7","4.6","7.6","0.09","11.6","7.6","-","0.7","3163117000000","-","416662000000","13","17","87","12119000000","-","-","-","2855825000000","-","-","-","1822207000000","6.7","67.8","929","307291000000","270036000000","271660000000","9","29051000000","136270000000","-137497000000","12734000000","1778000000","15984000000","30003000000","-170336000000","32839000000","-","206429246","12220","23409984","-","2327"
"2012","4","205972000000","-","-","-","158237000000","33080000000","16.1","43585000000","33367000000","11422000000","37.5","13616000000","6.6","72.7","1235.3","776478231764","500695231764","275783000000","36.3","2.2","78.5","18.1","-","20.6","50.0","1.68","68.8","4.0","5.9","0.08","11.0","5.9","2.1","0.5","2534208000000","2424650000000","517456000000","20","30","103","-","-","127.2","109435000000","2275336000000","1905730000000","-","369606000000","793239000000","3.4","20.3","878","258872000000","231919000000","231301000000","9","15466000000","125320000000","27277000000","9949000000","556000000","24825000000","219960000000","13158000000","14119000000","-","187245786","9230","22315493","3583965","2674"
