"åàéZîNìx","åàéZélîºä˙","îÑè„çÇ","îÑè„å¥âø","îÑè„ëçóòâv","îÑè„ëçóòâvó¶","îÃä«îÔ","âcã∆óòâv","âcã∆óòâvó¶","EBITDA","åoèÌóòâv","ñ@êlê≈ìô","é¿éøé¿å¯ê≈ó¶","êeâÔé–Ç…ãAëÆÇ∑ÇÈèÉóòâv","èÉóòâvó¶","EPS","BPS","äÈã∆âøíl","éûâøëçäz","èÉóLóòéqïâç¬","PERÅiâÔó\Åj","PBR","PER Å~ PBR","EV/EBITDAÅiâÔó\Åj","PSR","PCFR","àÍäîìñÇΩÇËîzìñã‡","îzìñóòâÒÇËÅié¿ê—Åj","îzìñê´å¸","é©å»éëñ{îzìñó¶","ROE","ëçéëéYâÒì]ó¶","ç‡ñ±ÉåÉoÉåÉbÉW","é¿éøROE","ROIC","ROA","ëçéëéY","ó¨ìÆéëéY","åªã‡ãyÇ—óaã‡","åªã‡/ëçéëéY","åªã‡/åéä‘îÑè„","åªã‡/éûâøëçäz","îÑä|ã‡Ç®ÇÊÇ—éÛéÊéËå`","êªïiÇ®ÇÊÇ—édä|ïi","ó¨ìÆî‰ó¶","å≈íËéëéY","ïâç¬","ó¨ìÆïâç¬","îÉä|ã‡Ç®ÇÊÇ—éxï•éËå`","å≈íËïâç¬","óLóòéqïâç¬","D/EÉåÉVÉI","ÉlÉbÉgDèÉóòâvî{ó¶","é©å»äîí≤êÆçœïâç¬î‰ó¶","èÉéëéY","äîéÂéëñ{","é©å»éëñ{","é©å»éëñ{î‰ó¶","éëñ{ã‡","óòâvèËó]ã‡","âcã∆CF","å∏âøèûãpîÔ","ÇÃÇÍÇÒèûãpîÔ","ìäéëCF","ç‡ñ±CF","ÉtÉäÅ[CF","ê›îıìäéëäz","å§ãÜäJî≠îÔ","î≠çsçœäîéÆëçêî","è]ã∆àıêî","îÑè„/è]ã∆àıêî","âcóò/è]ã∆àıêî","äîâø"
"2021","4","2038909000000","1676459000000","362450000000","17.8","275118000000","87331000000","4.3","140961000000","100969000000","15539000000","16.4","74037000000","3.6","49.8","407.8","461509056685","492479056685","-30970000000","9.8","0.8","8.0","3.7","0.2","4.8","0.0","0.0","0.0","-","12.2","1.06","3.2","12.2","6.6","3.8","1928443000000","1255920000000","511502000000","27","3","104","-","299591000000","115.8","672523000000","1298142000000","1084173000000","324091000000","213968000000","480532000000","0.8","-0.4","206","630301000000","652531000000","606772000000","31","284382000000","169694000000","118114000000","53630000000","-","-69123000000","-10234000000","30923000000","87191000000","-","1487852135","-","-","-","331"
"2020","4","1455476000000","1299021000000","156454000000","10.7","251776000000","-95321000000","-","-","-105203000000","11139000000","-3.7","-312317000000","-","-210.0","341.4","496177535965","468570535965","27607000000","-","0.9","-","-","0.3","-1.8","0.0","0.0","0.0","-","-","0.78","3.7","-","-","-","1856279000000","1223940000000","455716000000","25","4","97","154253000000","249955000000","141.0","632338000000","1331027000000","867947000000","307704000000","463080000000","483323000000","1.0","-0.1","253","525251000000","578602000000","507906000000","27","284382000000","95928000000","-41537000000","65917000000","-","-101323000000","168291000000","-118018000000","76481000000","101365000000","1487525511","30091","48369147","-3167758","315"
"2019","4","2270276000000","1932762000000","337514000000","14.9","324726000000","12788000000","0.6","87577000000","-3843000000","25857000000","680.3","-25779000000","-","-17.3","519.2","355203745870","455423745870","-100220000000","91.1","0.6","53.7","3.4","0.2","5.7","10.0","3.27","-57.7","1.9","-","1.17","2.5","-","-","-","1938123000000","1202862000000","399614000000","21","2","88","137519000000","273428000000","131.0","735260000000","1149759000000","918344000000","308378000000","231415000000","299394000000","0.4","3.9","146","788363000000","890273000000","772664000000","40","284382000000","407547000000","18786000000","74789000000","-","-105712000000","9624000000","-109850000000","128636000000","130900000000","1488312895","32171","70569022","397501","306"
"2018","4","2514594000000","2057340000000","457254000000","18.2","345439000000","111815000000","4.4","173994000000","119850000000","-16644000000","-14.1","132871000000","5.3","89.3","585.8","605197982848","875127982848","-269930000000","8.0","1.0","8.0","3.5","0.4","5.1","20.0","3.4","22.4","3.4","15.2","1.25","2.3","15.2","11.6","6.6","2010309000000","1280457000000","500924000000","25","2","57","126398000000","234408000000","138.7","729852000000","1129105000000","923267000000","391785000000","205838000000","230994000000","0.3","-2.0","128","881203000000","945818000000","871785000000","43","284382000000","463092000000","146053000000","62179000000","-","-144906000000","-74966000000","-4983000000","151036000000","124300000000","1488312896","31314","80302548","3570767","588"
"2017","4","2192389000000","1730278000000","462111000000","21.1","363909000000","98201000000","4.5","150752000000","110127000000","-3203000000","-3.1","107619000000","4.9","72.2","524.1","589739895910","1133935895910","-544196000000","11.3","1.5","16.5","4.0","0.5","7.4","17.0","2.23","23.5","3.2","13.8","1.33","2.1","13.8","12.5","6.5","1646240000000","1046837000000","571911000000","35","3","50","176020000000","203784000000","140.4","599402000000","849677000000","745541000000","426312000000","104135000000","27715000000","0.0","-5.1","107","796562000000","851482000000","780969000000","47","284382000000","363382000000","119624000000","52551000000","-","-97093000000","-23161000000","16817000000","102807000000","-","1490060310","30507","71865113","3218966","761"
"2016","4","1906632000000","1581273000000","325359000000","17.1","320240000000","5118000000","0.3","51933000000","8944000000","38051000000","-24.0","-198524000000","-","-133.2","463.4","457629380840","996850380840","-539221000000","-","1.4","-","9.6","0.5","-6.4","10.0","1.49","-7.5","2.2","-","1.28","2.1","-","-","-","1484413000000","971401000000","556836000000","38","4","56","164761000000","164029000000","144.2","513011000000","780949000000","673566000000","378561000000","107383000000","17615000000","0.0","2.7","111","703463000000","765381000000","690455000000","47","284382000000","277281000000","-45829000000","46815000000","-","-73119000000","210377000000","-113833000000","68004000000","-","1490060360","29604","64404540","172882","669"
"2015","4","2267849000000","1797659000000","470190000000","20.7","331812000000","138377000000","6.1","197094000000","141027000000","31019000000","28.5","72575000000","3.2","73.8","682.4","405879871949","829039871949","-423160000000","8.3","1.2","10.2","2.2","0.4","5.2","16.0","1.9","21.7","2.3","10.8","1.58","2.1","10.8","15.3","5.1","1433725000000","914183000000","453371000000","32","2","55","172119000000","189328000000","143.0","519541000000","748387000000","639250000000","362066000000","109137000000","30211000000","0.0","-5.8","109","685337000000","739328000000","671148000000","47","165701000000","488590000000","197691000000","58717000000","-","17169000000","-122917000000","122019000000","75672000000","-","983439943","29555","76733175","4682017","843"
"2014","4","2180728000000","1707091000000","473637000000","21.7","337724000000","135913000000","6.2","198359000000","151616000000","9481000000","7.3","118170000000","5.4","120.2","669.7","776756480290","1067032480290","-290276000000","9.7","1.6","15.7","3.9","0.5","6.2","16.0","1.47","13.3","2.4","17.9","1.38","2.4","17.9","15.6","7.5","1582802000000","963658000000","440272000000","28","2","41","184653000000","211682000000","139.1","619143000000","912035000000","692840000000","353862000000","219195000000","149996000000","0.2","-2.5","136","670766000000","682980000000","658653000000","42","165701000000","432241000000","177008000000","62406000000","40000000","-71327000000","-131494000000","83366000000","93642000000","-","983440074","30498","71503967","4456456","1085"
"2013","4","2093409000000","1643176000000","450232000000","21.5","326797000000","123434000000","5.9","182646000000","129472000000","10063000000","8.6","104664000000","5.0","106.4","549.6","843160778880","1062115778880","-218955000000","-","2.0","-","-","-","17.9","25.0","2.31","23.5","4.5","19.4","1.36","2.9","19.4","14.7","6.8","1543890000000","936561000000","450063000000","29","3","42","173535000000","207549000000","129.9","607329000000","993880000000","720946000000","346579000000","272934000000","231108000000","0.4","-2.1","181","550009000000","591453000000","540532000000","35","165701000000","340714000000","210443000000","59211000000","1000000","-81352000000","-82083000000","110897000000","99546000000","-","983440536","30280","69135040","4076420","1080"
"2012","4","1815113000000","1475141000000","339971000000","18.7","272589000000","67382000000","3.7","121707000000","93903000000","27769000000","40.0","37978000000","2.1","62.5","559.7","562080048546","595713048546","-33633000000","45.8","1.8","80.2","4.8","0.3","8.8","0.0","0.0","0.0","-","11.2","1.25","4.3","11.2","5.5","2.6","1452809000000","878980000000","409509000000","28","3","69","149555000000","202320000000","111.7","573829000000","1101581000000","787248000000","313810000000","314333000000","375876000000","1.1","-0.9","313","351227000000","401754000000","340197000000","23","657355000000","-688049000000","172227000000","54324000000","1000000","-114327000000","-8310000000","101712000000","70515000000","-","607870458","29822","60864898","2259473","980"
