"決算年度","決算四半期","売上高","売上原価","売上総利益","売上総利益率","販管費","営業利益","営業利益率","EBITDA","経常利益","法人税等","実質実効税率","親会社に帰属する純利益","純利益率","EPS","BPS","企業価値","時価総額","純有利子負債","PER（会予）","PBR","PER × PBR","EV/EBITDA（会予）","PSR","PCFR","一株当たり配当金","配当利回り（実績）","配当性向","自己資本配当率","ROE","総資産回転率","財務レバレッジ","実質ROE","ROIC","ROA","総資産","流動資産","現金及び預金","現金/総資産","現金/月間売上","現金/時価総額","売掛金および受取手形","製品および仕掛品","流動比率","固定資産","負債","流動負債","買掛金および支払手形","固定負債","有利子負債","D/Eレシオ","ネットD純利益倍率","自己株調整済負債比率","純資産","株主資本","自己資本","自己資本比率","資本金","利益剰余金","営業CF","減価償却費","のれん償却費","投資CF","財務CF","フリーCF","設備投資額","研究開発費","発行済株式総数","従業員数","売上/従業員数","営利/従業員数","株価"
"2020","4","3218095000000","-","-","-","-","-","-","-","536306000000","174788000000","26.8","471020000000","14.6","185.8","3650.9","119459821819088","4054040819088","115405781000000","11.6","0.4","5.1","-","-","7.8","41.3","4.69","203.9","1.1","5.1","0.01","24.4","5.1","-","0.2","225586211000000","-","47981981000000","21","179","1184","3208004000000","-","-","-","216224003000000","-","-","-","163387762000000","17.7","245.0","2308","9362207000000","7807239000000","9256276000000","4","2256767000000","4421655000000","16613235000000","163231000000","3743000000","-9763746000000","40819000000","16397031000000","216204000000","-","2535360112","54492","59056283","-","1599"
"2019","4","3986701000000","-","-","-","-","-","-","-","637877000000","161496000000","26.1","448568000000","11.3","176.9","3373.0","116228212467762","3134544467762","113093668000000","6.7","0.4","2.4","-","-","5.0","7.5","6.07","42.4","0.2","5.2","0.02","25.1","5.2","-","0.2","214659077000000","-","41069745000000","19","124","1310","2688273000000","-","-","-","205995229000000","-","-","-","154163413000000","18.0","252.1","2376","8663847000000","7561010000000","8553972000000","4","2256767000000","4174190000000","1901893000000","152666000000","4062000000","-5808537000000","-281849000000","1665042000000","236851000000","-","2536039213","57264","69619674","-","1236"
"2018","4","3925649000000","-","-","-","-","-","-","-","614118000000","-2502000000","-2.2","96566000000","2.5","38.1","3450.0","106532702309473","4343917309473","102188785000000","54.3","0.5","27.0","-","-","17.2","7.5","4.38","197.0","0.2","1.1","0.02","23.0","1.1","0.0","0.0","200792226000000","-","45108602000000","22","138","1038","2828959000000","-","-","-","191598188000000","-","-","-","147297387000000","16.8","1058.2","2082","9194038000000","7303034000000","8748806000000","4","2256767000000","3915521000000","-2636096000000","168200000000","4080000000","5487153000000","-18640000000","-2790394000000","154298000000","-","2535853654","59132","66387895","-","1713"
"2017","4","3561125000000","-","-","-","-","-","-","-","782447000000","191627000000","24.0","576547000000","16.2","227.3","3574.2","102210120686509","4854825686509","97355295000000","8.8","0.5","4.7","-","-","6.7","7.5","3.92","33.0","0.2","6.4","0.02","22.6","6.4","-","0.3","205028300000000","-","47725360000000","23","161","983","2713742000000","-","-","-","195207054000000","-","-","-","145080655000000","16.0","168.9","1986","9821246000000","7388309000000","9065844000000","4","2256548000000","4002835000000","2966701000000","173660000000","4154000000","-2316197000000","149962000000","2727080000000","239621000000","-","2536481550","60051","59301677","-","1914"
"2016","4","3292900000000","-","-","-","-","-","-","-","737512000000","137735000000","17.6","603544000000","18.3","237.9","3359.7","97302227298964","5174728298964","92127499000000","8.6","0.6","5.2","-","-","6.7","7.5","3.68","31.5","0.2","7.1","0.02","23.5","7.1","-","0.3","200508610000000","-","47129583000000","24","172","911","2745204000000","-","-","-","191235249000000","-","-","-","139257082000000","16.3","152.6","2061","9273361000000","7001291000000","8522268000000","4","2256275000000","3615449000000","4690131000000","166265000000","2816000000","5796391000000","-24537000000","4298936000000","391195000000","-","2536631519","59179","55643049","-","2040"
"2015","4","3215274000000","-","-","-","-","-","-","-","997529000000","282549000000","28.0","670943000000","20.9","268.2","3264.6","93126375162573","4205794162573","88920581000000","6.7","0.5","3.4","-","-","5.3","7.5","4.46","28.0","0.2","8.2","0.02","23.7","8.2","-","0.3","193458580000000","-","36315471000000","19","136","863","2979797000000","-","-","-","184105335000000","-","-","-","125236052000000","15.3","132.5","1968","9353244000000","6559962000000","8167814000000","4","2255790000000","3197616000000","4104197000000","159953000000","830000000","3687897000000","-521023000000","3779827000000","324370000000","-","2501959645","56375","57033685","-","1681"
"2014","4","3180225000000","-","-","-","-","-","-","-","1010867000000","304992000000","30.8","611935000000","19.2","248.7","3316.1","96920455501626","5195223501626","91725232000000","9.4","0.6","6.0","-","-","7.3","7.5","3.55","30.2","0.2","7.5","0.02","23.2","7.5","-","0.3","189684749000000","-","29096166000000","15","110","560","3239831000000","-","-","-","179884211000000","-","-","-","120821398000000","14.8","149.9","1835","9800538000000","6131166000000","8161123000000","4","2255404000000","2769371000000","6654958000000","156946000000","3698000000","2619227000000","-903401000000","6251208000000","403750000000","-","2461024871","54784","58050252","-","2111"
"2013","4","2927760000000","-","-","-","-","-","-","-","987587000000","214970000000","21.8","688415000000","23.5","283.9","2662.8","92655788757760","4947013757760","87708775000000","-","0.8","-","-","-","31.6","6.5","3.19","22.9","0.2","10.7","0.02","27.2","10.7","-","0.4","175822885000000","-","20610276000000","12","84","417","3263057000000","-","-","-","167518336000000","-","-","-","108319051000000","16.8","127.4","2016","8304549000000","5676215000000","6457313000000","4","2254972000000","2315608000000","-2286042000000","153098000000","3672000000","10607483000000","-305744000000","-2517696000000","231654000000","-","2425006744","54911","53318279","-","2040"
"2012","4","2913005000000","-","-","-","-","-","-","-","750376000000","57862000000","8.1","560516000000","19.2","232.2","2455.0","98131007513153","4804404513153","93326603000000","9.6","0.8","7.8","-","-","7.3","6.0","3.02","25.8","0.2","9.5","0.02","29.9","9.4","-","0.3","177411062000000","-","12333997000000","7","51","257","1279964000000","-","-","-","169674832000000","-","-","-","105660600000000","17.8","166.5","2192","7736230000000","5174601000000","5927136000000","3","2254972000000","1814782000000","5858617000000","154147000000","3405000000","-749691000000","-283872000000","5713912000000","144705000000","-","2414273625","55492","52494143","-","1990"
"2011","4","2715674000000","-","-","-","-","-","-","-","648561000000","152827000000","21.3","484519000000","17.8","201.8","2044.7","92283751106715","3241501106715","89042250000000","7.0","0.7","4.7","-","-","5.2","6.0","4.44","29.7","0.3","9.9","0.02","33.7","9.9","-","0.3","165360501000000","-","7278477000000","4","32","225","1542062000000","-","-","-","158491206000000","-","-","-","96320727000000","19.6","183.8","2305","6869295000000","4762749000000","4909438000000","3","2254972000000","1405066000000","4163027000000","165436000000","2802000000","-6175676000000","-680652000000","4015908000000","147119000000","-","2401111931","-","-","-","1350"
