"åàéZîNìx","åàéZélîºä˙","îÑè„çÇ","îÑè„å¥âø","îÑè„ëçóòâv","îÑè„ëçóòâvó¶","îÃä«îÔ","âcã∆óòâv","âcã∆óòâvó¶","EBITDA","åoèÌóòâv","ñ@êlê≈ìô","é¿éøé¿å¯ê≈ó¶","êeâÔé–Ç…ãAëÆÇ∑ÇÈèÉóòâv","èÉóòâvó¶","EPS","BPS","äÈã∆âøíl","éûâøëçäz","èÉóLóòéqïâç¬","PERÅiâÔó\Åj","PBR","PER Å~ PBR","EV/EBITDAÅiâÔó\Åj","PSR","PCFR","àÍäîìñÇΩÇËîzìñã‡","îzìñóòâÒÇËÅié¿ê—Åj","îzìñê´å¸","é©å»éëñ{îzìñó¶","ROE","ëçéëéYâÒì]ó¶","ç‡ñ±ÉåÉoÉåÉbÉW","é¿éøROE","ROIC","ROA","ëçéëéY","ó¨ìÆéëéY","åªã‡ãyÇ—óaã‡","åªã‡/ëçéëéY","åªã‡/åéä‘îÑè„","åªã‡/éûâøëçäz","îÑä|ã‡Ç®ÇÊÇ—éÛéÊéËå`","êªïiÇ®ÇÊÇ—édä|ïi","ó¨ìÆî‰ó¶","å≈íËéëéY","ïâç¬","ó¨ìÆïâç¬","îÉä|ã‡Ç®ÇÊÇ—éxï•éËå`","å≈íËïâç¬","óLóòéqïâç¬","D/EÉåÉVÉI","ÉlÉbÉgDèÉóòâvî{ó¶","é©å»äîí≤êÆçœïâç¬î‰ó¶","èÉéëéY","äîéÂéëñ{","é©å»éëñ{","é©å»éëñ{î‰ó¶","éëñ{ã‡","óòâvèËó]ã‡","âcã∆CF","å∏âøèûãpîÔ","ÇÃÇÍÇÒèûãpîÔ","ìäéëCF","ç‡ñ±CF","ÉtÉäÅ[CF","ê›îıìäéëäz","å§ãÜäJî≠îÔ","î≠çsçœäîéÆëçêî","è]ã∆àıêî","îÑè„/è]ã∆àıêî","âcóò/è]ã∆àıêî","äîâø"
"2021","4","3513357000000","1885565000000","1627792000000","46.3","1058536000000","281918000000","8.0","503164000000","302706000000","71866000000","23.7","214718000000","6.1","205.3","2748.0","2848782696959","2929206696959","-80424000000","14.6","1.0","14.9","5.8","0.8","6.9","100.0","3.57","48.7","3.6","7.5","0.74","1.7","5.3","6.6","4.5","4750888000000","1878345000000","401395000000","8","1","14","522432000000","650568000000","177.1","2872543000000","1652459000000","1060833000000","338604000000","591626000000","320971000000","0.1","-0.4","39","3098429000000","2873773000000","2873773000000","60","174762000000","3606052000000","451028000000","221246000000","-","-207256000000","-267366000000","273678000000","177350000000","287338000000","1045771759","184034","19090804","1531880","2801"
"2020","4","3160243000000","1784375000000","1375868000000","43.5","993009000000","110547000000","3.5","338372000000","130280000000","34337000000","26.4","83318000000","2.6","79.7","2462.3","2167028269810","2068540269810","98488000000","39.8","0.8","32.0","7.4","0.7","7.4","80.0","4.04","100.4","3.2","3.2","0.68","1.8","2.2","2.5","1.8","4625614000000","1789143000000","407684000000","9","2","20","535126000000","562807000000","134.9","2836471000000","1841573000000","1326189000000","303809000000","515384000000","506172000000","0.2","1.2","47","2784041000000","2575031000000","2575031000000","56","174762000000","3478807000000","333805000000","227825000000","-","-155439000000","-183449000000","169086000000","164719000000","272312000000","1045773645","181897","17373805","607745","1978"
"2019","4","3593299000000","1983266000000","1610033000000","44.8","1136863000000","174667000000","4.9","411994000000","195740000000","56223000000","28.7","125105000000","3.5","117.6","2531.0","3279273647642","3177141647642","102132000000","22.7","1.2","26.8","7.7","0.9","8.4","160.0","5.36","136.1","6.3","4.6","0.75","1.8","3.3","3.7","2.6","4768351000000","1845965000000","412814000000","9","1","13","559836000000","584756000000","192.2","2922386000000","1876433000000","960498000000","305312000000","915935000000","514946000000","0.2","0.8","47","2891918000000","2692595000000","2692595000000","56","174762000000","3529754000000","358461000000","237327000000","-","-228568000000","-232590000000","142790000000","215671000000","298503000000","1063834471","187041","19211291","933843","2987"
"2018","4","3951937000000","2116383000000","1835554000000","46.4","1176760000000","342952000000","8.7","594506000000","362892000000","96150000000","26.5","252755000000","6.4","234.1","2618.8","3120173218823","3240329218823","-120156000000","12.9","1.1","14.8","5.3","0.8","6.4","160.0","5.33","68.4","6.1","8.9","0.81","1.7","6.5","7.6","5.2","4899465000000","2050181000000","520645000000","11","2","16","612953000000","611281000000","199.1","2849284000000","1881552000000","1029654000000","352489000000","851898000000","400489000000","0.1","-0.5","46","3017913000000","2827602000000","2827602000000","58","174762000000","3576024000000","365293000000","251554000000","-","-195615000000","-354830000000","173894000000","191399000000","315842000000","1079749823","195056","20260525","1758223","3001"
"2017","4","4080020000000","2087320000000","1992690000000","48.8","1661210000000","331479000000","8.1","593360000000","353884000000","98024000000","27.7","241923000000","5.9","224.1","2658.6","4345726288600","4534974288600","-189248000000","18.5","1.6","29.2","7.1","1.1","8.9","160.0","3.81","71.4","6.0","8.4","0.78","1.8","6.2","6.9","4.7","5198290000000","2232650000000","721814000000","14","2","16","664250000000","570033000000","201.2","2965640000000","2102120000000","1109480000000","380654000000","992636000000","532566000000","0.2","-0.8","51","3096180000000","2870630000000","2870635000000","55","174762000000","3496190000000","590557000000","261881000000","-","-165010000000","-340464000000","401557000000","189000000000","330000000000","1079755783","197776","20629500","1676032","4200"
"2016","4","3401490000000","1727650000000","1673830000000","49.2","1444970000000","228866000000","6.7","478962000000","244651000000","82681000000","33.8","150650000000","4.4","137.9","2548.5","3581310567430","3598364567430","-17054000000","21.8","1.3","28.2","7.4","1.1","8.7","150.0","4.55","108.7","5.9","5.4","0.66","1.8","4.0","4.3","2.9","5138530000000","2099750000000","630193000000","12","2","18","652533000000","560736000000","213.5","3038780000000","2143910000000","983369000000","372269000000","1160540000000","613139000000","0.2","-0.1","54","2994620000000","2783130000000","2783127000000","54","174762000000","3417290000000","500283000000","250096000000","-","-837125000000","355692000000","293283000000","207000000000","302000000000","1092068154","197673","17207661","1157801","3295"
"2015","4","3800270000000","1865890000000","1934380000000","50.9","1579170000000","355210000000","9.3","628537000000","347438000000","116105000000","33.4","220209000000","5.8","201.6","2716.3","3381322893200","4013366893200","-632044000000","17.8","1.4","24.1","5.3","1.1","8.1","150.0","4.08","74.4","5.5","7.4","0.86","1.5","5.5","8.1","5.0","4427770000000","2057180000000","633613000000","14","2","16","600078000000","501895000000","252.3","2370590000000","1243310000000","815329000000","278255000000","427981000000","1569000000","0.0","-2.9","30","3184460000000","2966420000000","2966412000000","67","174762000000","3430450000000","474724000000","273327000000","-","-453619000000","-210202000000","221724000000","253000000000","329000000000","1092072624","189571","20046684","1873757","3675"
"2014","4","3727250000000","1865780000000","1861470000000","49.9","1497980000000","363489000000","9.8","626969000000","383239000000","118000000000","30.8","254797000000","6.8","233.4","2727.7","3350766131594","4193180131594","-842414000000","16.8","1.4","23.6","5.3","1.1","8.2","150.0","3.91","64.3","5.5","8.6","0.84","1.5","6.4","8.2","5.7","4460620000000","2391930000000","844580000000","19","3","20","637797000000","528167000000","259.6","2068690000000","1319860000000","921379000000","310214000000","398481000000","2166000000","0.0","-3.3","32","3140760000000","2978180000000","2978186000000","67","174762000000","3384990000000","583927000000","263480000000","-","-269298000000","-300886000000","365927000000","218000000000","309000000000","1091831827","191889","19423990","1894267","3841"
"2013","4","3731380000000","1932960000000","1798420000000","48.2","1461140000000","337277000000","9.0","612450000000","347604000000","108088000000","31.1","230483000000","6.2","202.7","2559.6","3000046015320","3786208015320","-786162000000","-","1.3","-","-","-","13.8","130.0","3.9","64.1","5.1","7.9","0.88","1.5","6.1","7.9","5.4","4242710000000","2285940000000","788909000000","19","3","21","621471000000","553773000000","269.5","1956770000000","1175930000000","848307000000","307157000000","327626000000","2747000000","0.0","-3.4","30","3066780000000","2910260000000","2910265000000","69","174762000000","3275780000000","507642000000","275173000000","-","-250212000000","-222181000000","274642000000","233000000000","306000000000","1136999404","194151","19218958","1737189","3330"
"2012","4","3479790000000","1829820000000","1649970000000","47.4","1326110000000","323856000000","9.3","581989000000","342557000000","110112000000","32.1","224564000000","6.5","194.8","2251.6","3187640911940","3850322911940","-662682000000","-","1.5","-","-","-","14.9","130.0","3.89","66.7","5.8","8.7","0.88","1.5","6.6","8.2","5.7","3955500000000","2082260000000","666678000000","17","2","17","586345000000","635851000000","246.6","1873250000000","1201200000000","844435000000","325235000000","356766000000","3996000000","0.0","-3.0","34","2754300000000","2598030000000","2595665000000","66","174762000000","3200640000000","384077000000","258133000000","-","-212740000000","-319739000000","68077000000","316000000000","296000000000","1152791291","196968","17666778","1644206","3340"
