"åàéZîNìx","åàéZélîºä˙","îÑè„çÇ","îÑè„å¥âø","îÑè„ëçóòâv","îÑè„ëçóòâvó¶","îÃä«îÔ","âcã∆óòâv","âcã∆óòâvó¶","EBITDA","åoèÌóòâv","ñ@êlê≈ìô","é¿éøé¿å¯ê≈ó¶","êeâÔé–Ç…ãAëÆÇ∑ÇÈèÉóòâv","èÉóòâvó¶","EPS","BPS","äÈã∆âøíl","éûâøëçäz","èÉóLóòéqïâç¬","PERÅiâÔó\Åj","PBR","PER Å~ PBR","EV/EBITDAÅiâÔó\Åj","PSR","PCFR","àÍäîìñÇΩÇËîzìñã‡","îzìñóòâÒÇËÅié¿ê—Åj","îzìñê´å¸","é©å»éëñ{îzìñó¶","ROE","ëçéëéYâÒì]ó¶","ç‡ñ±ÉåÉoÉåÉbÉW","é¿éøROE","ROIC","ROA","ëçéëéY","ó¨ìÆéëéY","åªã‡ãyÇ—óaã‡","åªã‡/ëçéëéY","åªã‡/åéä‘îÑè„","åªã‡/éûâøëçäz","îÑä|ã‡Ç®ÇÊÇ—éÛéÊéËå`","êªïiÇ®ÇÊÇ—édä|ïi","ó¨ìÆî‰ó¶","å≈íËéëéY","ïâç¬","ó¨ìÆïâç¬","îÉä|ã‡Ç®ÇÊÇ—éxï•éËå`","å≈íËïâç¬","óLóòéqïâç¬","D/EÉåÉVÉI","ÉlÉbÉgDèÉóòâvî{ó¶","é©å»äîí≤êÆçœïâç¬î‰ó¶","èÉéëéY","äîéÂéëñ{","é©å»éëñ{","é©å»éëñ{î‰ó¶","éëñ{ã‡","óòâvèËó]ã‡","âcã∆CF","å∏âøèûãpîÔ","ÇÃÇÍÇÒèûãpîÔ","ìäéëCF","ç‡ñ±CF","ÉtÉäÅ[CF","ê›îıìäéëäz","å§ãÜäJî≠îÔ","î≠çsçœäîéÆëçêî","è]ã∆àıêî","îÑè„/è]ã∆àıêî","âcóò/è]ã∆àıêî","äîâø"
"2021","4","8424585000000","7070531000000","1354054000000","16.1","1106747000000","247307000000","2.9","247307000000","306117000000","145440000000","37.9","215533000000","2.6","55.1","1170.2","7844619867555","2144342867555","5700277000000","10.5","0.5","4.9","37.4","0.2","10.5","5.0","0.91","9.1","0.4","4.7","0.51","3.6","4.7","0.9","1.3","16371481000000","10316009000000","1432047000000","9","2","67","-","1364481000000","167.9","6049075000000","11341897000000","6143208000000","1395642000000","5198689000000","7132324000000","1.6","26.4","226","5029584000000","5127704000000","4580601000000","28","605814000000","3843479000000","847187000000","-","-","-146835000000","-1092645000000","531985000000","315202000000","-","3914463066","-","-","-","548"
"2020","4","7862572000000","6811747000000","1050825000000","13.4","1201476000000","-150651000000","-","-","-221230000000","92595000000","-27.3","-448697000000","-","-114.6","1007.8","8138110352034","2410672352034","5727438000000","-","0.6","-","-","0.3","-4.5","0.0","0.0","0.0","-","-","0.48","4.2","-","-","-","16452068000000","10349659000000","1871794000000","11","3","78","518451000000","1139571000000","153.9","6095185000000","12112242000000","6726382000000","1501972000000","5385860000000","7599232000000","1.9","-12.8","270","4339826000000","4913564000000","3944593000000","24","605814000000","3629938000000","1322789000000","-","-","-369121000000","-639692000000","917389000000","405400000000","503500000000","3914064543","131461","59809160","-1145975","616"
"2019","4","9878866000000","8442905000000","1435961000000","14.5","1476430000000","-40469000000","-","-","44049000000","93156000000","-16.3","-671216000000","-","-171.6","1039.0","7920497438971","1394988438971","6525509000000","21.5","0.3","7.4","93.2","0.1","21.5","10.0","2.8","-5.8","1.0","-","0.58","4.2","-","-","-","16976709000000","10675939000000","1382471000000","8","2","99","356156000000","1340423000000","132.4","6300770000000","12551936000000","8065246000000","1357047000000","4486690000000","7907980000000","1.9","-9.7","275","4424773000000","5409651000000","4064289000000","24","605814000000","4125043000000","1185854000000","-","-","-708687000000","-155494000000","-380617000000","1566471000000","544800000000","3911913738","136134","72567221","-297273","357"
"2018","4","11574247000000","9670402000000","1903845000000","16.4","1585621000000","318224000000","2.7","318224000000","546498000000","135793000000","28.4","319138000000","2.8","81.6","1355.2","10363797856910","3553699856910","6810098000000","8.7","0.7","5.8","23.0","0.3","8.7","57.0","6.28","69.9","4.2","6.0","0.61","3.6","5.9","1.4","1.7","18952345000000","11613105000000","1219588000000","6","1","34","512164000000","1257923000000","150.2","7339240000000","13328835000000","7730531000000","1580452000000","5598304000000","8029686000000","1.5","21.3","231","5623510000000","6243019000000","5302675000000","28","605814000000","4961980000000","1450888000000","-","-","-1133547000000","-127140000000","-297771000000","1748659000000","523100000000","3912904489","138893","83332112","2291145","908"
"2017","4","11951169000000","9814001000000","2137168000000","17.9","1562408000000","574760000000","4.8","574760000000","750302000000","-52914000000","-7.4","746892000000","6.2","191.0","1380.4","10920551264672","4317033264672","6603518000000","6.1","0.8","4.9","19.3","0.4","6.1","53.0","4.8","27.7","3.8","13.8","0.64","3.5","13.5","4.8","4.0","18739935000000","11530393000000","1134838000000","6","1","26","739851000000","1290549000000","171.0","7209542000000","13038225000000","6744384000000","1646638000000","6293841000000","7738356000000","1.4","8.8","223","5701710000000","6203479000000","5397712000000","29","605814000000","4921722000000","1071250000000","-","-","-1147719000000","36810000000","-716195000000","1787445000000","-","3910356218","138910","86035339","4137643","1104"
"2016","4","11720041000000","9422551000000","2297490000000","19.6","1555262000000","742228000000","6.3","742228000000","864733000000","264639000000","27.4","663499000000","5.7","169.6","1242.9","10844396380319","4199199380319","6645197000000","8.0","0.9","6.9","15.3","0.4","8.0","48.0","4.47","28.3","3.9","13.6","0.64","3.8","13.3","3.8","3.6","18421008000000","11462549000000","1122484000000","6","1","27","808981000000","1273161000000","162.5","6958459000000","13253872000000","7054220000000","1578594000000","6199652000000","7767681000000","1.6","10.0","250","5167136000000","5631717000000","4861847000000","26","605814000000","4349136000000","1335473000000","-","-","-1377626000000","320610000000","-461118000000","1796591000000","-","3911690154","137250","85391920","5407854","1074"
"2015","4","12189519000000","9796998000000","2392521000000","19.6","1599243000000","793278000000","6.5","793278000000","862272000000","180141000000","24.6","523841000000","4.3","125.7","1132.6","10424014537133","4341488537133","6082526000000","8.1","0.9","7.5","14.3","0.4","8.1","42.0","4.03","33.4","3.7","11.1","0.7","3.7","10.8","5.2","3.0","17373643000000","10747573000000","918771000000","5","1","21","837704000000","1274566000000","158.9","6626070000000","12232898000000","6764187000000","1479689000000","5468711000000","7001297000000","1.5","11.6","231","5140745000000","5413516000000","4721265000000","27","605814000000","4150740000000","927013000000","-","-","-1229280000000","530606000000","-992644000000","1919657000000","-","4168495955","152421","79972701","5204519","1042"
"2014","4","11375207000000","9241341000000","2133866000000","18.8","1544305000000","589561000000","5.2","589561000000","694232000000","197324000000","28.7","457574000000","4.0","109.1","1152.8","11043026661144","5132867661144","5910159000000","12.2","1.1","13.0","19.4","0.5","12.2","33.0","2.7","30.2","2.9","9.5","0.67","3.5","9.2","3.4","2.7","17045659000000","10317345000000","761074000000","4","1","15","888814000000","1309997000000","160.8","6728314000000","11798397000000","6417495000000","1554399000000","5380902000000","6671233000000","1.4","12.9","219","5247262000000","5073990000000","4834416000000","28","605814000000","3811848000000","692747000000","-","-","-1022025000000","245896000000","-898245000000","1590992000000","-","4193519331","149388","76145387","3946508","1224"
"2013","4","10482520000000","8636063000000","1846457000000","17.6","1348092000000","498365000000","4.8","498365000000","527189000000","115051000000","21.7","389034000000","3.7","92.8","1035.1","8685957732720","3856351732720","4829606000000","-","0.9","-","-","-","-","30.0","3.26","32.3","2.9","9.0","0.71","3.4","8.7","3.8","2.6","14703403000000","8609278000000","822863000000","6","1","21","785954000000","1151851000000","166.0","6094125000000","10031875000000","5187249000000","1511910000000","4844626000000","5652469000000","1.3","12.4","208","4671528000000","4787630000000","4338654000000","30","605814000000","3526646000000","728123000000","-","-","-1080416000000","396925000000","-872647000000","1600770000000","-","4191686666","142925","73342802","3486899","920"
"2012","4","8737320000000","7289987000000","1447333000000","16.6","1008510000000","438823000000","5.0","438823000000","504421000000","124294000000","25.5","341117000000","3.9","81.4","890.4","7968530080710","3793115080710","4175415000000","11.9","1.0","12.0","13.9","0.4","11.9","25.0","2.76","30.7","2.8","9.1","0.7","3.3","8.8","3.7","2.7","12442337000000","7214518000000","604357000000","5","1","16","583112000000","1045259000000","169.6","5227819000000","8406307000000","4253260000000","1168584000000","4153047000000","4779772000000","1.3","12.2","201","4036030000000","4513611000000","3731848000000","30","605814000000","3252876000000","412257000000","-","-","-838047000000","433817000000","-802676000000","1214933000000","-","4191287382","130274","67068793","3368462","905"
