"åàéZîNìx","åàéZélîºä˙","îÑè„çÇ","îÑè„å¥âø","îÑè„ëçóòâv","îÑè„ëçóòâvó¶","îÃä«îÔ","âcã∆óòâv","âcã∆óòâvó¶","EBITDA","åoèÌóòâv","ñ@êlê≈ìô","é¿éøé¿å¯ê≈ó¶","êeâÔé–Ç…ãAëÆÇ∑ÇÈèÉóòâv","èÉóòâvó¶","EPS","BPS","äÈã∆âøíl","éûâøëçäz","èÉóLóòéqïâç¬","PERÅiâÔó\Åj","PBR","PER Å~ PBR","EV/EBITDAÅiâÔó\Åj","PSR","PCFR","àÍäîìñÇΩÇËîzìñã‡","îzìñóòâÒÇËÅié¿ê—Åj","îzìñê´å¸","é©å»éëñ{îzìñó¶","ROE","ëçéëéYâÒì]ó¶","ç‡ñ±ÉåÉoÉåÉbÉW","é¿éøROE","ROIC","ROA","ëçéëéY","ó¨ìÆéëéY","åªã‡ãyÇ—óaã‡","åªã‡/ëçéëéY","åªã‡/åéä‘îÑè„","åªã‡/éûâøëçäz","îÑä|ã‡Ç®ÇÊÇ—éÛéÊéËå`","êªïiÇ®ÇÊÇ—édä|ïi","ó¨ìÆî‰ó¶","å≈íËéëéY","ïâç¬","ó¨ìÆïâç¬","îÉä|ã‡Ç®ÇÊÇ—éxï•éËå`","å≈íËïâç¬","óLóòéqïâç¬","D/EÉåÉVÉI","ÉlÉbÉgDèÉóòâvî{ó¶","é©å»äîí≤êÆçœïâç¬î‰ó¶","èÉéëéY","äîéÂéëñ{","é©å»éëñ{","é©å»éëñ{î‰ó¶","éëñ{ã‡","óòâvèËó]ã‡","âcã∆CF","å∏âøèûãpîÔ","ÇÃÇÍÇÒèûãpîÔ","ìäéëCF","ç‡ñ±CF","ÉtÉäÅ[CF","ê›îıìäéëäz","å§ãÜäJî≠îÔ","î≠çsçœäîéÆëçêî","è]ã∆àıêî","îÑè„/è]ã∆àıêî","âcóò/è]ã∆àıêî","äîâø"
"2021","4","130868000000","64931000000","65937000000","50.4","57220000000","11462000000","8.8","17055000000","29419000000","-1232000000","-4.2","30532000000","23.3","257.6","2030.0","170450008360","220477008360","-50027000000","-","0.9","-","-","-","39.4","39.0","2.1","15.1","1.9","12.7","0.38","1.4","12.7","4.7","9.0","340570000000","110420000000","78296000000","23","7","36","24463000000","-","197.1","230150000000","95663000000","56025000000","19263000000","39638000000","28269000000","0.1","-1.6","39","244907000000","240626000000","240627000000","71","10397000000","177997000000","18375000000","5593000000","-","-19924000000","-18549000000","11942000000","6433000000","-","118536026","-","-","-","1860"
"2020","4","136971000000","62040000000","74931000000","54.7","58070000000","22495000000","16.4","29198000000","31259000000","4905000000","15.7","25630000000","18.7","210.0","1832.8","193727157024","263890157024","-70163000000","-","1.2","-","-","-","39.4","32.0","1.48","15.2","1.7","11.5","0.42","1.5","10.7","7.0","7.8","327121000000","129887000000","97301000000","30","9","37","27174000000","-","317.0","197235000000","98463000000","40976000000","20044000000","57487000000","27138000000","0.1","-2.7","40","228659000000","223711000000","223711000000","68","10397000000","151747000000","29967000000","6703000000","-","-8640000000","6614000000","23075000000","6892000000","167000000","122058352","2100","65224286","10711905","2162"
"2019","4","121387000000","58603000000","62784000000","51.7","60765000000","-45676000000","-","-","-40235000000","9611000000","-23.9","-49166000000","-","-391.8","1438.1","87642017730","148341017730","-60699000000","-","0.8","-","-","-","12.9","20.0","1.69","-5.1","1.4","-","0.47","1.4","-","-","-","255740000000","108093000000","73536000000","29","7","50","25243000000","-","265.1","147647000000","68421000000","40781000000","25348000000","27640000000","12837000000","0.1","1.2","29","187319000000","180486000000","180486000000","71","10397000000","163564000000","12946000000","11543000000","-","-8706000000","-32154000000","-1638000000","14584000000","775000000","125500015","2558","47453870","-17856138","1182"
"2018","4","124116000000","56206000000","67909000000","54.7","56931000000","13512000000","10.9","24395000000","18069000000","4891000000","27.1","12709000000","10.2","87.4","1731.9","140912056588","242298056588","-101386000000","23.1","1.0","22.2","5.8","1.9","11.3","40.0","2.4","45.7","2.3","5.0","0.42","1.2","4.8","3.4","4.3","296460000000","133741000000","101386000000","34","10","42","24221000000","-","419.4","162719000000","39595000000","31887000000","19328000000","7707000000","-","-","-8.0","15","256865000000","251737000000","251736000000","85","10397000000","217973000000","22979000000","10883000000","-","-21008000000","-4656000000","2215000000","20764000000","-","145349764","2437","50929832","5544522","1667"
"2017","4","139390000000","57596000000","81795000000","58.7","54291000000","27503000000","19.7","38911000000","30390000000","6774000000","22.3","22981000000","16.5","158.3","1813.8","175026220800","278694220800","-103668000000","11.8","1.1","12.5","4.6","2.0","8.0","32.0","1.67","20.2","1.8","8.7","0.4","1.3","8.3","7.9","6.7","344609000000","157105000000","103668000000","30","9","37","40574000000","-","264.5","187504000000","73460000000","59403000000","20426000000","14057000000","-","-","-4.5","26","271150000000","263284000000","263285000000","76","10397000000","210044000000","37672000000","11408000000","-","-16520000000","-5390000000","19275000000","18397000000","-","145153240","2475","56319192","11112323","1920"
"2016","4","143806000000","56322000000","84919000000","59.1","61740000000","23178000000","16.1","34243000000","25628000000","-6559000000","-25.6","30826000000","21.4","212.5","1580.3","244103352969","327755352969","-83652000000","11.5","1.4","16.5","7.6","2.3","8.3","32.0","1.42","15.1","2.0","13.4","0.48","1.3","12.8","12.7","10.3","298260000000","145627000000","88152000000","30","7","27","20792000000","-","269.8","152633000000","61564000000","53978000000","1515000000","7586000000","4500000000","0.0","-2.7","25","236696000000","229666000000","229289000000","77","10397000000","191870000000","22682000000","11065000000","-","-7404000000","-2445000000","8212000000","14470000000","-","145088691","2400","59919167","9657500","2259"
"2015","4","143709000000","59623000000","81909000000","57.0","62093000000","19816000000","13.8","31102000000","20853000000","8979000000","43.1","11325000000","7.9","78.1","1302.1","209013554552","281192554552","-72179000000","23.8","1.5","35.5","6.7","2.0","12.2","20.0","1.03","25.6","1.5","6.0","0.56","1.3","5.6","5.6","4.4","254861000000","119822000000","75169000000","29","6","27","17257000000","-","229.0","135039000000","58533000000","52323000000","1489000000","6210000000","2990000000","0.0","-6.4","28","196328000000","189208000000","188833000000","74","10397000000","163711000000","26707000000","11286000000","-","-39986000000","20128000000","13282000000","13425000000","-","145019368","2435","59018070","8137988","1939"
"2014","4","142419000000","56645000000","84065000000","59.0","59302000000","24764000000","17.4","35577000000","28443000000","12403000000","43.6","14950000000","10.5","115.3","1207.8","238408124797","304829124797","-66421000000","21.2","1.9","41.2","6.7","2.1","12.1","20.0","0.85","17.3","1.7","9.5","0.65","1.4","7.5","7.8","6.8","218529000000","114127000000","68724000000","31","6","23","21486000000","-","223.2","104401000000","54027000000","51142000000","1130000000","2885000000","2303000000","0.0","-4.4","26","164502000000","157209000000","156603000000","72","10397000000","163229000000","27892000000","10813000000","-","-21296000000","-3803000000","12074000000","15818000000","-","129659347","2424","58753713","10216172","2351"
"2013","4","181313000000","59777000000","121098000000","66.8","67901000000","53198000000","29.3","61361000000","54920000000","22113000000","40.3","31661000000","17.5","244.4","1085.5","177343269248","241437269248","-64094000000","7.7","1.7","13.2","2.9","1.3","6.1","37.0","1.98","15.1","3.4","22.5","0.92","1.4","17.1","21.9","16.0","197325000000","111309000000","65394000000","33","4","27","24561000000","-","219.4","86016000000","51770000000","50732000000","473000000","1038000000","1300000000","0.0","-2.0","27","145555000000","140600000000","140600000000","71","10397000000","153072000000","28061000000","8163000000","-","-15331000000","-15719000000","13878000000","14183000000","-","129526432","2197","82527538","24213928","1864"
"2012","4","202467000000","56604000000","145863000000","72.0","69075000000","76840000000","38.0","82840000000","79215000000","32481000000","41.0","45581000000","22.5","340.3","884.9","275137144065","342274144065","-67137000000","-","2.9","-","-","-","57.0","50.0","1.96","14.7","5.7","38.5","1.04","1.6","29.7","37.4","23.4","194784000000","118827000000","67337000000","35","4","20","36003000000","-","170.0","75957000000","71108000000","69882000000","2178000000","1226000000","200000000","0.0","-1.5","45","123676000000","119259000000","118542000000","61","10397000000","127927000000","52192000000","6000000000","-","-15831000000","-25039000000","40858000000","11334000000","-","133962483","2108","96046964","36451613","2555"
