"決算年度","決算四半期","売上高","売上原価","売上総利益","売上総利益率","販管費","営業利益","営業利益率","EBITDA","経常利益","法人税等","実質実効税率","親会社に帰属する純利益","純利益率","EPS","BPS","企業価値","時価総額","純有利子負債","PER（会予）","PBR","PER × PBR","EV/EBITDA（会予）","PSR","PCFR","一株当たり配当金","配当利回り（実績）","配当性向","自己資本配当率","ROE","総資産回転率","財務レバレッジ","実質ROE","ROIC","ROA","総資産","流動資産","現金及び預金","現金/総資産","現金/月間売上","現金/時価総額","売掛金および受取手形","製品および仕掛品","流動比率","固定資産","負債","流動負債","買掛金および支払手形","固定負債","有利子負債","D/Eレシオ","ネットD純利益倍率","自己株調整済負債比率","純資産","株主資本","自己資本","自己資本比率","資本金","利益剰余金","営業CF","減価償却費","のれん償却費","投資CF","財務CF","フリーCF","設備投資額","研究開発費","発行済株式総数","従業員数","売上/従業員数","営利/従業員数","株価"
"2021","4","45924000000","402000000","43821000000","95.4","28424000000","15396000000","33.5","17224000000","16037000000","5640000000","34.7","9858000000","21.5","86.8","358.5","199266753035","95943753035","103323000000","-","2.4","-","-","-","52.5","52.2","6.17","60.1","14.6","24.2","0.05","24.5","22.8","4.6","1.0","996049000000","967276000000","66018000000","7","17","69","-","-","104.0","28772000000","953218000000","929835000000","-","22458000000","169341000000","4.2","10.5","2105","42830000000","40309000000","40704000000","4","705000000","41393000000","-32493000000","1434000000","394000000","-18604000000","54547000000","-34037000000","1544000000","-","113542903","514","89346304","29953307","845"
"2020","4","35988000000","424000000","33968000000","94.4","21700000000","12268000000","34.1","13406000000","11806000000","4008000000","34.5","7298000000","20.3","64.5","317.8","128366192339","80701192339","47665000000","-","2.2","-","-","-","70.9","37.4","5.25","58.0","11.8","20.3","0.05","20.2","18.9","5.7","1.0","725367000000","717252000000","62000000000","9","21","77","-","-","106.0","8114000000","688035000000","676377000000","-","10465000000","109665000000","3.0","6.5","1721","37331000000","35725000000","35975000000","5","705000000","36880000000","-5491000000","975000000","163000000","-2187000000","6547000000","-6343000000","852000000","-","113185403","394","91340102","31137056","713"
"2019","4","32501000000","434000000","30314000000","93.3","20552000000","9762000000","30.0","10913000000","9686000000","3264000000","34.3","6073000000","18.7","51.6","311.4","103941768720","69700768720","34241000000","-","1.9","-","-","-","60.6","25.8","4.35","50.0","8.3","16.6","0.05","16.5","16.6","4.9","1.0","606528000000","598146000000","61718000000","10","23","89","-","-","106.7","8381000000","568724000000","560713000000","-","6778000000","95959000000","2.6","5.6","1504","37803000000","35999000000","36658000000","6","688000000","34029000000","545000000","988000000","163000000","-1954000000","24083000000","-661000000","1206000000","-","117737785","361","90030471","27041551","592"
"2018","4","34787000000","526000000","32877000000","94.5","21064000000","11812000000","34.0","12883000000","11849000000","4266000000","35.0","7719000000","22.2","64.4","291.4","94868536045","67999536045","26869000000","-","1.9","-","-","-","63.5","32.3","5.69","50.1","11.1","22.1","0.07","15.0","22.1","7.4","1.5","524733000000","516651000000","39642000000","8","14","58","-","-","107.0","8082000000","488820000000","482642000000","-","4590000000","66511000000","1.9","3.5","1361","35913000000","34583000000","34950000000","7","657000000","31022000000","3235000000","908000000","163000000","-2220000000","2801000000","1744000000","1491000000","-","119928635","345","100831884","34237681","567"
"2017","4","21657000000","622000000","19819000000","91.5","12357000000","7462000000","34.5","8064000000","7349000000","2488000000","31.9","5141000000","23.7","43.1","260.2","109366016060","85424016060","23942000000","-","2.8","-","-","-","141.9","21.6","3.02","50.1","8.3","16.6","0.04","17.9","16.6","5.4","0.9","555544000000","549595000000","36542000000","7","20","43","-","-","107.1","5948000000","523747000000","513228000000","-","8615000000","60484000000","1.9","4.7","1647","31796000000","30591000000","31048000000","6","595000000","27154000000","14588000000","562000000","40000000","1549000000","-22794000000","13954000000","634000000","-","119307285","337","64264095","22142433","716"
"2016","4","26196000000","-","24829000000","94.8","15814000000","9014000000","34.4","9836000000","8928000000","3150000000","33.8","6159000000","23.5","51.8","234.3","127633328220","92668328220","34965000000","-","3.3","-","-","-","112.7","26.2","3.36","50.5","11.2","22.1","0.05","17.3","22.1","5.5","1.3","481025000000","476232000000","44722000000","9","20","48","-","-","107.3","4792000000","453191000000","443888000000","-","7248000000","79687000000","2.9","5.7","1628","27833000000","27616000000","27833000000","6","545000000","24279000000","5421000000","822000000","-","-4335000000","6441000000","4751000000","670000000","-","118805549","277","94570397","32541516","780"
"2015","4","29017000000","-","27425000000","94.5","16813000000","10611000000","36.6","11476000000","10570000000","3701000000","36.4","6453000000","22.2","55.1","210.5","121181763275","85830763275","35351000000","-","3.5","-","-","-","99.2","22.3","3.05","40.5","10.6","26.2","0.06","18.5","26.2","7.3","1.4","455896000000","451522000000","34633000000","8","14","40","-","-","106.3","4373000000","431249000000","424884000000","-","3884000000","69984000000","2.8","5.5","1750","24646000000","24350000000","24646000000","5","374000000","21356000000","-21343000000","865000000","-","-369000000","19879000000","-21968000000","625000000","-","117095175","218","133105505","48674312","733"
"2014","4","24958000000","-","23532000000","94.3","15785000000","7747000000","31.0","8639000000","7707000000","2252000000","31.3","4855000000","19.5","43.1","171.9","-","-","12163000000","-","-","-","-","-","-","221.7","-","514.1","129.0","25.1","0.05","24.1","25.1","7.9","1.0","465709000000","462311000000","37779000000","8","18","-","-","-","105.1","3398000000","445397000000","439706000000","-","3596000000","49942000000","2.6","2.5","2193","20312000000","18947000000","19351000000","4","100000000","17421000000","-3471000000","892000000","-","2775000000","17090000000","-4294000000","823000000","-","112565000","205","121746341","37790244","-"
"2013","4","21456000000","-","20248000000","94.4","14663000000","5585000000","26.0","6767000000","5466000000","988000000","20.7","3689000000","17.2","-","-","-","-","3872000000","-","-","-","-","-","-","-","-","0.0","-","19.6","0.06","18.8","19.6","9.7","1.0","353374000000","349503000000","24579000000","7","14","-","-","-","106.5","3871000000","333623000000","328131000000","-","3905000000","28451000000","1.5","1.0","1689","19751000000","18601000000","18833000000","5","100000000","12565000000","4496000000","1180000000","2000000","-1350000000","752000000","3787000000","709000000","-","0","217","98875576","25737327","-"
