"åàéZîNìx","åàéZélîºä˙","îÑè„çÇ","îÑè„å¥âø","îÑè„ëçóòâv","îÑè„ëçóòâvó¶","îÃä«îÔ","âcã∆óòâv","âcã∆óòâvó¶","EBITDA","åoèÌóòâv","ñ@êlê≈ìô","é¿éøé¿å¯ê≈ó¶","êeâÔé–Ç…ãAëÆÇ∑ÇÈèÉóòâv","èÉóòâvó¶","EPS","BPS","äÈã∆âøíl","éûâøëçäz","èÉóLóòéqïâç¬","PERÅiâÔó\Åj","PBR","PER Å~ PBR","EV/EBITDAÅiâÔó\Åj","PSR","PCFR","àÍäîìñÇΩÇËîzìñã‡","îzìñóòâÒÇËÅié¿ê—Åj","îzìñê´å¸","é©å»éëñ{îzìñó¶","ROE","ëçéëéYâÒì]ó¶","ç‡ñ±ÉåÉoÉåÉbÉW","é¿éøROE","ROIC","ROA","ëçéëéY","ó¨ìÆéëéY","åªã‡ãyÇ—óaã‡","åªã‡/ëçéëéY","åªã‡/åéä‘îÑè„","åªã‡/éûâøëçäz","îÑä|ã‡Ç®ÇÊÇ—éÛéÊéËå`","êªïiÇ®ÇÊÇ—édä|ïi","ó¨ìÆî‰ó¶","å≈íËéëéY","ïâç¬","ó¨ìÆïâç¬","îÉä|ã‡Ç®ÇÊÇ—éxï•éËå`","å≈íËïâç¬","óLóòéqïâç¬","D/EÉåÉVÉI","ÉlÉbÉgDèÉóòâvî{ó¶","é©å»äîí≤êÆçœïâç¬î‰ó¶","èÉéëéY","äîéÂéëñ{","é©å»éëñ{","é©å»éëñ{î‰ó¶","éëñ{ã‡","óòâvèËó]ã‡","âcã∆CF","å∏âøèûãpîÔ","ÇÃÇÍÇÒèûãpîÔ","ìäéëCF","ç‡ñ±CF","ÉtÉäÅ[CF","ê›îıìäéëäz","å§ãÜäJî≠îÔ","î≠çsçœäîéÆëçêî","è]ã∆àıêî","îÑè„/è]ã∆àıêî","âcóò/è]ã∆àıêî","äîâø"
"2021","4","1428426000000","1218547000000","209878000000","14.7","167532000000","36401000000","2.5","103391000000","43934000000","20317000000","46.2","20682000000","1.4","60.3","1819.5","644136798244","330617798244","313519000000","15.7","0.5","8.3","-","0.2","3.8","18.0","1.87","29.8","1.0","3.3","1.03","2.2","3.3","1.5","1.5","1386463000000","685497000000","124254000000","9","1","38","319084000000","229074000000","157.7","700965000000","726048000000","434779000000","317672000000","291268000000","437773000000","0.7","15.2","110","660415000000","624012000000","624013000000","45","45591000000","443960000000","67039000000","66990000000","-","-25265000000","-43531000000","24355000000","42684000000","-","342964521","-","-","-","964"
"2020","4","1246286000000","1074581000000","171705000000","13.8","155792000000","12920000000","1.0","75976000000","15352000000","12130000000","79.0","800000000","0.1","2.3","1606.3","555126411680","387552411680","167574000000","-","0.7","-","-","0.3","7.2","16.0","1.42","685.9","1.0","0.1","0.97","2.3","0.1","0.1","0.1","1291300000000","600639000000","118645000000","9","1","31","290568000000","182872000000","163.0","690660000000","706212000000","368446000000","286634000000","337765000000","286219000000","0.5","209.5","121","585088000000","550908000000","550909000000","43","45591000000","404281000000","91757000000","63056000000","-","-52515000000","-57957000000","41018000000","50739000000","52102000000","342966736","48332","25785939","267318","1130"
"2019","4","1418896000000","1210688000000","208207000000","14.7","170650000000","16158000000","1.1","80787000000","15073000000","16127000000","107.0","-3794000000","-","-11.1","1455.9","445355293645","252082293645","193273000000","14.0","0.5","7.1","4.1","0.2","3.1","38.0","5.17","-343.5","2.6","-","1.14","2.5","-","0.0","-","1244213000000","607700000000","134852000000","11","1","53","270321000000","190821000000","166.5","636513000000","712662000000","364983000000","272551000000","347678000000","328125000000","0.7","-50.9","134","531551000000","499343000000","499344000000","40","45591000000","370228000000","62312000000","64629000000","-","-91771000000","34239000000","-17008000000","79320000000","64712000000","342969107","49933","28415997","323594","735"
"2018","4","1520886000000","1272630000000","248255000000","16.3","176491000000","63737000000","4.2","128717000000","65261000000","33266000000","51.0","27248000000","1.8","79.4","1605.9","676621966442","467126966442","209495000000","14.6","0.8","12.4","5.1","0.3","4.8","44.0","3.23","55.4","2.7","4.9","1.17","2.4","4.9","3.4","2.1","1298067000000","646663000000","132471000000","10","1","28","316439000000","183617000000","157.7","651403000000","712573000000","410050000000","328595000000","302522000000","341966000000","0.6","7.7","122","585494000000","550766000000","550767000000","42","45591000000","401489000000","104147000000","64318000000","662000000","-75207000000","-27361000000","21569000000","82578000000","63626000000","342971341","49693","30605639","1282615","1362"
"2017","4","1441170000000","1197655000000","243514000000","16.9","162123000000","81391000000","5.6","142150000000","82571000000","28679000000","34.6","49697000000","3.4","144.9","1554.1","680931037424","540526037424","140405000000","9.0","1.0","9.1","4.9","0.4","4.5","43.0","2.73","29.7","2.8","9.3","1.13","2.4","9.3","6.5","3.9","1270564000000","637564000000","135104000000","11","1","25","285989000000","175077000000","160.3","633000000000","697972000000","397840000000","215619000000","300132000000","275509000000","0.5","2.8","122","572592000000","508804000000","533019000000","42","45591000000","357356000000","100033000000","60414000000","345000000","-99049000000","60282000000","26985000000","73048000000","-","342973374","49589","29062292","1641312","1576"
"2016","4","1318310000000","1102579000000","215730000000","16.4","138287000000","77442000000","5.9","133551000000","78096000000","5080000000","9.2","47522000000","3.6","138.6","1422.1","709579175490","593005175490","116574000000","14.8","1.2","18.0","5.6","0.5","6.2","42.0","2.43","30.3","3.0","9.7","1.18","2.3","9.7","10.7","4.3","1117851000000","549809000000","71401000000","6","1","12","259020000000","158277000000","143.1","568041000000","604945000000","384326000000","205809000000","220618000000","187975000000","0.4","2.5","118","512906000000","478531000000","487738000000","44","45591000000","321810000000","99277000000","56097000000","12000000","-68066000000","-22104000000","32687000000","66590000000","-","342975810","44528","29606315","1739175","1729"
"2015","4","1399987000000","1177641000000","222346000000","15.9","140422000000","81923000000","5.9","140363000000","81260000000","21991000000","29.9","48672000000","3.5","141.9","1327.3","632009281500","500748281500","131261000000","9.4","1.1","10.4","4.5","0.4","4.5","42.0","2.88","29.6","3.2","10.7","1.3","2.4","10.7","9.3","4.5","1075835000000","524951000000","60571000000","6","1","12","249882000000","156950000000","136.2","550884000000","595769000000","385459000000","195511000000","210309000000","191832000000","0.4","2.7","124","480066000000","446341000000","455250000000","42","45591000000","289595000000","110125000000","58412000000","28000000","-59923000000","-49301000000","49159000000","60966000000","-","342978275","43938","31862784","1864514","1460"
"2014","4","1355992000000","1152012000000","203979000000","15.0","129825000000","74154000000","5.5","130950000000","79379000000","20406000000","30.7","42520000000","3.1","124.0","1380.5","810433862152","643436862152","166997000000","16.1","1.4","21.9","6.5","0.5","6.6","34.0","1.81","27.4","2.5","9.0","1.2","2.4","9.0","7.7","3.8","1126235000000","550023000000","61977000000","6","1","10","251002000000","177216000000","142.1","576212000000","626462000000","387103000000","204908000000","239358000000","228974000000","0.5","3.9","125","499773000000","411148000000","473494000000","42","45591000000","254916000000","103386000000","57035000000","-239000000","-62072000000","-36475000000","38504000000","64882000000","-","342983402","43912","30879760","1688696","1876"
"2013","4","1260192000000","1079154000000","181037000000","14.4","122830000000","58207000000","4.6","110900000000","61856000000","17754000000","40.7","23384000000","1.9","68.4","1157.8","713078484994","524456484994","188622000000","-","1.3","-","-","-","10.0","18.0","1.17","26.3","1.6","5.9","1.18","2.7","5.9","6.3","2.2","1066469000000","528352000000","59898000000","6","1","11","239054000000","169297000000","134.8","538116000000","647605000000","392024000000","201523000000","255580000000","248520000000","0.6","8.1","154","418864000000","380780000000","395835000000","37","45591000000","227344000000","89226000000","53024000000","-331000000","-87111000000","-35433000000","2042000000","87184000000","-","341888191","43456","28999264","1339447","1534"
"2012","4","1067526000000","927074000000","140452000000","13.2","111294000000","29158000000","2.7","72880000000","34240000000","11545000000","42.4","13862000000","1.3","40.5","1063.7","516516968996","304968968996","211548000000","76.2","0.8","63.9","7.3","0.3","6.4","16.0","1.79","39.5","1.5","3.8","1.04","2.8","3.8","2.8","1.3","1026933000000","538881000000","56104000000","5","1","18","223484000000","163954000000","124.0","488051000000","642690000000","434452000000","206426000000","208237000000","267652000000","0.7","15.3","167","384243000000","362637000000","363685000000","35","45591000000","209194000000","49934000000","44238000000","-516000000","-101023000000","-5837000000","-43630000000","93564000000","-","341893463","41714","25591552","698998","892"
