"決算年度","決算四半期","売上高","売上原価","売上総利益","売上総利益率","販管費","営業利益","営業利益率","EBITDA","経常利益","法人税等","実質実効税率","親会社に帰属する純利益","純利益率","EPS","BPS","企業価値","時価総額","純有利子負債","PER（会予）","PBR","PER × PBR","EV/EBITDA（会予）","PSR","PCFR","一株当たり配当金","配当利回り（実績）","配当性向","自己資本配当率","ROE","総資産回転率","財務レバレッジ","実質ROE","ROIC","ROA","総資産","流動資産","現金及び預金","現金/総資産","現金/月間売上","現金/時価総額","売掛金および受取手形","製品および仕掛品","流動比率","固定資産","負債","流動負債","買掛金および支払手形","固定負債","有利子負債","D/Eレシオ","ネットD純利益倍率","自己株調整済負債比率","純資産","株主資本","自己資本","自己資本比率","資本金","利益剰余金","営業CF","減価償却費","のれん償却費","投資CF","財務CF","フリーCF","設備投資額","研究開発費","発行済株式総数","従業員数","売上/従業員数","営利/従業員数","株価"
"2020","4","469920000000","352811000000","117108000000","24.9","79926000000","37182000000","7.9","55462000000","39212000000","12006000000","30.9","25014000000","5.3","247.1","2741.3","538606159830","529459159830","9147000000","21.4","1.9","40.9","9.6","1.1","12.3","72.0","1.38","29.1","2.6","9.0","0.98","1.7","9.0","7.2","5.2","481465000000","227617000000","60833000000","13","2","11","54283000000","7899000000","219.3","253847000000","177037000000","103793000000","24084000000","73243000000","69980000000","0.3","0.4","58","304427000000","272094000000","277512000000","58","18675000000","220464000000","55522000000","15828000000","2452000000","-38452000000","-12714000000","41881000000","13641000000","575000000","101235021","38444","12223494","967173","5230"
"2019","4","460118000000","345097000000","115020000000","25.0","78224000000","36795000000","8.0","53478000000","38880000000","12644000000","33.0","24163000000","5.3","238.7","2425.0","527377967900","532496967900","-5119000000","23.2","2.2","50.2","10.3","1.1","13.4","70.0","1.33","29.3","2.9","9.8","1.07","1.7","9.8","8.1","5.6","428796000000","229486000000","56382000000","13","1","11","56043000000","7415000000","233.1","199309000000","158363000000","98435000000","25326000000","59928000000","51263000000","0.2","-0.2","58","270432000000","255222000000","245497000000","57","18675000000","203375000000","33896000000","14905000000","1778000000","-13395000000","-15113000000","19830000000","14066000000","594000000","101235165","37902","12139676","970793","5260"
"2018","4","443535000000","334197000000","109338000000","24.7","77057000000","32280000000","7.3","49148000000","33881000000","10808000000","31.4","22269000000","5.0","220.0","2302.4","481490037700","487955037700","-6465000000","22.2","2.1","46.4","9.6","1.1","12.6","66.0","1.37","30.0","2.9","9.6","1.08","1.8","9.5","7.7","5.4","410113000000","208047000000","53875000000","13","1","11","54926000000","5859000000","224.9","202066000000","153015000000","92505000000","22993000000","60509000000","47410000000","0.2","-0.3","59","257098000000","238097000000","233082000000","57","18675000000","186248000000","28771000000","15077000000","1791000000","-14911000000","-10934000000","12929000000","15842000000","559000000","101235485","37417","11853836","862709","4820"
"2017","4","435982000000","330493000000","105489000000","24.2","75378000000","30111000000","6.9","45871000000","31913000000","10893000000","34.2","19344000000","4.4","191.1","2155.7","537580461740","532498461740","5082000000","24.8","2.4","60.4","10.9","1.2","14.3","60.0","1.14","31.4","2.8","8.9","1.1","1.8","8.8","7.1","4.9","396635000000","194533000000","47573000000","12","1","9","52286000000","6164000000","210.3","202102000000","155253000000","92495000000","23420000000","62758000000","52655000000","0.2","0.3","64","241382000000","223010000000","218238000000","55","18675000000","171161000000","25496000000","14133000000","1627000000","-19125000000","-13429000000","11002000000","14494000000","-","101235449","37519","11620299","802553","5260"
"2016","4","413343000000","310704000000","102639000000","24.8","74217000000","28422000000","6.9","43271000000","30309000000","10281000000","34.0","18330000000","4.4","182.4","1956.3","427629640010","417619640010","10010000000","19.0","2.1","40.3","9.0","1.0","11.3","55.0","1.32","30.2","2.8","9.3","1.07","2.0","9.2","6.9","4.8","385877000000","199627000000","55587000000","14","2","13","50118000000","5826000000","203.5","186250000000","163647000000","98104000000","21426000000","65542000000","65597000000","0.3","0.5","73","222230000000","205737000000","196623000000","51","18675000000","157596000000","54561000000","13773000000","1076000000","-22055000000","-20582000000","43555000000","11006000000","-","100510142","36693","11264901","774589","4155"
"2015","4","381818000000","282880000000","98937000000","25.9","69901000000","29036000000","7.6","42243000000","30667000000","11284000000","36.8","17868000000","4.7","177.8","1805.1","617604392200","613146392200","4458000000","36.1","3.4","121.9","14.5","1.5","20.3","50.0","0.82","28.1","2.8","9.8","1.09","1.9","9.7","7.8","5.1","349561000000","188013000000","42750000000","12","1","7","45643000000","6586000000","215.6","161548000000","143939000000","87222000000","22602000000","56717000000","47208000000","0.3","0.2","69","205622000000","193352000000","181440000000","52","18675000000","144551000000","19678000000","12109000000","1098000000","-12808000000","-9176000000","5942000000","13736000000","-","100515802","31446","12142021","923361","6100"
"2014","4","365749000000","276116000000","89632000000","24.5","66660000000","22971000000","6.3","35070000000","24700000000","9780000000","39.7","13534000000","3.7","134.6","1800.1","439207614585","411622614585","27585000000","25.7","2.3","58.5","11.0","1.1","14.6","38.0","0.93","28.2","2.1","7.5","0.98","2.1","7.4","5.2","3.6","373863000000","210445000000","46113000000","12","2","11","44020000000","5152000000","161.3","163418000000","169500000000","130464000000","23946000000","39035000000","73698000000","0.4","2.0","82","204363000000","179557000000","180948000000","48","18675000000","130753000000","19666000000","11331000000","768000000","-24295000000","6596000000","7513000000","12153000000","-","100518343","31221","11714839","735755","4095"
"2013","4","328209000000","248900000000","79308000000","24.2","60375000000","18932000000","5.8","28500000000","20745000000","8853000000","42.3","10955000000","3.3","109.0","1574.7","246027289352","217522289352","28505000000","-","1.4","-","-","-","22.7","30.0","1.39","27.5","1.9","6.9","0.96","2.2","6.8","4.4","3.2","342495000000","199458000000","43161000000","13","2","20","36055000000","4723000000","174.5","143036000000","162290000000","114322000000","21069000000","47968000000","71666000000","0.5","2.6","89","180205000000","163766000000","158291000000","46","18675000000","114961000000","21056000000","9198000000","370000000","-16701000000","-9142000000","5832000000","15224000000","-","100518618","28091","11683778","673953","2164"
"2012","4","315564000000","242410000000","73153000000","23.2","61363000000","11790000000","3.7","24366000000","14741000000","5597000000","36.7","8574000000","2.7","85.3","1536.3","128815713316","138012713316","-9197000000","18.9","0.9","16.9","5.1","0.4","6.9","25.0","1.82","29.3","1.6","5.6","1.06","1.9","5.5","3.2","2.9","296665000000","164149000000","46652000000","16","2","34","31309000000","5669000000","217.8","132515000000","121102000000","75372000000","17417000000","45730000000","37455000000","0.2","-1.1","68","175563000000","155536000000","154428000000","52","18675000000","106731000000","20890000000","12213000000","363000000","-12713000000","-8136000000","10002000000","10888000000","-","100519092","28054","11248449","420261","1373"
"2011","4","304723000000","232812000000","71910000000","23.6","61100000000","10810000000","3.5","24168000000","12558000000","6806000000","59.8","3903000000","1.3","38.8","1446.9","89441670816","98724670816","-9283000000","18.6","0.7","12.6","3.8","0.3","5.3","20.0","2.04","51.5","1.4","2.7","1.07","1.9","2.6","2.2","1.4","283593000000","160060000000","48553000000","17","2","49","30749000000","6187000000","231.2","123533000000","117958000000","69245000000","16439000000","48713000000","39270000000","0.3","-2.4","70","165634000000","149085000000","145466000000","51","18675000000","100267000000","17213000000","13007000000","351000000","-10859000000","-9908000000","8604000000","8609000000","-","100534288","-","-","-","982"
"2009","4","278579000000","210097000000","68482000000","24.6","59211000000","9270000000","3.3","21904000000","10819000000","5096000000","47.8","4563000000","1.6","45.4","1397.9","115788862417","108878862417","6910000000","25.9","0.8","20.1","5.6","0.4","6.5","20.0","1.85","44.1","1.4","3.2","1.01","2.0","3.2","2.2","1.7","276069000000","148279000000","44408000000","16","2","41","20803000000","3269000000","193.4","127790000000","117394000000","76653000000","8419000000","40741000000","51318000000","0.4","1.5","73","158674000000","144375000000","140537000000","51","18675000000","95556000000","15038000000","12597000000","37000000","-15854000000","-7702000000","5883000000","9155000000","-","100534499","-","-","-","1083"
"2008","4","285004000000","215711000000","69292000000","24.3","59349000000","9943000000","3.5","21953000000","10630000000","4144000000","45.7","4224000000","1.5","42.0","1364.3","97692903465","84951903465","12741000000","16.7","0.6","10.3","4.4","0.3","5.0","20.0","2.37","47.6","1.5","3.1","0.99","2.1","3.0","2.9","1.5","287561000000","163690000000","53506000000","19","2","63","20862000000","4249000000","183.1","123871000000","132663000000","89381000000","8668000000","43282000000","66247000000","0.5","3.0","85","154898000000","141822000000","137163000000","48","18675000000","93004000000","19291000000","11988000000","22000000","-13997000000","-9377000000","8921000000","10370000000","-","100534797","-","-","-","845"
