"åàéZîNìx","åàéZélîºä˙","îÑè„çÇ","îÑè„å¥âø","îÑè„ëçóòâv","îÑè„ëçóòâvó¶","îÃä«îÔ","âcã∆óòâv","âcã∆óòâvó¶","EBITDA","åoèÌóòâv","ñ@êlê≈ìô","é¿éøé¿å¯ê≈ó¶","êeâÔé–Ç…ãAëÆÇ∑ÇÈèÉóòâv","èÉóòâvó¶","EPS","BPS","äÈã∆âøíl","éûâøëçäz","èÉóLóòéqïâç¬","PERÅiâÔó\Åj","PBR","PER Å~ PBR","EV/EBITDAÅiâÔó\Åj","PSR","PCFR","àÍäîìñÇΩÇËîzìñã‡","îzìñóòâÒÇËÅié¿ê—Åj","îzìñê´å¸","é©å»éëñ{îzìñó¶","ROE","ëçéëéYâÒì]ó¶","ç‡ñ±ÉåÉoÉåÉbÉW","é¿éøROE","ROIC","ROA","ëçéëéY","ó¨ìÆéëéY","åªã‡ãyÇ—óaã‡","åªã‡/ëçéëéY","åªã‡/åéä‘îÑè„","åªã‡/éûâøëçäz","îÑä|ã‡Ç®ÇÊÇ—éÛéÊéËå`","êªïiÇ®ÇÊÇ—édä|ïi","ó¨ìÆî‰ó¶","å≈íËéëéY","ïâç¬","ó¨ìÆïâç¬","îÉä|ã‡Ç®ÇÊÇ—éxï•éËå`","å≈íËïâç¬","óLóòéqïâç¬","D/EÉåÉVÉI","ÉlÉbÉgDèÉóòâvî{ó¶","é©å»äîí≤êÆçœïâç¬î‰ó¶","èÉéëéY","äîéÂéëñ{","é©å»éëñ{","é©å»éëñ{î‰ó¶","éëñ{ã‡","óòâvèËó]ã‡","âcã∆CF","å∏âøèûãpîÔ","ÇÃÇÍÇÒèûãpîÔ","ìäéëCF","ç‡ñ±CF","ÉtÉäÅ[CF","ê›îıìäéëäz","å§ãÜäJî≠îÔ","î≠çsçœäîéÆëçêî","è]ã∆àıêî","îÑè„/è]ã∆àıêî","âcóò/è]ã∆àıêî","äîâø"
"2021","4","4476758000000","3212216000000","1264542000000","28.2","1013674000000","252051000000","5.6","462944000000","279693000000","61808000000","22.1","203482000000","4.5","96.3","1409.1","2250702354720","2977881354720","-727179000000","14.2","1.0","14.2","4.8","0.7","7.1","40.0","2.84","41.5","2.8","6.8","0.88","1.7","6.8","6.4","4.0","5107973000000","3090296000000","727179000000","14","2","24","-","959660000000","187.7","2017677000000","2010576000000","1646722000000","601606000000","363854000000","-","-","-3.6","65","3097397000000","2975941000000","2975941000000","58","175820000000","2464966000000","282371000000","210893000000","-","-114867000000","-241319000000","148034000000","134337000000","-","2111972592","-","-","-","1410"
"2020","4","4191433000000","3017059000000","1174374000000","28.0","953602000000","230195000000","5.5","443515000000","258754000000","57071000000","22.1","193132000000","4.6","90.0","1283.9","2850617849025","3618023849025","-767406000000","25.0","1.3","32.8","7.1","0.9","10.1","36.0","2.13","40.0","2.8","7.0","0.87","1.7","7.0","6.3","4.0","4797921000000","2846972000000","767406000000","16","2","21","-","743782000000","189.1","1950949000000","1927310000000","1505381000000","541774000000","421929000000","-","-","-4.0","67","2870611000000","2754293000000","2754293000000","57","175820000000","2266490000000","542119000000","213320000000","-","-176552000000","-157352000000","362086000000","180033000000","190500000000","2145285413","145653","28776839","1580434","1687"
"2019","4","4462509000000","3200170000000","1262339000000","28.3","1017075000000","259661000000","5.8","470347000000","281986000000","48474000000","17.2","221834000000","5.0","103.4","1132.7","2326159133360","2863718133360","-537559000000","13.6","1.2","16.1","4.9","0.6","6.8","40.0","3.0","38.7","3.5","9.1","1.01","1.8","9.1","8.7","5.0","4409771000000","2628033000000","537559000000","12","1","19","-","693890000000","187.4","1781738000000","1870912000000","1402665000000","527307000000","468247000000","-","-","-2.4","74","2538859000000","2429743000000","2429743000000","55","175820000000","2071817000000","395834000000","210686000000","-","-203997000000","-156454000000","178637000000","217197000000","206800000000","2145107216","146518","30457070","1772212","1335"
"2018","4","4519921000000","3186869000000","1333052000000","29.5","1043294000000","290477000000","6.4","466724000000","315958000000","78304000000","24.8","226648000000","5.0","105.7","1118.8","2835540838253","3051326838253","-215786000000","13.6","1.3","17.2","6.1","0.7","7.6","40.0","2.81","37.9","3.6","9.4","1.04","1.8","9.4","7.9","5.2","4356211000000","2624293000000","514224000000","12","1","17","-","729098000000","185.3","1731918000000","1845056000000","1416335000000","559641000000","428721000000","298438000000","0.1","-1.0","73","2511155000000","2399946000000","2399946000000","55","175820000000","1960466000000","239817000000","176247000000","-","-210668000000","-112067000000","21790000000","218027000000","212700000000","2145045229","145817","30997216","1992065","1423"
"2017","4","4431200000000","3030900000000","1400300000000","31.6","1081660000000","318637000000","7.2","492526000000","364578000000","82239000000","22.6","271880000000","6.1","126.7","1053.0","3363208316837","3650922316837","-287714000000","13.8","1.6","22.3","6.7","0.8","8.3","40.0","2.35","31.6","3.8","12.0","1.04","1.9","12.0","9.2","6.4","4264560000000","2606490000000","599199000000","14","2","16","1087590000000","741782000000","177.1","1658070000000","1900410000000","1471370000000","719404000000","429047000000","311485000000","0.1","-1.1","80","2364150000000","2259360000000","2259360000000","53","175820000000","1857740000000","240450000000","173889000000","-","-178219000000","-128291000000","31050000000","209400000000","210000000000","2145708091","142340","31131095","2238563","1702"
"2016","4","4238670000000","2950730000000","1287940000000","30.4","1017830000000","270104000000","6.4","411688000000","296249000000","73484000000","24.8","210493000000","5.0","98.1","950.4","3117043264557","3427388264557","-310345000000","18.0","1.7","30.3","7.9","0.8","10.3","27.0","1.69","27.5","2.8","10.3","1.01","2.0","10.3","8.2","5.0","4180020000000","2623600000000","662469000000","16","2","19","1045570000000","643040000000","172.0","1556430000000","2039320000000","1525760000000","780202000000","513555000000","352124000000","0.2","-1.5","95","2140710000000","2039630000000","2039629000000","49","175820000000","1654560000000","365950000000","141584000000","-","-148632000000","-123495000000","198950000000","167000000000","201000000000","2146141681","138700","30559986","1947397","1597"
"2015","4","4394350000000","3071440000000","1322920000000","30.1","1021750000000","301172000000","6.9","446421000000","318476000000","77046000000","24.2","228494000000","5.2","106.4","856.5","2362003269823","2532134269823","-170131000000","11.5","1.4","15.8","5.3","0.6","6.9","27.0","2.29","25.4","3.2","12.4","1.08","2.2","12.4","10.0","5.6","4059940000000","2551860000000","574170000000","14","2","23","1045760000000","644127000000","169.2","1508080000000","2122440000000","1507940000000","773714000000","614495000000","404039000000","0.2","-0.7","110","1937500000000","1838770000000","1838770000000","45","175820000000","1502030000000","366677000000","145249000000","-","-255443000000","-82144000000","184677000000","182000000000","203000000000","2146786155","135160","32512208","2228263","1180"
"2014","4","4323040000000","3032160000000","1290880000000","29.9","973276000000","317604000000","7.3","473809000000","322968000000","74913000000","23.2","234694000000","5.4","109.3","858.1","2880203028889","3066726028889","-186523000000","15.3","1.7","25.5","6.5","0.7","8.6","27.0","1.89","24.7","3.1","12.7","1.06","2.2","12.7","10.9","5.8","4059450000000","2633450000000","568517000000","14","2","19","1059040000000","705420000000","163.3","1426010000000","2129280000000","1612580000000","807289000000","516702000000","381994000000","0.2","-0.8","110","1930170000000","1842200000000","1842206000000","45","175820000000","1331500000000","378313000000","156205000000","-","-198163000000","-49623000000","178313000000","200000000000","195000000000","2146815561","129249","33447377","2457303","1429"
"2013","4","4054360000000","2914590000000","1139770000000","28.1","904598000000","235172000000","5.8","368128000000","248990000000","86198000000","34.6","153473000000","3.8","71.5","710.0","2450071665424","2494642665424","-44571000000","17.8","1.6","29.2","6.9","0.6","9.1","17.0","1.46","23.8","2.4","10.1","1.12","2.4","10.1","7.8","4.2","3612970000000","2290010000000","418049000000","12","1","17","993516000000","602341000000","153.3","1322960000000","2012620000000","1494240000000","758913000000","518372000000","373478000000","0.2","-0.3","126","1600350000000","1524320000000","1524321000000","42","175820000000","1139740000000","440487000000","132956000000","-","-130221000000","-209021000000","288487000000","152000000000","179000000000","2146852552","124305","32616226","1891895","1162"
"2012","4","3567180000000","2604360000000","962824000000","27.0","810729000000","152095000000","4.3","280037000000","65141000000","-9509000000","-14.6","69517000000","1.9","32.4","605.6","1969728561177","1625199561177","344529000000","-","1.3","-","-","-","12.7","11.0","1.45","34.0","1.8","5.3","1.05","2.6","5.3","8.3","2.0","3410410000000","2144260000000","298881000000","9","1","18","982795000000","760148000000","150.4","1266150000000","2043420000000","1425760000000","652718000000","617660000000","643410000000","0.5","5.0","149","1366990000000","1300070000000","1300069000000","38","175820000000","1012030000000","82752000000","127942000000","-","-153701000000","-41153000000","-67673000000","150425000000","172000000000","2146895061","120958","29491063","1257420","757"
