"åàéZîNìx","åàéZélîºä˙","îÑè„çÇ","îÑè„å¥âø","îÑè„ëçóòâv","îÑè„ëçóòâvó¶","îÃä«îÔ","âcã∆óòâv","âcã∆óòâvó¶","EBITDA","åoèÌóòâv","ñ@êlê≈ìô","é¿éøé¿å¯ê≈ó¶","êeâÔé–Ç…ãAëÆÇ∑ÇÈèÉóòâv","èÉóòâvó¶","EPS","BPS","äÈã∆âøíl","éûâøëçäz","èÉóLóòéqïâç¬","PERÅiâÔó\Åj","PBR","PER Å~ PBR","EV/EBITDAÅiâÔó\Åj","PSR","PCFR","àÍäîìñÇΩÇËîzìñã‡","îzìñóòâÒÇËÅié¿ê—Åj","îzìñê´å¸","é©å»éëñ{îzìñó¶","ROE","ëçéëéYâÒì]ó¶","ç‡ñ±ÉåÉoÉåÉbÉW","é¿éøROE","ROIC","ROA","ëçéëéY","ó¨ìÆéëéY","åªã‡ãyÇ—óaã‡","åªã‡/ëçéëéY","åªã‡/åéä‘îÑè„","åªã‡/éûâøëçäz","îÑä|ã‡Ç®ÇÊÇ—éÛéÊéËå`","êªïiÇ®ÇÊÇ—édä|ïi","ó¨ìÆî‰ó¶","å≈íËéëéY","ïâç¬","ó¨ìÆïâç¬","îÉä|ã‡Ç®ÇÊÇ—éxï•éËå`","å≈íËïâç¬","óLóòéqïâç¬","D/EÉåÉVÉI","ÉlÉbÉgDèÉóòâvî{ó¶","é©å»äîí≤êÆçœïâç¬î‰ó¶","èÉéëéY","äîéÂéëñ{","é©å»éëñ{","é©å»éëñ{î‰ó¶","éëñ{ã‡","óòâvèËó]ã‡","âcã∆CF","å∏âøèûãpîÔ","ÇÃÇÍÇÒèûãpîÔ","ìäéëCF","ç‡ñ±CF","ÉtÉäÅ[CF","ê›îıìäéëäz","å§ãÜäJî≠îÔ","î≠çsçœäîéÆëçêî","è]ã∆àıêî","îÑè„/è]ã∆àıêî","âcóò/è]ã∆àıêî","äîâø"
"2021","4","935139000000","773583000000","161556000000","17.3","159847000000","1708000000","0.2","208747000000","-67299000000","-17117000000","25.6","-51928000000","-","-263.9","18110.2","4256158413785","3141898413785","1114260000000","-","0.9","-","17.4","3.1","17.7","130.0","0.81","-49.3","0.7","-","0.1","2.7","-","0.4","-","9450519000000","2682764000000","331651000000","4","4","11","-","34369000000","363.9","6767755000000","5841267000000","737314000000","75970000000","5103953000000","1445911000000","0.4","-21.5","162","3609252000000","3511649000000","3564079000000","38","112000000000","3449334000000","71746000000","207039000000","-","-153049000000","-19178000000","-412887000000","484633000000","-","196799149","-","-","-","15965"
"2020","4","823517000000","843758000000","-20241000000","-","164511000000","-184751000000","-","-","-262064000000","-69463000000","25.9","-201554000000","-","-1024.3","18510.9","4346115518050","3256661518050","1089454000000","-","0.9","-","-","4.1","-94.0","130.0","0.79","-12.7","0.7","-","0.09","2.6","-","-","-","9600370000000","3023832000000","340509000000","4","5","10","54157000000","41938000000","366.9","6576538000000","5913760000000","824087000000","70084000000","5089672000000","1429963000000","0.4","-5.4","156","3686609000000","3588662000000","3642515000000","38","112000000000","3526766000000","-169354000000","199362000000","-","-134718000000","262638000000","-712554000000","543200000000","36000000000","196777131","30153","27311279","-6127118","16550"
"2019","4","1844647000000","991462000000","853185000000","46.3","197021000000","656163000000","35.6","870680000000","574282000000","169116000000","29.5","397881000000","21.6","2026.3","19514.8","4331533868920","3400870868920","930663000000","8.0","0.9","7.1","4.8","1.8","5.3","150.0","0.87","7.4","0.8","10.4","0.19","2.5","10.1","9.4","4.1","9603126000000","3382682000000","406408000000","4","3","12","48206000000","43136000000","540.6","6220443000000","5731023000000","625682000000","78825000000","5105341000000","1337071000000","0.3","2.3","144","3872103000000","3809772000000","3831834000000","40","112000000000","3755901000000","595227000000","214517000000","-","-552494000000","-32993000000","131502000000","463725000000","53900000000","196355131","29603","62312840","22165422","17320"
"2018","4","1878137000000","970811000000","907326000000","48.3","197551000000","709775000000","37.8","921037000000","632653000000","185233000000","29.4","438715000000","23.4","2237.5","17703.7","5788887153110","5041138153110","747749000000","12.3","1.5","17.8","6.5","2.7","8.1","145.0","0.56","6.5","0.8","12.6","0.2","2.7","12.2","10.9","4.7","9295745000000","3630692000000","587867000000","6","4","12","58085000000","45004000000","558.3","5665052000000","5787679000000","650260000000","76348000000","5137419000000","1335616000000","0.4","1.7","160","3508065000000","3436154000000","3471295000000","37","112000000000","3387569000000","600319000000","211262000000","-","-597502000000","-33635000000","185920000000","414399000000","55000000000","196076941","29128","64478749","24367447","25710"
"2017","4","1822039000000","966688000000","855351000000","46.9","193326000000","662023000000","36.3","878050000000","583569000000","171952000000","30.6","395502000000","21.7","2019.7","15602.7","4806808432630","3941982432630","864826000000","10.5","1.3","13.6","5.8","2.2","6.7","140.0","0.7","6.9","0.9","12.9","0.2","2.9","12.4","11.2","4.4","8908682000000","3804768000000","469863000000","5","3","12","55774000000","37597000000","631.2","5103914000000","5823942000000","602823000000","81240000000","5221118000000","1334689000000","0.4","2.2","182","3084739000000","3020245000000","3055410000000","34","112000000000","2976434000000","609595000000","216027000000","-","-1676489000000","1434788000000","283991000000","325604000000","-","195826251","28867","63118405","22933557","20130"
"2016","4","1756980000000","954512000000","802468000000","45.7","182903000000","619564000000","35.3","844950000000","563973000000","168768000000","30.1","392913000000","22.4","1996.5","13681.2","4690620927960","3569935927960","1120685000000","9.8","1.3","13.0","5.8","2.1","6.1","135.0","0.74","6.8","1.0","14.6","0.25","2.6","14.1","11.1","5.6","7052675000000","2191555000000","246483000000","3","2","7","54293000000","35697000000","394.6","4861120000000","4325946000000","555352000000","74140000000","3770594000000","1367168000000","0.5","2.9","153","2726729000000","2670849000000","2692452000000","38","112000000000","2608511000000","580565000000","225386000000","-","-1909547000000","1425188000000","250641000000","329924000000","-","196799114","28593","61447907","21668380","18140"
"2015","4","1738409000000","982295000000","756114000000","43.5","177436000000","578677000000","33.3","821046000000","511455000000","177098000000","34.9","337440000000","19.4","1714.6","11770.4","5090743553720","3917288553720","1173455000000","12.2","1.7","20.6","6.5","2.3","7.0","125.0","0.63","7.3","1.1","14.6","0.33","2.3","13.9","11.0","6.4","5268544000000","530716000000","164871000000","3","1","4","47931000000","37692000000","83.0","4737827000000","2915978000000","639269000000","67938000000","2276709000000","1338326000000","0.6","3.5","119","2352566000000","2303549000000","2316398000000","44","112000000000","2241207000000","601495000000","242369000000","-","-170305000000","-242847000000","363116000000","238379000000","-","196799224","28706","60559082","20158747","19905"
"2014","4","1672295000000","983074000000","689221000000","41.2","182622000000","506598000000","30.3","778166000000","428134000000","147934000000","36.6","264134000000","15.8","1342.1","10265.3","5580202843465","4279399843465","1300803000000","16.0","2.1","33.8","7.5","2.6","7.9","120.0","0.55","8.9","1.2","13.1","0.32","2.6","12.4","10.3","5.1","5217982000000","432183000000","151397000000","3","1","4","57224000000","38141000000","65.6","4785798000000","3154015000000","658868000000","69282000000","2495146000000","1452200000000","0.7","4.9","146","2063967000000","1989750000000","2020197000000","39","112000000000","1927407000000","570806000000","271568000000","-","-263970000000","-252279000000","356275000000","214531000000","-","196799257","28741","58184997","17626318","21745"
"2013","4","1652547000000","979083000000","673464000000","40.8","178851000000","494612000000","29.9","770881000000","404260000000","142670000000","35.4","255686000000","15.5","1299.2","8911.5","3820435847440","2373399847440","1447036000000","-","1.4","-","-","-","8.6","115.0","0.95","8.9","1.3","14.6","0.32","3.0","13.8","10.7","4.9","5178166000000","313853000000","92639000000","2","1","4","58024000000","36094000000","44.1","4864313000000","3375913000000","711526000000","66019000000","2664387000000","1539675000000","0.9","5.7","177","1802252000000","1731806000000","1753771000000","34","112000000000","1669462000000","540557000000","276269000000","-","-230454000000","-309764000000","340363000000","200194000000","-","196799324","28619","57743003","17282644","12060"
"2012","4","1585319000000","986975000000","598344000000","37.7","172201000000","426142000000","26.9","666335000000","328099000000","122664000000","37.6","199971000000","12.6","1016.1","7689.6","3564316849600","1952249849600","1612067000000","10.4","1.3","13.5","5.5","1.2","4.6","-","1.06","0.1","-","13.2","0.3","3.5","12.4","9.5","3.8","5231104000000","282003000000","59838000000","1","0","3","45091000000","50062000000","42.9","4949101000000","3673131000000","657498000000","69827000000","3015632000000","1671905000000","1.1","8.1","221","1557972000000","1497790000000","1513318000000","29","112000000000","1435445000000","512324000000","240193000000","-","-262114000000","-259838000000","231217000000","281107000000","-","196799380","28348","55923487","15032524","9920"
