"決算年度","決算四半期","売上高","売上原価","売上総利益","売上総利益率","販管費","営業利益","営業利益率","EBITDA","経常利益","法人税等","実質実効税率","親会社に帰属する純利益","純利益率","EPS","BPS","企業価値","時価総額","純有利子負債","PER（会予）","PBR","PER × PBR","EV/EBITDA（会予）","PSR","PCFR","一株当たり配当金","配当利回り（実績）","配当性向","自己資本配当率","ROE","総資産回転率","財務レバレッジ","実質ROE","ROIC","ROA","総資産","流動資産","現金及び預金","現金/総資産","現金/月間売上","現金/時価総額","売掛金および受取手形","製品および仕掛品","流動比率","固定資産","負債","流動負債","買掛金および支払手形","固定負債","有利子負債","D/Eレシオ","ネットD純利益倍率","自己株調整済負債比率","純資産","株主資本","自己資本","自己資本比率","資本金","利益剰余金","営業CF","減価償却費","のれん償却費","投資CF","財務CF","フリーCF","設備投資額","研究開発費","発行済株式総数","従業員数","売上/従業員数","営利/従業員数","株価"
"2021","4","1681757000000","-","-","-","-","-194726000000","-","-","-212630000000","-76804000000","36.1","-133828000000","-","-84.6","691.5","817933035364","1825322035364","-1007389000000","-","1.7","-","-","-","9.2","4.5","0.39","-5.3","0.7","-","0.1","15.4","-","-","-","16831221000000","-","4410301000000","26","31","242","307821000000","-","-","-","15713931000000","-","392455000000","-","3402912000000","3.1","7.5","1406","1117290000000","1093719000000","1093719000000","6","289674000000","142671000000","582707000000","197353000000","-","-611830000000","1402265000000","-28211000000","610918000000","17287000000","1581734866","28261","59508050","-6890273","1154"
"2020","4","1455538000000","-","-","-","-","-93849000000","-","-","-151016000000","-35178000000","23.3","-114199000000","-","-83.8","446.8","820476758422","1354325758422","-533849000000","-","2.2","-","-","-","8.9","4.5","0.45","-5.4","1.0","-","0.12","20.6","-","-","-","12524438000000","-","3021306000000","24","25","223","243886000000","-","-","-","11895424000000","-","337427000000","-","2487457000000","4.1","4.7","1666","629014000000","608738000000","608738000000","5","205924000000","290449000000","1041391000000","151506000000","-","-303347000000","808108000000","535074000000","506317000000","10488000000","1362500763","23841","61051885","-3936454","994"
"2019","4","1263932000000","-","-","-","-","72745000000","5.8","179115000000","-44558000000","-11490000000","25.8","-31888000000","-","-23.5","542.4","1516637389470","1268098389470","248539000000","-","1.7","-","-","-","11.9","4.5","0.48","-19.1","0.8","-","0.14","12.5","-","3.4","-","9165697000000","-","1478557000000","16","14","117","222485000000","-","-","-","8428497000000","-","329483000000","-","1727096000000","2.3","-7.8","1016","737200000000","735672000000","735672000000","8","205924000000","413603000000","318320000000","106370000000","-","-286290000000","458340000000","-44281000000","362601000000","9094000000","1356254962","20053","63029572","3627637","935"
"2018","4","1101480000000","1027750000000","170425000000","15.5","-","170425000000","15.5","242854000000","165423000000","23534000000","14.2","142282000000","12.9","105.2","572.8","1238983514432","995085514432","243898000000","-","1.3","-","-","-","13.7","4.5","0.61","4.3","0.8","18.4","0.15","9.5","16.3","7.3","1.9","7345000000000","1831860000000","990242000000","13","11","100","181026000000","-","303.7","5513150000000","6568800000000","603132000000","255353000000","1352100000000","1234140000000","1.6","1.7","752","776207000000","774473000000","774473000000","11","205924000000","424568000000","145615000000","72429000000","-","-67569000000","208418000000","58033000000","87582000000","9466000000","1352018362","17214","63987452","9900372","736"
"2017","4","944474000000","837550000000","149344000000","15.8","-","149344000000","15.8","203720000000","138082000000","27594000000","20.0","110585000000","11.7","82.1","507.3","1705327236765","1390427236765","314900000000","-","2.0","-","-","-","25.6","4.5","0.44","5.5","0.9","16.2","0.15","9.1","14.1","7.2","1.8","6184300000000","1266950000000","700881000000","11","9","50","130898000000","-","259.3","4917350000000","5500890000000","488571000000","202874000000","878961000000","1015781000000","1.5","2.8","699","683408000000","683181000000","683181000000","11","205924000000","320397000000","162056000000","54376000000","-","-203718000000","194458000000","77106000000","84950000000","9750000000","1346660762","14845","63622364","10060222","1033"
"2016","4","781916000000","677598000000","77977000000","10.0","-","77977000000","10.0","122234000000","73923000000","35922000000","48.6","37995000000","4.9","26.6","476.9","1796791907096","1633956907096","162835000000","-","2.4","-","-","-","36.9","4.5","0.39","16.9","0.9","5.6","0.17","6.8","5.6","3.0","0.8","4604670000000","976111000000","548269000000","12","8","34","119821000000","-","271.7","3628560000000","3924330000000","359294000000","181279000000","659486000000","711104000000","1.0","4.3","574","680346000000","680247000000","680247000000","15","204562000000","210554000000","30700000000","44257000000","-","-26841000000","45200000000","-23234000000","53934000000","9977000000","1426413712","14134","55321636","5516980","1146"
"2015","4","713555000000","601001000000","94689000000","13.3","-","94689000000","13.3","134811000000","91987000000","47707000000","51.9","44436000000","6.2","31.2","464.8","2146550252136","1998384252136","148166000000","-","3.0","-","-","-","49.8","4.5","0.32","14.4","1.0","6.7","0.17","6.4","6.7","3.6","1.0","4269950000000","917917000000","501029000000","12","8","25","106625000000","-","243.4","3352040000000","3605940000000","377160000000","162606000000","566163000000","649195000000","1.0","3.3","540","664013000000","662044000000","662044000000","16","203588000000","176834000000","78245000000","40122000000","-","-224078000000","221831000000","23583000000","54662000000","8364000000","1424365112","12981","54969186","7294430","1403"
"2014","4","598565000000","491279000000","106397000000","17.8","-","106397000000","17.8","136537000000","104245000000","33142000000","31.8","70614000000","11.8","53.4","318.7","2386516640795","2225224640795","161292000000","-","5.3","-","-","-","73.8","4.5","0.27","8.4","1.4","16.8","0.16","8.7","16.6","7.2","1.9","3680700000000","2403780000000","428635000000","12","9","19","88042000000","-","89.4","1276920000000","3252610000000","2687590000000","137042000000","565021000000","589927000000","1.4","2.3","753","428086000000","421562000000","421562000000","11","111602000000","124796000000","111860000000","30140000000","-","-261085000000","189512000000","73643000000","38217000000","2392000000","1322570366","11723","51059029","9075919","1683"
"2013","4","518568000000","420374000000","90244000000","17.4","-","90244000000","17.4","116330000000","88610000000","45129000000","50.9","42900000000","8.3","32.6","227.7","2066760547576","2061085547576","5675000000","-","6.9","-","-","-","79.0","4.0","0.26","12.3","1.8","14.3","0.16","10.7","14.1","6.5","1.3","3209810000000","2384210000000","384008000000","12","9","19","72197000000","-","91.5","825597000000","2903350000000","2606820000000","115357000000","296531000000","389683000000","1.3","0.1","936","306454000000","300063000000","300063000000","9","109530000000","61226000000","1485000000","26086000000","-","30584000000","75252000000","-33027000000","34512000000","856000000","1317829634","10867","47719518","8304408","1564"
"2012","4","400444000000","100424000000","343049000000","85.7","270790000000","72259000000","18.0","101371000000","71514000000","26644000000","57.1","19413000000","4.8","14.8","193.7","924489939096","886052939096","38437000000","-","3.5","-","-","-","30.4","3.0","0.45","0.2","1.5","7.6","0.19","8.3","7.5","8.1","0.9","2108409000000","1818364000000","267596000000","13","8","30","66740000000","-","107.1","290045000000","1845957000000","1698159000000","79965000000","146169000000","306033000000","1.2","2.0","694","262451000000","246546000000","254693000000","12","108255000000","21590000000","19508000000","21140000000","7972000000","136548000000","-47099000000","-4605000000","24113000000","-","1314618604","9311","43007625","7760606","674"
