"åàéZîNìx","åàéZélîºä˙","îÑè„çÇ","îÑè„å¥âø","îÑè„ëçóòâv","îÑè„ëçóòâvó¶","îÃä«îÔ","âcã∆óòâv","âcã∆óòâvó¶","EBITDA","åoèÌóòâv","ñ@êlê≈ìô","é¿éøé¿å¯ê≈ó¶","êeâÔé–Ç…ãAëÆÇ∑ÇÈèÉóòâv","èÉóòâvó¶","EPS","BPS","äÈã∆âøíl","éûâøëçäz","èÉóLóòéqïâç¬","PERÅiâÔó\Åj","PBR","PER Å~ PBR","EV/EBITDAÅiâÔó\Åj","PSR","PCFR","àÍäîìñÇΩÇËîzìñã‡","îzìñóòâÒÇËÅié¿ê—Åj","îzìñê´å¸","é©å»éëñ{îzìñó¶","ROE","ëçéëéYâÒì]ó¶","ç‡ñ±ÉåÉoÉåÉbÉW","é¿éøROE","ROIC","ROA","ëçéëéY","ó¨ìÆéëéY","åªã‡ãyÇ—óaã‡","åªã‡/ëçéëéY","åªã‡/åéä‘îÑè„","åªã‡/éûâøëçäz","îÑä|ã‡Ç®ÇÊÇ—éÛéÊéËå`","êªïiÇ®ÇÊÇ—édä|ïi","ó¨ìÆî‰ó¶","å≈íËéëéY","ïâç¬","ó¨ìÆïâç¬","îÉä|ã‡Ç®ÇÊÇ—éxï•éËå`","å≈íËïâç¬","óLóòéqïâç¬","D/EÉåÉVÉI","ÉlÉbÉgDèÉóòâvî{ó¶","é©å»äîí≤êÆçœïâç¬î‰ó¶","èÉéëéY","äîéÂéëñ{","é©å»éëñ{","é©å»éëñ{î‰ó¶","éëñ{ã‡","óòâvèËó]ã‡","âcã∆CF","å∏âøèûãpîÔ","ÇÃÇÍÇÒèûãpîÔ","ìäéëCF","ç‡ñ±CF","ÉtÉäÅ[CF","ê›îıìäéëäz","å§ãÜäJî≠îÔ","î≠çsçœäîéÆëçêî","è]ã∆àıêî","îÑè„/è]ã∆àıêî","âcóò/è]ã∆àıêî","äîâø"
"2021","4","414150000000","305962000000","108187000000","26.1","60780000000","47555000000","11.5","67436000000","48315000000","14816000000","30.7","33470000000","8.1","107.2","790.9","633154951072","655973951072","-22819000000","19.3","2.7","51.3","9.3","1.6","12.2","-","2.22","7.3","-","13.6","1.02","1.7","13.6","9.5","8.2","407609000000","230055000000","121251000000","30","4","18","74259000000","9125000000","227.4","177553000000","160245000000","101175000000","32628000000","59069000000","98432000000","0.4","-0.7","65","247363000000","246921000000","246921000000","61","21152000000","223300000000","59081000000","19881000000","-","-14927000000","-32342000000","44997000000","14084000000","-","312219872","-","-","-","2101"
"2020","4","396853000000","293884000000","102969000000","25.9","57168000000","45878000000","11.6","64311000000","46557000000","13011000000","27.9","33435000000","8.4","107.1","726.8","659474032481","682601032481","-23127000000","21.7","3.0","65.2","10.4","1.7","13.7","135.0","2.06","42.0","18.6","14.7","1.04","1.7","14.7","10.5","8.8","380399000000","212524000000","108768000000","29","3","16","69855000000","7710000000","217.3","167875000000","153060000000","97820000000","29465000000","55240000000","85641000000","0.4","-0.7","67","227338000000","226874000000","226874000000","60","21152000000","203893000000","50219000000","18433000000","-","-20586000000","-32488000000","11247000000","38972000000","874000000","312168228","14550","27275120","3153127","2187"
"2019","4","387003000000","288102000000","97192000000","25.1","57145000000","40048000000","10.3","57258000000","40578000000","11720000000","28.9","28765000000","7.4","92.3","642.1","511302907151","499945907151","11357000000","17.9","2.5","44.6","8.8","1.3","11.1","130.0","2.7","46.9","20.2","14.4","1.07","1.8","14.4","8.8","7.9","362241000000","213891000000","111695000000","31","3","22","66772000000","9954000000","210.6","148350000000","161835000000","101559000000","32306000000","60276000000","123052000000","0.6","0.4","81","200405000000","200047000000","200017000000","55","21152000000","177828000000","55710000000","16782000000","428000000","-27484000000","-22923000000","42106000000","13604000000","1190000000","311495892","13979","27684598","2864869","1605"
"2018","4","358654000000","269912000000","88742000000","24.7","50363000000","38378000000","10.7","48938000000","38650000000","10788000000","27.3","27892000000","7.8","89.5","620.9","548978034558","512396034558","36582000000","19.3","2.6","51.2","11.1","1.5","13.8","100.0","2.03","37.2","16.1","14.4","1.14","1.6","14.4","11.0","8.9","314844000000","201007000000","21170000000","7","1","4","74698000000","8308000000","277.2","113837000000","120375000000","72525000000","22087000000","47850000000","57752000000","0.3","1.3","62","194468000000","195681000000","193413000000","61","21152000000","175223000000","33511000000","10530000000","30000000","-7163000000","-19995000000","18348000000","15163000000","725000000","311490066","12365","29005580","3103761","1645"
"2017","4","336654000000","253098000000","83555000000","24.8","48953000000","34602000000","10.3","44664000000","36291000000","10192000000","23.4","32488000000","9.7","104.3","607.5","508745006097","477043006097","31702000000","14.2","2.5","35.9","11.5","1.4","11.0","95.0","2.07","30.4","15.6","17.2","1.11","1.6","17.1","10.3","10.7","303914000000","183684000000","16456000000","5","1","3","66665000000","6086000000","260.3","120229000000","107313000000","70564000000","20013000000","36748000000","48158000000","0.3","1.0","54","196600000000","190104000000","189214000000","62","21152000000","168363000000","37096000000","10013000000","49000000","-35394000000","-25763000000","21508000000","15588000000","-","311456655","12054","27928820","2870582","1532"
"2016","4","329303000000","247548000000","81754000000","24.8","48040000000","33714000000","10.2","42784000000","36121000000","6554000000","18.3","28458000000","8.6","91.4","535.9","494123797176","458831797176","35292000000","18.4","2.7","50.5","11.7","1.4","13.5","90.0","2.04","32.8","16.8","17.1","0.85","2.3","16.2","11.8","7.3","389537000000","272306000000","27363000000","7","1","6","65764000000","7170000000","148.1","117230000000","215862000000","183919000000","21362000000","31943000000","62655000000","0.4","1.2","119","173674000000","167497000000","166898000000","43","21152000000","151722000000","37161000000","8972000000","98000000","-11982000000","476000000","21826000000","15335000000","-","311427411","11910","27649286","2830730","1473"
"2015","4","323945000000","245923000000","78021000000","24.1","46235000000","31785000000","9.8","39877000000","33610000000","5116000000","15.6","26956000000","8.3","86.6","467.0","488278082124","456703082124","31575000000","19.4","3.1","61.0","12.3","1.4","14.5","75.0","1.7","28.9","16.1","18.5","0.92","2.4","17.5","13.5","7.6","352676000000","238175000000","20840000000","6","1","5","63373000000","6178000000","152.4","114500000000","201129000000","156255000000","19679000000","44873000000","52415000000","0.4","1.2","126","151546000000","147649000000","145420000000","41","21152000000","131886000000","34730000000","8003000000","89000000","-9473000000","-12338000000","22684000000","12046000000","-","311391579","11769","27525278","2700739","1467"
"2014","4","297633000000","225163000000","72469000000","24.3","44466000000","28003000000","9.4","34955000000","30667000000","10384000000","39.2","15638000000","5.3","50.2","425.5","381080088139","349208088139","31872000000","15.9","2.6","41.8","11.1","11.6","12.1","50.0","1.49","33.2","11.8","11.8","0.89","2.5","11.1","9.3","4.7","334290000000","223444000000","25908000000","8","1","7","63687000000","5075000000","139.0","110845000000","195753000000","160799000000","17769000000","34954000000","57780000000","0.4","2.0","133","138536000000","126907000000","132459000000","40","21152000000","111171000000","29707000000","6865000000","87000000","5166000000","-8395000000","14880000000","14827000000","-","311332761","11754","25321848","2382423","1122"
"2013","4","288236000000","219511000000","68724000000","23.8","44749000000","23974000000","8.3","30907000000","25690000000","803000000","4.1","18387000000","6.4","59.1","387.1","331744429145","288538429145","43206000000","-","2.4","-","-","-","41.6","40.0","1.44","22.6","10.3","15.3","0.91","2.6","14.3","12.7","5.8","317932000000","210896000000","19156000000","6","1","7","63372000000","4244000000","144.9","107036000000","191773000000","145524000000","19644000000","46248000000","62362000000","0.5","2.3","142","126159000000","116880000000","120489000000","38","21152000000","101176000000","35342000000","6841000000","92000000","-26045000000","-33739000000","25662000000","9680000000","-","311263554","11689","24658739","2050988","927"
"2012","4","278634000000","214167000000","64466000000","23.1","43663000000","20803000000","7.5","27603000000","22228000000","-692000000","-4.2","16730000000","6.0","53.8","330.5","259205774853","190255774853","68950000000","12.7","1.9","23.5","9.7","0.7","8.7","36.0","1.96","22.3","10.9","16.3","0.86","3.1","15.0","11.2","5.2","322828000000","208620000000","19669000000","6","1","10","61661000000","3460000000","130.5","114208000000","214619000000","159876000000","17568000000","54743000000","88619000000","0.9","4.1","184","108208000000","102300000000","102799000000","32","21152000000","86735000000","25156000000","6690000000","110000000","-249000000","-5512000000","15325000000","9831000000","-","311047974","11797","23619056","1763414","612"
