"åàéZîNìx","åàéZélîºä˙","îÑè„çÇ","îÑè„å¥âø","îÑè„ëçóòâv","îÑè„ëçóòâvó¶","îÃä«îÔ","âcã∆óòâv","âcã∆óòâvó¶","EBITDA","åoèÌóòâv","ñ@êlê≈ìô","é¿éøé¿å¯ê≈ó¶","êeâÔé–Ç…ãAëÆÇ∑ÇÈèÉóòâv","èÉóòâvó¶","EPS","BPS","äÈã∆âøíl","éûâøëçäz","èÉóLóòéqïâç¬","PERÅiâÔó\Åj","PBR","PER Å~ PBR","EV/EBITDAÅiâÔó\Åj","PSR","PCFR","àÍäîìñÇΩÇËîzìñã‡","îzìñóòâÒÇËÅié¿ê—Åj","îzìñê´å¸","é©å»éëñ{îzìñó¶","ROE","ëçéëéYâÒì]ó¶","ç‡ñ±ÉåÉoÉåÉbÉW","é¿éøROE","ROIC","ROA","ëçéëéY","ó¨ìÆéëéY","åªã‡ãyÇ—óaã‡","åªã‡/ëçéëéY","åªã‡/åéä‘îÑè„","åªã‡/éûâøëçäz","îÑä|ã‡Ç®ÇÊÇ—éÛéÊéËå`","êªïiÇ®ÇÊÇ—édä|ïi","ó¨ìÆî‰ó¶","å≈íËéëéY","ïâç¬","ó¨ìÆïâç¬","îÉä|ã‡Ç®ÇÊÇ—éxï•éËå`","å≈íËïâç¬","óLóòéqïâç¬","D/EÉåÉVÉI","ÉlÉbÉgDèÉóòâvî{ó¶","é©å»äîí≤êÆçœïâç¬î‰ó¶","èÉéëéY","äîéÂéëñ{","é©å»éëñ{","é©å»éëñ{î‰ó¶","éëñ{ã‡","óòâvèËó]ã‡","âcã∆CF","å∏âøèûãpîÔ","ÇÃÇÍÇÒèûãpîÔ","ìäéëCF","ç‡ñ±CF","ÉtÉäÅ[CF","ê›îıìäéëäz","å§ãÜäJî≠îÔ","î≠çsçœäîéÆëçêî","è]ã∆àıêî","îÑè„/è]ã∆àıêî","âcóò/è]ã∆àıêî","äîâø"
"2021","4","1978967000000","1596068000000","382899000000","19.3","536836000000","-153938000000","-","-","-179501000000","-85977000000","47.6","-94948000000","-","-251.7","6348.6","6565837398740","2682167398740","3883670000000","-","1.1","-","-","1.3","11.5","100.0","1.41","-39.7","1.6","-","0.22","3.8","-","-","-","9091424000000","907001000000","171194000000","2","1","6","-","18006000000","53.7","8184423000000","6673313000000","1688558000000","47876000000","4984754000000","4054864000000","1.7","-40.9","276","2418110000000","2338255000000","2394928000000","26","200000000000","2047407000000","190506000000","392626000000","-","-526358000000","304642000000","-392549000000","583055000000","-","377238734","-","-","-","7110"
"2020","4","1764584000000","1724644000000","39940000000","2.3","560298000000","-520358000000","-","-","-579798000000","-120890000000","17.2","-577900000000","-","-1531.9","6719.9","6371555253646","2957185253646","3414370000000","-","1.2","-","-","1.7","-48.3","100.0","1.28","-6.5","1.5","-","0.2","3.5","-","-","-","8916420000000","898406000000","198130000000","2","1","7","470611000000","83646000000","44.2","8018013000000","6359058000000","2032849000000","52909000000","4326209000000","3612500000000","1.4","-5.9","248","2557361000000","2472539000000","2535027000000","28","200000000000","2181570000000","-189968000000","388828000000","-","-749397000000","983385000000","-882168000000","692200000000","23500000000","377240114","71973","24517305","-7229906","7839"
"2019","4","2946639000000","1933703000000","1012936000000","34.4","632094000000","380841000000","12.9","755583000000","339525000000","85686000000","30.2","198428000000","6.7","526.0","8340.0","5766390822272","3084323822272","2682067000000","11.6","1.0","11.4","6.9","1.0","4.8","165.0","2.02","31.4","2.0","6.3","0.35","2.7","6.3","4.9","2.3","8537059000000","857624000000","153967000000","2","1","5","516388000000","69650000000","55.4","7679435000000","5363632000000","1549236000000","47981000000","3814395000000","2836034000000","0.9","13.5","169","3173427000000","3100618000000","3146196000000","37","200000000000","2809369000000","548692000000","374742000000","-","-701601000000","43409000000","-205869000000","754561000000","35600000000","377241172","71812","41032683","5303306","8176"
"2018","4","3002043000000","1921527000000","1080516000000","36.0","595655000000","484860000000","16.2","853582000000","443267000000","131294000000","30.6","295216000000","9.8","774.5","8046.9","6734216727400","4070794727400","2663422000000","14.1","1.3","18.7","7.9","1.4","6.2","150.0","1.4","19.4","1.9","9.6","0.36","2.7","9.6","6.0","3.5","8359676000000","978775000000","173908000000","2","1","4","533453000000","60252000000","68.0","7380364000000","5265297000000","1438975000000","64610000000","3826322000000","2837330000000","0.9","9.0","170","3094378000000","2996473000000","3067174000000","37","200000000000","2705184000000","663801000000","368722000000","-","-594425000000","-120693000000","9335000000","654466000000","20700000000","381160555","72402","41463537","6696776","10680"
"2017","4","2950156000000","1891897000000","1058259000000","35.9","576963000000","481295000000","16.3","849292000000","439969000000","130104000000","30.9","288957000000","9.8","750.5","7426.9","6395702459270","3796826459270","2598876000000","13.3","1.3","17.6","7.6","1.3","5.8","140.0","1.42","18.7","1.9","10.1","0.36","2.8","10.1","6.1","3.5","8147676000000","951898000000","255102000000","3","1","7","475522000000","62060000000","66.4","7195580000000","5263124000000","1434328000000","59536000000","3828795000000","2853978000000","1.0","9.0","182","2884552000000","2787347000000","2859330000000","35","200000000000","2496074000000","704194000000","367997000000","-","-541857000000","-135100000000","123687000000","580507000000","-","384995585","73193","40306532","6575697","9862"
"2016","4","2880802000000","1852221000000","1028581000000","35.7","562271000000","466309000000","16.2","830438000000","412311000000","124831000000","30.9","277925000000","9.6","714.9","6825.5","6446593855642","3768544855642","2678049000000","14.2","1.4","20.1","7.9","1.3","6.0","130.0","1.34","18.2","1.9","10.5","0.36","3.0","10.5","6.2","3.5","7911114000000","915625000000","208295000000","3","1","6","449434000000","50860000000","68.5","6995384000000","5235761000000","1337390000000","46834000000","3898370000000","2886344000000","1.1","9.6","195","2675353000000","2590575000000","2653420000000","34","200000000000","2298925000000","652906000000","364129000000","-","-557538000000","-116280000000","114690000000","538216000000","-","388750243","73063","39429013","6382287","9694"
"2015","4","2867199000000","1841025000000","1026174000000","35.8","538352000000","487821000000","17.0","847336000000","428902000000","138298000000","35.9","245309000000","8.6","626.0","6232.4","6391946714161","3805981714161","2585965000000","15.0","1.6","23.4","7.8","1.3","6.2","130.0","1.34","20.8","2.1","10.0","0.37","3.2","10.0","6.6","3.1","7789762000000","934518000000","239477000000","3","1","6","439443000000","47833000000","66.5","6855243000000","5327225000000","1404960000000","48803000000","3922264000000","2825442000000","1.2","10.5","216","2462537000000","2393361000000","2442129000000","31","200000000000","2101844000000","673109000000","359515000000","-","-499575000000","-110265000000","102803000000","570306000000","-","391844097","73053","39248203","6677631","9713"
"2014","4","2756165000000","1806181000000","949984000000","34.5","522462000000","427521000000","15.5","780771000000","361977000000","133742000000","42.4","180397000000","6.5","459.2","5818.2","6468698349920","3787045349920","2681653000000","18.9","1.7","31.4","8.3","1.4","6.8","120.0","1.24","26.1","2.1","7.9","0.36","3.3","7.9","5.8","2.4","7605690000000","855785000000","76341000000","1","0","2","422432000000","52855000000","63.9","6749903000000","5300714000000","1340078000000","49850000000","3960636000000","2757994000000","1.2","14.9","230","2304976000000","2207795000000","2285659000000","30","200000000000","1915382000000","622762000000","353250000000","-","-476844000000","-86636000000","69591000000","553171000000","-","392847028","73329","37586289","5830176","9640"
"2013","4","2702916000000","1794501000000","908415000000","33.6","501622000000","406793000000","15.1","754835000000","332518000000","123580000000","38.1","199939000000","7.4","507.0","5529.4","5568088589836","2999583589836","2568505000000","-","1.4","-","-","-","8.6","120.0","1.58","23.7","2.2","9.2","0.36","3.4","9.2","5.9","2.7","7428303000000","804888000000","87248000000","1","0","3","401129000000","67392000000","60.7","6623378000000","5228946000000","1325964000000","49546000000","3902981000000","2655753000000","1.2","12.8","237","2199357000000","2150471000000","2180632000000","29","200000000000","1858007000000","562763000000","348042000000","-","-474697000000","-91367000000","6317000000","556446000000","-","394370706","73551","36748868","5530761","7606"
"2012","4","2671822000000","1791690000000","880132000000","32.9","482569000000","397562000000","14.9","744369000000","317487000000","127715000000","42.0","175384000000","6.6","443.6","5135.8","5510171572360","3052469572360","2457702000000","17.5","1.5","26.4","7.5","1.2","5.9","120.0","1.55","27.1","2.3","8.6","0.37","3.6","8.6","5.9","2.4","7223204000000","738159000000","96439000000","1","0","3","343798000000","62931000000","57.9","6484964000000","5175011000000","1274164000000","59940000000","3900847000000","2554141000000","1.3","14.0","252","2048192000000","2006272000000","2030665000000","28","200000000000","1713025000000","588529000000","346807000000","-","-465951000000","-101151000000","80630000000","507899000000","-","395397613","73017","36591780","5444787","7720"
