"決算年度","決算四半期","売上高","売上原価","売上総利益","売上総利益率","販管費","営業利益","営業利益率","EBITDA","経常利益","法人税等","実質実効税率","親会社に帰属する純利益","純利益率","EPS","BPS","企業価値","時価総額","純有利子負債","PER（会予）","PBR","PER × PBR","EV/EBITDA（会予）","PSR","PCFR","一株当たり配当金","配当利回り（実績）","配当性向","自己資本配当率","ROE","総資産回転率","財務レバレッジ","実質ROE","ROIC","ROA","総資産","流動資産","現金及び預金","現金/総資産","現金/月間売上","現金/時価総額","売掛金および受取手形","製品および仕掛品","流動比率","固定資産","負債","流動負債","買掛金および支払手形","固定負債","有利子負債","D/Eレシオ","ネットD純利益倍率","自己株調整済負債比率","純資産","株主資本","自己資本","自己資本比率","資本金","利益剰余金","営業CF","減価償却費","のれん償却費","投資CF","財務CF","フリーCF","設備投資額","研究開発費","発行済株式総数","従業員数","売上/従業員数","営利/従業員数","株価"
"2021","4","5690606000000","2889116000000","2801490000000","49.2","1836843000000","985746000000","17.3","1709190000000","880363000000","296411000000","33.7","517517000000","9.1","109.9","355.9","11174759831884","6722026831884","4452733000000","13.4","4.0","53.9","6.6","1.2","5.5","86.0","6.02","78.2","24.2","30.9","0.45","7.6","30.9","9.0","4.1","12707913000000","4131076000000","1546792000000","12","3","23","2128934000000","136247000000","77.3","8576837000000","9819567000000","5342753000000","1462619000000","4476814000000","5999525000000","3.6","8.6","340","2888346000000","1675200000000","1675200000000","13","204309000000","1167903000000","1215918000000","723444000000","-","-957693000000","-305072000000","506826000000","709092000000","-","4707301703","-","-","-","1428"
"2020","4","5205537000000","2701790000000","2503747000000","48.1","1522975000000","970770000000","18.6","1667112000000","847699000000","299979000000","35.4","491287000000","9.4","104.8","322.7","10849209636295","6741509636295","4107700000000","13.8","4.5","61.3","6.5","1.3","5.7","86.0","5.98","82.0","26.7","32.5","0.43","8.1","29.8","9.3","4.0","12226660000000","4033845000000","1584892000000","13","4","24","2082223000000","119411000000","76.2","8192815000000","9475960000000","5293636000000","1624048000000","4182324000000","5692592000000","3.8","8.4","328","2750700000000","1512212000000","1512212000000","12","204309000000","1066228000000","1338949000000","696342000000","-","-511295000000","-388462000000","658672000000","680277000000","16457000000","4686485670","47313","110023397","20518039","1439"
"2019","4","4861247000000","2536837000000","2324410000000","47.8","1418815000000","911725000000","18.8","1586966000000","811195000000","304527000000","37.5","473135000000","9.7","99.8","211.0","10455148036165","6516704036165","3938444000000","13.6","6.5","88.4","6.6","1.4","5.6","85.0","6.18","85.2","40.3","47.3","0.5","9.8","44.2","10.0","4.8","9792258000000","3364303000000","1143808000000","12","3","18","1800301000000","96896000000","74.8","6427955000000","8084694000000","4496609000000","1253766000000","3588085000000","5082252000000","5.1","8.3","455","1707564000000","1000546000000","1000546000000","10","204309000000","1003554000000","1249535000000","675241000000","-","-900145000000","-143613000000","684054000000","565481000000","14671000000","4741145170","37821","128533011","24106317","1375"
"2018","4","4656815000000","2495972000000","2160843000000","46.4","1339656000000","818188000000","17.6","1322670000000","746113000000","251949000000","33.8","462455000000","9.9","96.6","313.0","8522900026990","5969570026990","2553330000000","14.2","4.0","56.6","7.1","1.6","6.5","37.5","3.01","38.8","12.0","30.9","0.58","5.4","30.9","11.3","5.8","8036328000000","2965692000000","938388000000","12","2","16","1695952000000","132820000000","89.4","5070636000000","6013761000000","3316999000000","1214190000000","2696762000000","3491718000000","2.3","5.5","297","2022567000000","1498157000000","1498157000000","19","204309000000","1178282000000","965526000000","504482000000","-","-586272000000","-429158000000","552210000000","413316000000","14129000000","4787145170","23059","201952166","35482371","1247"
"2017","4","3582635000000","2040770000000","1541865000000","43.0","893522000000","637933000000","17.8","1115214000000","597554000000","196149000000","32.8","400749000000","11.2","86.9","187.9","-","-","4174846000000","-","-","-","-","-","-","181.4","-","208.8","96.6","46.3","0.68","6.1","46.3","8.6","7.6","5305567000000","1569080000000","121043000000","2","0","-","1186754000000","89049000000","46.2","3736487000000","4420307000000","3397474000000","841536000000","1022833000000","4295889000000","5.0","10.4","499","885260000000","866573000000","866298000000","16","197694000000","458230000000","726598000000","477281000000","-","-621391000000","-55073000000","353594000000","373004000000","6759000000","4610948240","20220","177182740","31549604","-"
"2016","4","3203224000000","1881168000000","1601888000000","50.0","923229000000","678659000000","21.2","1143622000000","636555000000","195239000000","34.9","441189000000","13.8","-","-","-","-","1963329000000","-","-","-","-","-","-","-","-","0.0","-","28.7","0.86","2.4","28.7","13.6","11.8","3739107000000","1382504000000","49735000000","1","0","-","489176000000","72056000000","67.7","3308544000000","3145267000000","2042458000000","158541000000","1102809000000","2013064000000","1.3","4.5","203","1545781000000","1538814000000","1538814000000","41","177251000000","397788000000","890844000000","464963000000","-","-440152000000","-533135000000","890844000000","0","-","0","17176","186494178","39512052","-"
"2015","4","3158296000000","1800876000000","1609719000000","51.0","965673000000","644046000000","20.4","1084789000000","607387000000","202756000000","36.0","399520000000","12.6","-","-","-","-","1974746000000","-","-","-","-","-","-","-","-","0.0","-","26.5","0.8","2.6","26.5","12.2","10.2","3925156000000","1345938000000","132178000000","3","1","-","466122000000","91037000000","74.3","3421137000000","3258362000000","1811147000000","150331000000","-","2106924000000","1.4","4.9","216","1508713000000","1508396000000","1508396000000","38","177251000000","373064000000","772914000000","440743000000","-","333105000000","-1108274000000","772914000000","0","-","0","-","-","-","-"
"2010","4","1271679000000","-","-","-","-","397378000000","31.2","561263000000","336527000000","150697000000","46.3","174625000000","13.7","-","-","-","-","918690000000","-","-","-","-","-","-","-","-","0.0","-","14.1","0.36","2.8","14.1","9.6","5.0","3490612000000","1056139000000","408063000000","12","4","-","500668000000","38651000000","117.9","2434473000000","2255229000000","895887000000","-","1359342000000","1326753000000","1.1","5.3","183","1235383000000","1235099000000","1235383000000","35","177251000000","670372000000","623924000000","163885000000","-","-145103000000","-430985000000","478913000000","145011000000","-","0","-","-","-","-"
"2009","4","1121929000000","-","-","-","-","293127000000","26.1","468367000000","252336000000","89935000000","45.1","109632000000","9.8","-","-","-","-","1286797000000","-","-","-","-","-","-","-","-","0.0","-","10.3","0.33","3.2","10.3","7.5","3.2","3408166000000","1148789000000","360140000000","11","4","-","647340000000","25955000000","134.2","2259376000000","2347368000000","855751000000","-","1491617000000","1646937000000","1.6","11.7","221","1060797000000","1060373000000","1060797000000","31","177251000000","495646000000","417819000000","175240000000","-","-175601000000","-148686000000","241209000000","176610000000","-","0","-","-","-","-"
"2008","4","1031154000000","-","-","-","-","189365000000","18.4","365746000000","143486000000","40369000000","59.4","27620000000","2.7","-","-","-","-","1547412000000","-","-","-","-","-","-","-","-","0.0","-","2.9","0.31","3.5","2.9","5.4","0.8","3369543000000","1077054000000","266608000000","8","3","-","687872000000","32320000000","148.9","2292488000000","2418540000000","723383000000","-","1695156000000","1814020000000","1.9","56.0","254","951003000000","950740000000","951003000000","28","177251000000","386013000000","301883000000","176381000000","-","-181486000000","-90780000000","120678000000","181205000000","-","0","-","-","-","-"
