"åàéZîNìx","åàéZélîºä˙","îÑè„çÇ","îÑè„å¥âø","îÑè„ëçóòâv","îÑè„ëçóòâvó¶","îÃä«îÔ","âcã∆óòâv","âcã∆óòâvó¶","EBITDA","åoèÌóòâv","ñ@êlê≈ìô","é¿éøé¿å¯ê≈ó¶","êeâÔé–Ç…ãAëÆÇ∑ÇÈèÉóòâv","èÉóòâvó¶","EPS","BPS","äÈã∆âøíl","éûâøëçäz","èÉóLóòéqïâç¬","PERÅiâÔó\Åj","PBR","PER Å~ PBR","EV/EBITDAÅiâÔó\Åj","PSR","PCFR","àÍäîìñÇΩÇËîzìñã‡","îzìñóòâÒÇËÅié¿ê—Åj","îzìñê´å¸","é©å»éëñ{îzìñó¶","ROE","ëçéëéYâÒì]ó¶","ç‡ñ±ÉåÉoÉåÉbÉW","é¿éøROE","ROIC","ROA","ëçéëéY","ó¨ìÆéëéY","åªã‡ãyÇ—óaã‡","åªã‡/ëçéëéY","åªã‡/åéä‘îÑè„","åªã‡/éûâøëçäz","îÑä|ã‡Ç®ÇÊÇ—éÛéÊéËå`","êªïiÇ®ÇÊÇ—édä|ïi","ó¨ìÆî‰ó¶","å≈íËéëéY","ïâç¬","ó¨ìÆïâç¬","îÉä|ã‡Ç®ÇÊÇ—éxï•éËå`","å≈íËïâç¬","óLóòéqïâç¬","D/EÉåÉVÉI","ÉlÉbÉgDèÉóòâvî{ó¶","é©å»äîí≤êÆçœïâç¬î‰ó¶","èÉéëéY","äîéÂéëñ{","é©å»éëñ{","é©å»éëñ{î‰ó¶","éëñ{ã‡","óòâvèËó]ã‡","âcã∆CF","å∏âøèûãpîÔ","ÇÃÇÍÇÒèûãpîÔ","ìäéëCF","ç‡ñ±CF","ÉtÉäÅ[CF","ê›îıìäéëäz","å§ãÜäJî≠îÔ","î≠çsçœäîéÆëçêî","è]ã∆àıêî","îÑè„/è]ã∆àıêî","âcóò/è]ã∆àıêî","äîâø"
"2020","4","2106051000000","1425342000000","680709000000","32.3","508901000000","171808000000","8.2","305080000000","178036000000","68808000000","45.6","79768000000","3.8","57.5","1057.6","2210410567793","1768413567793","441997000000","24.9","1.2","30.0","7.5","0.8","8.7","34.0","2.67","59.1","3.2","5.4","0.72","2.0","5.4","4.8","2.7","2918941000000","1136776000000","221779000000","8","1","13","338640000000","481451000000","161.7","1782165000000","1424406000000","703163000000","142087000000","721243000000","663776000000","0.5","5.5","95","1494535000000","1335890000000","1467477000000","50","103389000000","1158792000000","253676000000","108369000000","24903000000","-157751000000","-95869000000","100020000000","153656000000","89745000000","1387535165","44497","47330180","3861114","1275"
"2019","4","2151646000000","1476606000000","675040000000","31.4","497776000000","177264000000","8.2","295568000000","184008000000","50206000000","32.2","103931000000","4.8","74.9","979.7","1561551655984","1061153655984","500398000000","8.3","0.8","6.5","5.3","0.5","4.3","34.0","4.45","45.4","3.5","7.6","0.76","2.1","7.6","6.1","3.7","2822277000000","1107430000000","207957000000","7","1","20","330999000000","477840000000","131.4","1714846000000","1438817000000","842531000000","131207000000","596286000000","708355000000","0.5","4.8","104","1383460000000","1302777000000","1359315000000","48","103389000000","1125738000000","124460000000","96016000000","22288000000","-318156000000","221923000000","-29662000000","154122000000","90966000000","1387491705","40689","52880287","4356558","765"
"2018","4","2170403000000","1481855000000","688548000000","31.7","478960000000","209587000000","9.7","313633000000","219976000000","60582000000","28.8","147512000000","6.8","105.7","989.5","1825355691758","1594374691758","230981000000","11.0","1.2","12.7","6.0","0.7","6.4","34.0","2.98","32.2","3.4","10.7","0.84","1.9","10.6","8.2","5.7","2575203000000","1051393000000","193893000000","8","1","12","350716000000","427346000000","154.2","1523810000000","1172493000000","681853000000","180429000000","490639000000","424874000000","0.3","1.6","83","1402710000000","1256747000000","1381485000000","54","103389000000","1077586000000","212062000000","84556000000","19490000000","-198917000000","17388000000","75856000000","136206000000","90124000000","1396124949","39283","55250439","5335310","1142"
"2017","4","2042216000000","1393111000000","649105000000","31.8","450630000000","198475000000","9.7","311938000000","212544000000","46143000000","21.1","170248000000","8.3","121.9","922.1","2098605476285","1953178476285","145427000000","11.6","1.5","17.5","6.8","1.0","6.9","34.0","2.43","27.9","3.7","13.2","0.89","1.8","13.2","9.6","7.4","2307154000000","938947000000","156318000000","7","1","8","341396000000","359687000000","159.4","1368207000000","1001939000000","589146000000","171413000000","412793000000","301745000000","0.2","0.9","77","1305214000000","1160833000000","1287387000000","56","103389000000","981934000000","249891000000","95415000000","18048000000","-110294000000","-134412000000","153619000000","96272000000","-","1396124715","34670","58904413","5724690","1399"
"2016","4","1882991000000","1296255000000","586736000000","31.2","427506000000","159229000000","8.5","268422000000","160633000000","40724000000","25.9","115000000000","6.1","82.3","824.4","1765932022240","1508390022240","257542000000","14.2","1.3","18.6","6.7","0.8","7.0","24.0","2.22","29.1","2.9","10.0","0.84","2.0","10.0","7.6","5.1","2254500000000","894545000000","145289000000","6","1","10","302751000000","346682000000","150.4","1359955000000","1086385000000","594880000000","147543000000","491506000000","402831000000","0.3","2.2","93","1168115000000","1030122000000","1151344000000","51","103389000000","850532000000","168965000000","91387000000","17806000000","-89920000000","-73959000000","77172000000","91793000000","-","1396657428","33720","55841963","4722094","1080"
"2015","4","1940914000000","1354698000000","586216000000","30.2","421013000000","165203000000","8.5","274835000000","161370000000","52978000000","36.2","91754000000","4.7","65.7","745.9","1366411616229","1062790616229","303621000000","11.8","1.0","12.0","5.0","0.5","5.3","20.0","2.63","30.4","2.7","8.8","0.88","2.1","8.8","7.5","4.1","2211729000000","856018000000","146054000000","7","1","14","280095000000","336743000000","118.0","1355711000000","1154330000000","725662000000","126653000000","428669000000","449675000000","0.4","3.3","109","1057399000000","942724000000","1041901000000","47","103389000000","763076000000","216218000000","93811000000","15821000000","-285287000000","101365000000","120704000000","95514000000","-","1396754654","32821","59136346","5033454","761"
"2014","4","1986405000000","1439344000000","547061000000","27.5","389128000000","157933000000","8.0","253311000000","166543000000","51542000000","32.5","105652000000","5.3","75.6","775.1","1750203617030","1605007617030","145196000000","15.6","1.5","23.1","6.9","0.8","8.1","19.0","1.65","25.1","2.5","9.8","0.99","1.9","9.7","7.9","5.2","2014531000000","891579000000","123821000000","6","1","8","325568000000","339678000000","175.7","1122952000000","916809000000","507449000000","151867000000","409360000000","269017000000","0.2","1.4","83","1097722000000","879014000000","1082654000000","54","103389000000","699259000000","137597000000","86058000000","9320000000","-100470000000","-74016000000","121002000000","16595000000","-","1396873470","30313","65529806","5210075","1149"
"2013","4","1897766000000","1385704000000","512062000000","27.0","368715000000","143347000000","7.6","238222000000","142865000000","61767000000","37.7","101296000000","5.3","72.5","653.1","1133361688392","980964688392","152397000000","10.0","1.1","10.8","4.8","0.5","5.1","17.0","2.42","23.5","2.6","11.1","0.99","2.1","11.1","6.7","5.3","1915089000000","890401000000","151474000000","8","1","15","316705000000","328540000000","154.4","1024689000000","989323000000","576782000000","159925000000","412541000000","303871000000","0.3","1.5","107","925766000000","815605000000","912699000000","48","103389000000","635403000000","244152000000","86052000000","8823000000","-103753000000","-105070000000","147643000000","96509000000","-","1397385596","29127","65154873","4921447","702"
"2012","4","1666640000000","1239452000000","427188000000","25.6","335228000000","91960000000","5.5","178999000000","95125000000","28399000000","34.5","53712000000","3.2","38.4","581.1","1149617603436","877692603436","271925000000","17.6","1.1","19.0","6.5","0.5","6.4","14.0","2.23","36.4","2.4","6.6","0.93","2.2","6.6","5.3","3.0","1800170000000","819469000000","109513000000","6","1","12","306222000000","309678000000","135.9","980702000000","975719000000","602864000000","172630000000","372855000000","381438000000","0.5","5.1","118","824451000000","733918000000","812080000000","45","103389000000","553557000000","126008000000","80050000000","6989000000","-278518000000","166244000000","22025000000","103983000000","-","1397599687","28363","58761062","3242252","628"
"2011","4","1573230000000","1178968000000","394261000000","25.1","290003000000","104258000000","6.6","183877000000","107567000000","37981000000","40.0","55766000000","3.5","39.9","505.7","795458897622","714219897622","81239000000","13.5","1.0","13.6","4.3","0.4","5.4","14.0","2.74","35.1","2.8","7.9","1.12","2.0","7.9","7.4","4.0","1410568000000","721770000000","102875000000","7","1","14","266056000000","279206000000","160.5","688798000000","691283000000","449600000000","143194000000","241683000000","184114000000","0.3","1.5","96","719285000000","696805000000","706846000000","50","103389000000","516401000000","141260000000","78440000000","1179000000","-89503000000","-91030000000","64601000000","76659000000","-","1397690602","-","-","-","511"
