"åàéZîNìx","åàéZélîºä˙","îÑè„çÇ","îÑè„å¥âø","îÑè„ëçóòâv","îÑè„ëçóòâvó¶","îÃä«îÔ","âcã∆óòâv","âcã∆óòâvó¶","EBITDA","åoèÌóòâv","ñ@êlê≈ìô","é¿éøé¿å¯ê≈ó¶","êeâÔé–Ç…ãAëÆÇ∑ÇÈèÉóòâv","èÉóòâvó¶","EPS","BPS","äÈã∆âøíl","éûâøëçäz","èÉóLóòéqïâç¬","PERÅiâÔó\Åj","PBR","PER Å~ PBR","EV/EBITDAÅiâÔó\Åj","PSR","PCFR","àÍäîìñÇΩÇËîzìñã‡","îzìñóòâÒÇËÅié¿ê—Åj","îzìñê´å¸","é©å»éëñ{îzìñó¶","ROE","ëçéëéYâÒì]ó¶","ç‡ñ±ÉåÉoÉåÉbÉW","é¿éøROE","ROIC","ROA","ëçéëéY","ó¨ìÆéëéY","åªã‡ãyÇ—óaã‡","åªã‡/ëçéëéY","åªã‡/åéä‘îÑè„","åªã‡/éûâøëçäz","îÑä|ã‡Ç®ÇÊÇ—éÛéÊéËå`","êªïiÇ®ÇÊÇ—édä|ïi","ó¨ìÆî‰ó¶","å≈íËéëéY","ïâç¬","ó¨ìÆïâç¬","îÉä|ã‡Ç®ÇÊÇ—éxï•éËå`","å≈íËïâç¬","óLóòéqïâç¬","D/EÉåÉVÉI","ÉlÉbÉgDèÉóòâvî{ó¶","é©å»äîí≤êÆçœïâç¬î‰ó¶","èÉéëéY","äîéÂéëñ{","é©å»éëñ{","é©å»éëñ{î‰ó¶","éëñ{ã‡","óòâvèËó]ã‡","âcã∆CF","å∏âøèûãpîÔ","ÇÃÇÍÇÒèûãpîÔ","ìäéëCF","ç‡ñ±CF","ÉtÉäÅ[CF","ê›îıìäéëäz","å§ãÜäJî≠îÔ","î≠çsçœäîéÆëçêî","è]ã∆àıêî","îÑè„/è]ã∆àıêî","âcóò/è]ã∆àıêî","äîâø"
"2021","4","553831000000","495711000000","58120000000","10.5","23654000000","34465000000","6.2","53189000000","35432000000","11314000000","33.0","22636000000","4.1","387.0","4204.6","244203258440","233401258440","10802000000","10.6","0.9","10.1","4.7","0.4","5.7","110.0","2.76","28.4","2.6","9.2","1.2","1.9","9.2","7.7","4.9","462467000000","238542000000","42743000000","9","1","18","-","-","169.4","223924000000","213742000000","140797000000","74558000000","72945000000","53545000000","0.2","0.5","86","248725000000","235519000000","245955000000","53","28619000000","203301000000","43692000000","18172000000","552000000","-14938000000","-24491000000","28254000000","15438000000","-","58496556","-","-","-","3990"
"2020","4","533870000000","479119000000","54750000000","10.3","20821000000","33928000000","6.4","51144000000","34997000000","12394000000","34.2","23540000000","4.4","389.1","3883.0","312842067820","294034067820","18808000000","13.4","1.3","16.7","6.4","0.6","7.5","110.0","2.26","28.3","2.8","10.0","1.17","1.9","9.7","7.4","5.2","456830000000","236403000000","36619000000","8","1","12","187890000000","4016000000","176.4","220427000000","219794000000","133986000000","72385000000","85808000000","55427000000","0.2","0.8","89","237035000000","229922000000","234923000000","51","28619000000","196879000000","25043000000","16665000000","551000000","-15296000000","-7113000000","1401000000","23642000000","-","60500837","31121","17154654","1090196","4860"
"2019","4","569461000000","508172000000","61289000000","10.8","20914000000","40374000000","7.1","58551000000","40119000000","12467000000","32.5","25619000000","4.5","423.4","3493.6","258887227705","244126227705","14761000000","10.1","1.2","11.7","4.7","0.4","5.8","105.0","2.6","24.8","3.0","12.1","1.31","2.1","11.6","10.7","5.9","434052000000","223082000000","34763000000","8","1","14","174525000000","3792000000","154.2","210969000000","219847000000","144668000000","77319000000","75179000000","49524000000","0.2","0.6","99","214204000000","212145000000","211368000000","49","28619000000","179378000000","22317000000","17541000000","636000000","-12772000000","-10721000000","2680000000","19637000000","-","60502163","31496","18080423","1281877","4035"
"2018","4","572516000000","512380000000","60136000000","10.5","20889000000","39247000000","6.9","54847000000","39184000000","12624000000","31.1","27470000000","4.8","454.0","3242.6","338637166000","326723166000","11914000000","13.4","1.7","22.3","6.4","0.6","8.2","110.0","2.04","24.2","3.4","14.0","1.4","2.1","13.4","10.9","6.7","409513000000","204793000000","35782000000","9","1","11","155204000000","3496000000","147.7","204719000000","211157000000","138634000000","78889000000","72522000000","47696000000","0.2","0.4","102","198355000000","193193000000","196190000000","48","28619000000","160414000000","49587000000","14456000000","1144000000","-9812000000","-31757000000","33191000000","16396000000","-","60504290","31137","18386999","1260462","5400"
"2017","4","531956000000","480189000000","51766000000","9.7","20185000000","31581000000","5.9","47457000000","31125000000","10351000000","34.5","19402000000","3.6","320.7","2956.1","358590241790","318871241790","39719000000","17.5","1.8","31.2","8.2","0.6","9.4","51.0","1.42","72.0","1.7","10.8","1.32","2.2","10.3","8.6","4.8","402010000000","194251000000","28812000000","7","1","9","150559000000","3536000000","138.7","207759000000","219797000000","140072000000","76792000000","79725000000","68531000000","0.4","2.0","115","182212000000","172204000000","178862000000","44","28619000000","139622000000","22759000000","14553000000","1323000000","-10735000000","-10212000000","7896000000","14863000000","-","60506877","30575","17398397","1032903","5270"
"2016","4","510027000000","463563000000","46463000000","9.1","19376000000","27086000000","5.3","43518000000","28066000000","10155000000","35.7","18208000000","3.6","300.9","2639.5","249813654975","204246654975","45567000000","11.7","1.3","14.9","5.9","0.4","6.0","12.0","1.78","19.9","0.5","11.4","1.33","2.4","10.8","7.3","4.7","383448000000","179484000000","26195000000","7","1","13","135506000000","3046000000","140.8","203963000000","220566000000","127504000000","72742000000","93062000000","71762000000","0.4","2.5","129","162881000000","156770000000","159737000000","42","28619000000","124120000000","37990000000","14897000000","1535000000","-10750000000","-22472000000","26151000000","11839000000","-","60517527","31595","16142649","857288","3375"
"2015","4","489441000000","446451000000","42989000000","8.8","18671000000","24317000000","5.0","39620000000","20706000000","8108000000","38.2","12911000000","2.6","213.3","2388.1","220373104242","155552104242","64821000000","11.4","1.1","12.3","5.9","0.3","5.4","11.0","2.14","25.8","0.5","8.9","1.32","2.6","8.4","7.0","3.5","371243000000","165780000000","21806000000","6","1","14","127364000000","2883000000","134.1","205463000000","223487000000","123580000000","70980000000","99906000000","86627000000","0.6","5.0","143","147756000000","143432000000","144544000000","39","28619000000","110754000000","7078000000","13600000000","1703000000","-22805000000","-830000000","-10918000000","17996000000","-","60526111","30926","15826198","786296","2570"
"2014","4","481291000000","443024000000","38266000000","8.0","17013000000","21253000000","4.4","33711000000","21459000000","9811000000","44.2","11750000000","2.4","195.2","2363.2","197971120381","157441120381","40530000000","13.1","1.1","14.5","6.1","0.3","6.4","10.0","1.91","25.6","0.4","8.3","1.28","2.6","7.8","5.2","3.1","375184000000","171511000000","38777000000","10","1","25","114476000000","2971000000","120.1","203672000000","229801000000","142853000000","68039000000","86947000000","79307000000","0.6","3.4","149","145383000000","132467000000","142283000000","38","28619000000","100356000000","43611000000","12458000000","-","-18139000000","-15604000000","21631000000","21980000000","-","60206929","30754","15649704","691065","2615"
"2013","4","434445000000","402670000000","31775000000","7.3","15206000000","16568000000","3.8","28715000000","15094000000","6269000000","40.2","9153000000","2.1","152.0","2160.8","176826885365","116524885365","60302000000","-","0.9","-","-","-","9.6","9.0","2.33","29.6","0.4","7.0","1.27","2.6","6.6","4.7","2.7","343421000000","153572000000","27288000000","8","1","23","111194000000","2753000000","122.6","189849000000","210278000000","125234000000","61139000000","85043000000","87590000000","0.7","6.6","148","133143000000","125562000000","130123000000","38","28619000000","93748000000","19550000000","12147000000","-","-19069000000","1143000000","766000000","18784000000","-","60219579","30410","14286255","544821","1935"
"2012","4","401658000000","371180000000","30477000000","7.6","12645000000","17831000000","4.4","29452000000","17951000000","6537000000","39.0","9717000000","2.4","161.3","1972.3","175697568302","125886568302","49811000000","11.8","1.1","12.5","5.7","0.3","5.6","9.0","2.15","27.9","0.5","8.2","1.29","2.6","7.6","5.9","3.1","311998000000","138421000000","23958000000","8","1","19","101520000000","1359000000","117.3","173577000000","190137000000","117956000000","54800000000","72181000000","73769000000","0.6","5.1","146","121860000000","119504000000","118796000000","38","28619000000","87665000000","20653000000","11621000000","-","-13486000000","-6644000000","4411000000","16242000000","-","60232808","27947","14372133","638029","2090"
"2011","4","395977000000","366101000000","29875000000","7.5","11388000000","18487000000","4.7","30083000000","18263000000","9134000000","49.7","9097000000","2.3","146.5","1796.0","149799841924","100565841924","49234000000","8.9","0.9","8.0","4.8","0.3","4.4","9.0","2.78","30.7","0.5","8.2","1.28","2.8","7.8","5.1","2.9","309484000000","141070000000","21471000000","7","1","21","105642000000","-","116.1","168413000000","195603000000","121551000000","57663000000","74051000000","70705000000","0.6","5.4","164","113880000000","115493000000","111492000000","36","28619000000","80643000000","16374000000","11596000000","-","-12363000000","-83000000","6166000000","10208000000","-","62077680","-","-","-","1620"
"2010","4","373209000000","343696000000","29512000000","7.9","10765000000","18747000000","5.0","29953000000","17572000000","7043000000","45.6","8203000000","2.2","132.1","1691.9","169347066096","123554066096","45793000000","12.1","1.2","14.2","5.4","0.3","5.8","9.0","2.26","34.1","0.5","7.8","1.31","2.7","7.4","6.9","2.9","285939000000","118984000000","17975000000","6","1","15","89822000000","-","120.5","166955000000","178874000000","98733000000","48527000000","80141000000","63768000000","0.6","5.6","159","107065000000","109039000000","105045000000","37","28619000000","74171000000","30151000000","11206000000","-","-12306000000","-16408000000","18562000000","11589000000","-","62087470","-","-","-","1990"
"2009","4","387364000000","354437000000","32927000000","8.5","11198000000","21728000000","5.6","32488000000","20119000000","8551000000","41.8","11788000000","3.0","189.8","1628.7","200695444880","143153444880","57542000000","11.9","1.4","16.9","6.1","0.4","6.3","9.0","1.95","23.7","0.6","11.7","1.3","2.9","11.0","7.5","4.0","297038000000","129870000000","16933000000","6","1","12","95500000000","-","121.2","167167000000","193930000000","107173000000","48029000000","86757000000","74475000000","0.7","4.9","178","103107000000","103624000000","101150000000","34","28619000000","68723000000","21044000000","10760000000","-","-16842000000","-8152000000","4078000000","16966000000","-","62105616","-","-","-","2305"
