"決算年度","決算四半期","売上高","売上原価","売上総利益","売上総利益率","販管費","営業利益","営業利益率","EBITDA","経常利益","法人税等","実質実効税率","親会社に帰属する純利益","純利益率","EPS","BPS","企業価値","時価総額","純有利子負債","PER（会予）","PBR","PER × PBR","EV/EBITDA（会予）","PSR","PCFR","一株当たり配当金","配当利回り（実績）","配当性向","自己資本配当率","ROE","総資産回転率","財務レバレッジ","実質ROE","ROIC","ROA","総資産","流動資産","現金及び預金","現金/総資産","現金/月間売上","現金/時価総額","売掛金および受取手形","製品および仕掛品","流動比率","固定資産","負債","流動負債","買掛金および支払手形","固定負債","有利子負債","D/Eレシオ","ネットD純利益倍率","自己株調整済負債比率","純資産","株主資本","自己資本","自己資本比率","資本金","利益剰余金","営業CF","減価償却費","のれん償却費","投資CF","財務CF","フリーCF","設備投資額","研究開発費","発行済株式総数","従業員数","売上/従業員数","営利/従業員数","株価"
"2021","4","11879940000","5147306000","6732633000","56.7","5843923000","888710000","7.5","1185503000","968287000","349833000","32.8","715415000","6.0","134.8","549.3","11382045261","13580559261","-2198514000","17.1","4.7","79.6","8.1","1.0","12.4","68.0","2.66","50.4","12.4","24.5","1.34","3.0","22.0","17.5","8.1","8870222000","6943798000","2370663000","27","2","17","2685330000","9219000","121.9","1926423000","5916984000","5694155000","-","222828000","172149000","0.1","-3.1","180","2953237000","2684984000","2915291000","33","262224000","2502183000","669077000","296793000","-","-278351000","-392520000","190041000","479036000","30445000","5306979","367","32370409","2421553","2559"
"2020","4","11014036000","4532503000","6481533000","58.8","5554286000","927246000","8.4","1180974000","983746000","404355000","32.8","829917000","7.5","157.3","476.7","28030984360","30503441360","-2472457000","40.4","12.1","489.9","23.9","2.8","30.2","81.0","1.4","51.5","17.0","33.0","1.34","3.3","28.5","20.8","10.1","8211659000","6648664000","2472457000","30","3","8","2556315000","4074000","117.9","1562994000","5667253000","5640164000","-","27089000","-","-","-3.0","193","2544405000","2351810000","2515553000","31","262224000","2214238000","1253362000","253728000","-","-5646000","-78821000","867742000","385620000","33012000","5277412","355","31025454","2611961","5780"
"2019","4","8943032000","3691744000","5251288000","58.7","4467420000","783867000","8.8","1027128000","835768000","238787000","33.1","542746000","6.1","104.1","329.9","10831571116","12585133116","-1753562000","18.4","7.3","134.6","9.1","1.4","13.6","65.0","2.69","62.4","19.7","31.6","1.4","3.7","24.9","31.7","8.5","6371807000","4916476000","1753562000","28","2","14","2043295000","9150000","107.5","1455330000","4601915000","4574910000","-","27004000","-","-","-3.2","207","1769892000","1586687000","1719779000","27","159677000","1723191000","698304000","226716000","16545000","-452662000","-494372000","301979000","396325000","27030000","5213394","327","27348722","2397147","2414"
"2018","4","8200997000","3292859000","4908138000","59.8","4440409000","467728000","5.7","688427000","524075000","-12893000","-2.8","467075000","5.7","88.5","312.4","8406484490","10208777490","-1802293000","20.4","6.2","126.4","12.5","1.3","14.2","105.0","2.71","59.3","33.6","28.3","1.35","3.7","24.7","29.2","7.7","6077707000","4853008000","1802293000","30","3","18","1886136000","6383000","113.0","1224698000","4370838000","4294095000","-","76742000","-","-","-3.9","224","1706868000","1529256000","1648403000","27","159677000","1457427000","674659000","211699000","9000000","-311585000","-51966000","335230000","339429000","-","5275854","278","29499989","1682475","1935"
"2017","4","7365338000","2929270000","4436067000","60.2","4292402000","143665000","2.0","351276000","172823000","36351000","23.3","119820000","1.6","22.7","220.4","6785424720","8376609720","-1591185000","83.8","7.2","604.4","22.1","1.1","27.2","25.0","0.79","55.0","11.3","10.3","1.37","4.6","8.5","9.2","2.2","5376958000","4358358000","1591185000","30","3","19","1745308000","2068000","106.3","1018600000","4153909000","4099969000","-","53940000","-","-","-13.3","281","1223048000","1110583000","1160977000","22","159677000","1056204000","639947000","207611000","-","-294073000","-79097000","281214000","358733000","-","5268308","257","28658903","559008","1590"
"2016","4","6890214000","2952114000","3859320000","56.0","3724499000","134821000","2.0","343673000","164367000","50123000","37.1","84997000","1.2","16.1","212.5","7188593200","8692708200","-1504115000","-","7.8","-","-","1.3","41.6","30.0","0.91","93.0","14.1","7.6","1.46","4.2","6.2","7.6","1.8","4711010000","3729214000","1504115000","32","3","17","1424124000","-","107.3","981795000","3527291000","3474616000","-","52675000","-","-","-17.7","245","1183718000","1069787000","1119511000","24","159677000","1015409000","705083000","208852000","-","-137043000","-408000","452231000","252852000","-","5268308","240","28709225","561754","1650"
"2015","4","5697805000","2628047000","3069757000","53.9","3691094000","-621337000","-","-","-597520000","44051000","-5.8","-797754000","-","-151.4","186.3","12145700700","13302477700","-1156777000","-","13.6","-","-","2.4","-21.4","0.0","0.0","0.0","-","-","1.4","4.1","-","-","-","4062550000","3073885000","1156777000","28","2","9","1139777000","-","101.2","988664000","3050199000","3038213000","-","11985000","-","-","1.5","241","1012350000","917622000","981504000","24","159677000","863243000","-503160000","185663000","93787000","279574000","-328041000","-937479000","434319000","-","5268308","228","24990373","-2725162","2525"
"2014","4","4533716000","2121286000","2412430000","53.2","1688017000","724413000","16.0","871419000","742783000","271795000","39.8","410443000","9.1","76.8","394.7","3580088020","5688493020","-2108405000","12.6","2.7","34.1","4.0","1.3","9.5","135.0","3.17","43.9","34.2","19.5","1.03","2.1","18.5","21.5","9.3","4414982000","3501192000","2108405000","48","6","37","533936000","-","152.8","913789000","2306777000","2291250000","-","15527000","-","-","-5.1","104","2108204000","2043346000","2108204000","48","159677000","1841267000","1033396000","147006000","-","-201671000","-252154000","694837000","338559000","-","5341308","208","21796712","3482755","1065"
"2013","4","4165109000","1913211000","2251897000","54.1","1526152000","725745000","17.4","859396000","743308000","268610000","39.7","408279000","9.8","75.9","352.3","4155905300","5684739300","-1528834000","12.7","3.0","38.3","4.9","1.4","9.8","135.0","3.19","44.4","38.3","21.6","1.1","2.0","21.5","24.1","10.8","3791896000","2249266000","1528834000","40","4","27","564640000","-","119.3","1542630000","1897817000","1884957000","-","12859000","-","-","-3.7","100","1894079000","1885069000","1894079000","50","141845000","1612251000","689269000","133651000","-","-934412000","-137638000","475915000","213354000","-","5375640","206","20218976","3523034","1058"
"2012","4","3809427000","1750128000","2059299000","54.1","1373206000","686092000","18.0","808352000","699900000","303078000","43.3","396822000","10.4","74.8","304.4","2507237390","4418853390","-1911616000","9.9","2.7","27.2","2.8","1.2","7.8","135.0","4.05","45.1","44.3","24.6","1.13","2.1","24.5","23.7","11.8","3375662000","2607066000","1911616000","57","6","43","519866000","-","149.2","768595000","1759844000","1747169000","-","12674000","-","-","-4.8","109","1615818000","1614264000","1615818000","48","120867000","1383114000","590197000","122260000","-","-292328000","-172537000","475612000","114585000","-","5307932","194","19636222","3536557","833"
