"åàéZîNìx","åàéZélîºä˙","îÑè„çÇ","îÑè„å¥âø","îÑè„ëçóòâv","îÑè„ëçóòâvó¶","îÃä«îÔ","âcã∆óòâv","âcã∆óòâvó¶","EBITDA","åoèÌóòâv","ñ@êlê≈ìô","é¿éøé¿å¯ê≈ó¶","êeâÔé–Ç…ãAëÆÇ∑ÇÈèÉóòâv","èÉóòâvó¶","EPS","BPS","äÈã∆âøíl","éûâøëçäz","èÉóLóòéqïâç¬","PERÅiâÔó\Åj","PBR","PER Å~ PBR","EV/EBITDAÅiâÔó\Åj","PSR","PCFR","àÍäîìñÇΩÇËîzìñã‡","îzìñóòâÒÇËÅié¿ê—Åj","îzìñê´å¸","é©å»éëñ{îzìñó¶","ROE","ëçéëéYâÒì]ó¶","ç‡ñ±ÉåÉoÉåÉbÉW","é¿éøROE","ROIC","ROA","ëçéëéY","ó¨ìÆéëéY","åªã‡ãyÇ—óaã‡","åªã‡/ëçéëéY","åªã‡/åéä‘îÑè„","åªã‡/éûâøëçäz","îÑä|ã‡Ç®ÇÊÇ—éÛéÊéËå`","êªïiÇ®ÇÊÇ—édä|ïi","ó¨ìÆî‰ó¶","å≈íËéëéY","ïâç¬","ó¨ìÆïâç¬","îÉä|ã‡Ç®ÇÊÇ—éxï•éËå`","å≈íËïâç¬","óLóòéqïâç¬","D/EÉåÉVÉI","ÉlÉbÉgDèÉóòâvî{ó¶","é©å»äîí≤êÆçœïâç¬î‰ó¶","èÉéëéY","äîéÂéëñ{","é©å»éëñ{","é©å»éëñ{î‰ó¶","éëñ{ã‡","óòâvèËó]ã‡","âcã∆CF","å∏âøèûãpîÔ","ÇÃÇÍÇÒèûãpîÔ","ìäéëCF","ç‡ñ±CF","ÉtÉäÅ[CF","ê›îıìäéëäz","å§ãÜäJî≠îÔ","î≠çsçœäîéÆëçêî","è]ã∆àıêî","îÑè„/è]ã∆àıêî","âcóò/è]ã∆àıêî","äîâø"
"2021","4","1128914000000","710462000000","418451000000","37.1","328814000000","94479000000","8.4","159074000000","97162000000","4859000000","5.0","92288000000","8.2","266.7","1923.7","301781559252","637020559252","-335239000000","10.1","1.0","9.7","2.0","0.6","5.0","62.0","3.37","23.2","3.2","13.9","0.89","1.9","13.9","13.5","7.3","1266420000000","834469000000","335239000000","26","4","53","168221000000","308385000000","251.3","431950000000","600680000000","332040000000","146201000000","268640000000","-","-","-3.6","90","665740000000","665628000000","665628000000","53","53204000000","480154000000","110801000000","64595000000","-","-44083000000","-51771000000","66957000000","43844000000","-","346018772","-","-","-","1841"
"2020","4","995940000000","643563000000","352377000000","35.4","290735000000","47654000000","4.8","117506000000","44933000000","13937000000","31.0","30922000000","3.1","89.4","1592.4","318755115400","622762115400","-304007000000","34.6","1.1","39.1","3.0","0.6","7.1","62.0","3.44","69.4","3.9","5.6","0.86","2.1","5.2","6.1","2.7","1161314000000","739997000000","304007000000","26","4","49","161332000000","256366000000","241.9","421317000000","608365000000","305943000000","134149000000","302421000000","-","-","-9.8","102","552949000000","550924000000","550924000000","47","53204000000","399306000000","133222000000","69852000000","-","-57448000000","23150000000","80422000000","52800000000","46400000000","345978953","79944","12457971","596092","1800"
"2019","4","1043600000000","681600000000","362000000000","34.7","321138000000","39479000000","3.8","107895000000","39713000000","31889000000","80.3","7733000000","0.7","22.4","1456.2","208477570690","404739570690","-196262000000","15.0","0.8","12.0","2.0","0.4","4.2","62.0","5.3","277.4","4.3","1.5","1.0","2.1","1.4","1.5","0.7","1040910000000","609846000000","196262000000","19","2","48","157782000000","233434000000","224.0","431064000000","534873000000","272274000000","125069000000","262598000000","-","-","-25.4","98","506037000000","503746000000","503747000000","48","53204000000","369609000000","102324000000","68416000000","-","-76131000000","-283000000","22234000000","80090000000","49200000000","345931257","75608","13802772","522154","1170"
"2018","4","1089676000000","677064000000","412612000000","37.9","342113000000","71355000000","6.5","127492000000","72040000000","17995000000","25.0","53710000000","4.9","152.5","1533.6","421803950605","597041950605","-175238000000","11.9","1.1","13.2","3.6","0.6","5.6","62.0","3.66","40.7","4.0","9.9","1.05","1.9","9.4","9.9","5.2","1038389000000","622575000000","175238000000","17","2","29","173173000000","250763000000","209.3","415814000000","495642000000","297473000000","144399000000","198169000000","-","-","-3.3","86","542747000000","540181000000","540182000000","52","53204000000","382897000000","76961000000","56137000000","-","-82738000000","-49430000000","-5114000000","82075000000","58200000000","352237139","76647","14216812","930956","1695"
"2017","4","1102120000000","701268000000","400848000000","36.4","335845000000","65003000000","5.9","114996000000","62663000000","20899000000","33.4","41836000000","3.8","118.8","1455.7","602452356349","666064356349","-63612000000","13.1","1.3","17.0","4.9","0.6","6.6","62.0","3.28","52.2","4.3","8.2","1.07","2.0","7.7","6.5","4.0","1033350000000","639172000000","229678000000","22","3","34","165282000000","223227000000","198.3","394178000000","518244000000","322387000000","154759000000","195856000000","166066000000","0.3","-1.5","95","515106000000","512726000000","512728000000","50","53204000000","358001000000","84279000000","49993000000","-","-74661000000","37000000","10674000000","73605000000","50300000000","352228639","76391","14427354","850925","1891"
"2016","4","1024860000000","658882000000","365974000000","35.7","298081000000","67892000000","6.6","111571000000","67470000000","18460000000","27.4","48320000000","4.7","137.2","1397.4","866991995624","825610995624","41381000000","17.2","1.7","28.9","8.1","0.8","9.0","60.0","2.56","43.7","4.3","9.8","1.05","2.0","9.2","7.7","5.0","974387000000","602446000000","105188000000","11","1","13","143060000000","208512000000","171.4","371940000000","479664000000","351389000000","81651000000","128275000000","146569000000","0.3","0.9","91","494722000000","492195000000","492196000000","51","53204000000","332306000000","96873000000","43679000000","-","-75759000000","-26691000000","19337000000","77536000000","52735000000","352223121","72420","14151616","937476","2344"
"2015","4","1092480000000","694821000000","397660000000","36.4","303633000000","94026000000","8.6","139949000000","91530000000","45420000000","49.6","45772000000","4.2","127.9","1307.6","689783826476","650433826476","39350000000","10.8","1.4","15.1","5.0","0.6","6.1","60.0","3.3","46.9","4.6","9.8","1.16","2.0","9.4","8.0","4.9","941340000000","601451000000","102404000000","11","1","16","140623000000","201608000000","185.1","339888000000","470663000000","325019000000","69972000000","145644000000","141754000000","0.3","0.9","96","470676000000","467818000000","467818000000","50","53204000000","292775000000","113054000000","45923000000","-","-51558000000","-67171000000","46902000000","66152000000","53172000000","357774382","67605","16159751","1390814","1818"
"2014","4","1086340000000","690416000000","395924000000","36.4","264543000000","131380000000","12.1","176287000000","132536000000","18632000000","14.1","112560000000","10.4","314.6","1381.7","837068775784","762423775784","74645000000","6.9","1.5","10.6","4.7","0.7","4.9","115.0","2.7","18.3","8.3","22.8","1.08","2.0","21.9","16.6","11.2","1006280000000","650383000000","111330000000","11","1","15","156440000000","220426000000","183.0","355898000000","508973000000","355442000000","80359000000","153531000000","185975000000","0.4","0.7","98","497308000000","494325000000","494326000000","49","53204000000","294191000000","108828000000","44907000000","-","-32735000000","-55392000000","66045000000","42783000000","47837000000","357777464","69878","15546238","1880134","2131"
"2013","4","1008407000000","680630000000","322976000000","32.0","238007000000","84968000000","8.4","124509000000","78121000000","-12025000000","-16.7","83698000000","8.3","233.9","976.4","676122882260","574237882260","101885000000","-","1.6","-","-","-","14.5","50.0","1.56","10.7","5.1","24.0","1.16","2.5","22.6","17.0","9.7","865872000000","602452000000","118570000000","14","1","21","146085000000","183627000000","192.1","263420000000","514141000000","313636000000","72821000000","200505000000","220455000000","0.6","1.2","138","351730000000","376493000000","349342000000","40","53204000000","259426000000","111253000000","38725000000","816000000","-39519000000","-56567000000","71788000000","39465000000","-","357780612","73171","13781512","1161225","1605"
"2012","4","851297000000","616857000000","234439000000","27.5","213184000000","21255000000","2.5","61446000000","17629000000","6443000000","-185.2","-10091000000","-","-28.2","717.6","327776512864","163328512864","164448000000","-","0.6","-","5.6","0.2","6.5","20.0","2.19","-35.5","2.8","-","1.09","3.0","-","2.8","-","778547000000","519457000000","106678000000","14","2","65","132289000000","163528000000","159.0","259089000000","519740000000","326688000000","57249000000","193052000000","271126000000","1.1","-16.3","186","258806000000","296376000000","256745000000","33","53204000000","179305000000","42992000000","39320000000","871000000","-39511000000","21298000000","-421000000","43413000000","-","357784256","68761","12380521","309114","457"
