"決算年度","決算四半期","売上高","売上原価","売上総利益","売上総利益率","販管費","営業利益","営業利益率","EBITDA","経常利益","法人税等","実質実効税率","親会社に帰属する純利益","純利益率","EPS","BPS","企業価値","時価総額","純有利子負債","PER（会予）","PBR","PER × PBR","EV/EBITDA（会予）","PSR","PCFR","一株当たり配当金","配当利回り（実績）","配当性向","自己資本配当率","ROE","総資産回転率","財務レバレッジ","実質ROE","ROIC","ROA","総資産","流動資産","現金及び預金","現金/総資産","現金/月間売上","現金/時価総額","売掛金および受取手形","製品および仕掛品","流動比率","固定資産","負債","流動負債","買掛金および支払手形","固定負債","有利子負債","D/Eレシオ","ネットD純利益倍率","自己株調整済負債比率","純資産","株主資本","自己資本","自己資本比率","資本金","利益剰余金","営業CF","減価償却費","のれん償却費","投資CF","財務CF","フリーCF","設備投資額","研究開発費","発行済株式総数","従業員数","売上/従業員数","営利/従業員数","株価"
"2020","4","1035898000000","705326000000","330571000000","31.9","193645000000","136925000000","13.2","208936000000","138990000000","42955000000","33.3","74681000000","7.2","342.2","4958.2","1599593054993","2032668054993","-433075000000","25.7","1.9","48.3","8.2","2.0","13.5","170.0","1.83","49.7","3.4","6.9","0.56","1.7","6.5","8.2","4.0","1864179000000","942033000000","499247000000","27","6","25","132886000000","30358000000","260.9","922145000000","634355000000","361106000000","42858000000","273248000000","66172000000","0.1","-5.8","49","1229824000000","1072832000000","1082179000000","58","66410000000","998405000000","181932000000","60759000000","11252000000","-48536000000","-49311000000","122448000000","59484000000","8059000000","218261361","59436","17428797","2303738","9313"
"2019","4","1060070000000","722546000000","337523000000","31.8","194664000000","142858000000","13.5","207996000000","151356000000","45616000000","30.9","89080000000","8.4","408.1","4742.6","1615133919340","1958668919340","-343535000000","23.6","1.9","44.7","8.2","1.9","13.2","170.0","1.89","41.7","3.6","8.6","0.58","1.8","8.0","8.8","4.9","1815121000000","914465000000","414199000000","23","5","21","141609000000","56762000000","244.3","900656000000","642627000000","374284000000","47409000000","268343000000","70664000000","0.1","-3.9","52","1172494000000","1035328000000","1035116000000","57","66401000000","960828000000","175559000000","59611000000","5527000000","-60780000000","-48209000000","100783000000","74776000000","7167000000","218260410","58404","18150640","2446031","8974"
"2018","4","1013823000000","692211000000","321611000000","31.7","191397000000","130213000000","12.8","193820000000","144889000000","39193000000","27.2","92009000000","9.1","421.6","4562.1","1791960657664","2069544657664","-277584000000","24.9","2.1","51.8","9.4","2.1","14.1","165.0","1.74","39.1","3.6","9.2","0.57","1.8","8.6","8.5","5.2","1765105000000","846759000000","350319000000","20","4","17","133659000000","67023000000","229.2","918346000000","639150000000","369458000000","45826000000","269691000000","72735000000","0.1","-3.0","53","1125954000000","981846000000","995720000000","56","66392000000","908852000000","148929000000","58103000000","5504000000","-61393000000","-54977000000","76130000000","72799000000","7334000000","218260352","56923","17810428","2287529","9482"
"2017","4","970624000000","652673000000","317950000000","32.8","182502000000","135448000000","14.0","196771000000","144318000000","45496000000","31.5","86993000000","9.0","398.6","4364.6","1488581154560","1728618154560","-240037000000","20.4","1.8","37.0","7.7","1.8","11.8","155.0","1.96","38.9","3.6","9.1","0.57","1.8","8.5","8.7","5.1","1715123000000","792094000000","317267000000","18","4","18","129984000000","70681000000","221.5","923029000000","633910000000","357544000000","43929000000","276366000000","77230000000","0.1","-2.8","55","1081213000000","924729000000","952624000000","56","66385000000","851764000000","123625000000","56459000000","4864000000","-58202000000","-50950000000","36241000000","87384000000","-","218259868","54648","17761382","2478554","7920"
"2016","4","928098000000","621412000000","306686000000","33.0","175636000000","131050000000","14.1","191107000000","147033000000","45695000000","32.2","84170000000","9.1","385.6","4086.9","1521035908343","1739315908343","-218280000000","21.1","1.9","41.2","8.0","1.9","12.2","145.0","1.82","37.6","3.5","9.4","0.56","1.8","8.7","8.7","5.1","1650176000000","761804000000","302364000000","18","4","17","119801000000","52719000000","215.2","888367000000","636922000000","353933000000","44635000000","282989000000","84084000000","0.1","-2.6","59","1013253000000","870437000000","892000000000","54","66377000000","797493000000","171121000000","55658000000","4399000000","-42964000000","-55942000000","109550000000","61571000000","-","218260247","43071","21548095","3042651","7969"
"2015","4","881028000000","586539000000","294488000000","33.4","165906000000","128582000000","14.6","180711000000","134826000000","38624000000","31.8","77039000000","8.7","353.0","3817.8","1700347996838","1825978996838","-125631000000","22.8","2.2","49.9","9.5","2.1","13.8","135.0","1.61","38.2","3.5","9.2","0.56","1.9","8.5","9.6","4.9","1568052000000","689744000000","228458000000","15","3","13","122048000000","53786000000","198.4","878293000000","624907000000","347633000000","41794000000","277274000000","102827000000","0.1","-1.6","61","943144000000","816340000000","833285000000","53","66377000000","743353000000","136734000000","49838000000","2291000000","-129247000000","-26849000000","-18372000000","155106000000","-","218261893","42687","20639258","3012205","8366"
"2014","4","840722000000","557884000000","282837000000","33.6","159222000000","123615000000","14.7","172757000000","136688000000","43119000000","33.9","75392000000","9.0","345.4","3667.3","1598955837625","1751567837625","-152612000000","22.6","2.2","49.4","9.3","2.1","13.8","125.0","1.56","36.2","3.4","9.4","0.6","1.8","8.6","9.1","5.3","1410715000000","600146000000","232221000000","16","3","13","114071000000","50228000000","242.2","810541000000","503374000000","247755000000","43160000000","255618000000","79609000000","0.1","-2.0","51","907341000000","767630000000","800446000000","57","66377000000","694688000000","130846000000","47633000000","1509000000","-65184000000","-49790000000","68777000000","62069000000","-","218263905","37943","22157499","3257913","8025"
"2013","4","822228000000","542949000000","279278000000","34.0","159259000000","120018000000","14.6","168420000000","126677000000","46375000000","37.2","69876000000","8.5","320.1","3345.1","1173873827930","1297813827930","-123940000000","-","1.8","-","-","-","26.8","115.0","1.93","35.9","3.4","9.6","0.62","1.8","8.7","9.0","5.3","1328226000000","558574000000","210514000000","16","3","16","115318000000","41790000000","217.6","769633000000","497856000000","256684000000","49409000000","241171000000","86574000000","0.1","-1.8","55","830369000000","732036000000","730116000000","55","66377000000","656286000000","117067000000","46024000000","2378000000","-89485000000","-21750000000","62623000000","54444000000","-","218266705","37241","22078569","3222738","5946"
"2012","4","765635000000","504006000000","261629000000","34.2","153258000000","108370000000","14.2","151836000000","113618000000","42958000000","38.4","63658000000","8.3","291.6","3065.1","962668365100","1058608365100","-95940000000","17.0","1.6","26.9","6.6","1.4","10.0","105.0","2.16","36.0","3.4","9.5","0.61","1.9","8.6","8.7","5.1","1249110000000","542836000000","175427000000","14","3","17","106638000000","49569000000","219.0","706241000000","484970000000","247879000000","43684000000","237091000000","79487000000","0.1","-1.5","58","764139000000","685042000000","669025000000","54","66377000000","609275000000","150474000000","41580000000","1886000000","-110502000000","-31564000000","89943000000","60531000000","-","218269766","36473","20991830","2971239","4850"
"2011","4","679173000000","458452000000","220720000000","32.5","139642000000","81078000000","11.9","121710000000","87839000000","36623000000","47.8","35489000000","5.2","162.6","2785.6","779116655300","883997655300","-104881000000","15.4","1.5","22.4","5.5","1.3","9.0","90.0","2.22","55.4","3.2","5.8","0.62","1.8","5.2","6.5","3.2","1101884000000","503479000000","182412000000","17","3","21","85744000000","60432000000","233.3","598359000000","430366000000","215780000000","30731000000","214586000000","77531000000","0.1","-3.0","58","671517000000","641034000000","608008000000","55","66377000000","565261000000","93071000000","38992000000","1640000000","-41614000000","-33846000000","37788000000","55283000000","-","218271026","-","-","-","4050"
