"åàéZîNìx","åàéZélîºä˙","îÑè„çÇ","îÑè„å¥âø","îÑè„ëçóòâv","îÑè„ëçóòâvó¶","îÃä«îÔ","âcã∆óòâv","âcã∆óòâvó¶","EBITDA","åoèÌóòâv","ñ@êlê≈ìô","é¿éøé¿å¯ê≈ó¶","êeâÔé–Ç…ãAëÆÇ∑ÇÈèÉóòâv","èÉóòâvó¶","EPS","BPS","äÈã∆âøíl","éûâøëçäz","èÉóLóòéqïâç¬","PERÅiâÔó\Åj","PBR","PER Å~ PBR","EV/EBITDAÅiâÔó\Åj","PSR","PCFR","àÍäîìñÇΩÇËîzìñã‡","îzìñóòâÒÇËÅié¿ê—Åj","îzìñê´å¸","é©å»éëñ{îzìñó¶","ROE","ëçéëéYâÒì]ó¶","ç‡ñ±ÉåÉoÉåÉbÉW","é¿éøROE","ROIC","ROA","ëçéëéY","ó¨ìÆéëéY","åªã‡ãyÇ—óaã‡","åªã‡/ëçéëéY","åªã‡/åéä‘îÑè„","åªã‡/éûâøëçäz","îÑä|ã‡Ç®ÇÊÇ—éÛéÊéËå`","êªïiÇ®ÇÊÇ—édä|ïi","ó¨ìÆî‰ó¶","å≈íËéëéY","ïâç¬","ó¨ìÆïâç¬","îÉä|ã‡Ç®ÇÊÇ—éxï•éËå`","å≈íËïâç¬","óLóòéqïâç¬","D/EÉåÉVÉI","ÉlÉbÉgDèÉóòâvî{ó¶","é©å»äîí≤êÆçœïâç¬î‰ó¶","èÉéëéY","äîéÂéëñ{","é©å»éëñ{","é©å»éëñ{î‰ó¶","éëñ{ã‡","óòâvèËó]ã‡","âcã∆CF","å∏âøèûãpîÔ","ÇÃÇÍÇÒèûãpîÔ","ìäéëCF","ç‡ñ±CF","ÉtÉäÅ[CF","ê›îıìäéëäz","å§ãÜäJî≠îÔ","î≠çsçœäîéÆëçêî","è]ã∆àıêî","îÑè„/è]ã∆àıêî","âcóò/è]ã∆àıêî","äîâø"
"2021","4","1838938000000","1325295000000","513643000000","27.9","364733000000","148910000000","8.1","277870000000","198947000000","46911000000","23.6","148414000000","8.1","413.5","8001.0","2205088000682","2469956000682","-264868000000","17.8","0.9","15.3","8.0","1.4","9.2","180.0","2.62","43.5","2.2","5.2","0.47","1.4","5.2","3.4","3.8","3917265000000","1329123000000","414129000000","11","3","17","379066000000","452506000000","246.4","2588142000000","1018992000000","539349000000","222962000000","479643000000","149261000000","0.1","-1.8","35","2898273000000","2871554000000","2871554000000","73","115703000000","1846102000000","201957000000","128960000000","-","-79457000000","-111473000000","55055000000","146902000000","-","358900901","-","-","-","6882"
"2020","4","1526897000000","1119950000000","406947000000","26.7","336303000000","70644000000","4.6","179702000000","117559000000","24209000000","20.6","90214000000","5.9","248.9","7149.9","2307238641400","2546143641400","-238905000000","28.9","1.0","28.4","12.5","1.7","12.9","140.0","1.99","56.2","2.0","3.5","0.44","1.3","3.4","1.7","2.6","3493470000000","1199764000000","386727000000","11","3","15","339621000000","345354000000","283.7","2293706000000","877360000000","422853000000","183145000000","454507000000","147822000000","0.1","-2.6","33","2616110000000","2591415000000","2591415000000","74","115703000000","1750259000000","220821000000","109058000000","-","-183792000000","-80968000000","103715000000","117106000000","75457000000","362440376","78490","19453395","900038","7025"
"2019","4","1599053000000","1157879000000","441174000000","27.6","340981000000","100193000000","6.3","192941000000","148826000000","36980000000","24.8","107721000000","6.7","297.2","6710.6","2030164704208","2322465704208","-292301000000","19.9","1.0","19.0","9.6","1.4","11.1","160.0","2.5","53.8","2.4","4.4","0.49","1.3","4.3","2.5","3.3","3250175000000","1202707000000","419620000000","13","3","18","336294000000","344304000000","302.6","2047468000000","795933000000","397509000000","173300000000","398424000000","127319000000","0.1","-2.7","32","2454242000000","2432134000000","2432134000000","75","115703000000","1686672000000","214630000000","92748000000","-","-145551000000","-157126000000","108627000000","106003000000","79241000000","362432226","75505","21178107","1326972","6408"
"2018","4","1623710000000","1159687000000","464023000000","28.6","369200000000","94823000000","5.8","158712000000","140610000000","25754000000","18.3","103210000000","6.4","285.3","6263.7","1850588783500","2351398783500","-500810000000","26.1","1.0","27.1","13.2","1.5","15.3","140.0","2.15","49.1","2.2","4.6","0.55","1.3","4.4","3.0","3.5","2968475000000","1357764000000","512814000000","17","4","22","357352000000","343880000000","362.3","1610711000000","606215000000","374748000000","186281000000","231467000000","12004000000","0.0","-4.9","25","2362260000000","2265919000000","2265919000000","76","115703000000","1638709000000","220025000000","63889000000","-","-47121000000","-89056000000","101025000000","119000000000","69900000000","361753659","76863","21124728","1233662","6500"
"2017","4","1577040000000","1200910000000","376128000000","23.9","280553000000","95575000000","6.1","178379000000","131866000000","46881000000","35.6","81789000000","5.2","222.4","6353.6","1812454379032","2207717379032","-395263000000","20.4","0.9","19.3","8.3","1.4","11.6","120.0","2.0","53.9","1.9","3.5","0.5","1.4","3.5","2.1","2.6","3157080000000","1476620000000","424938000000","13","3","19","357642000000","364875000000","351.6","1680460000000","732571000000","419986000000","149734000000","312585000000","29675000000","0.0","-4.8","30","2424510000000","2336250000000","2336250000000","74","115703000000","1675780000000","158953000000","82804000000","-","-53128000000","-51620000000","72434000000","86519000000","58273000000","367707758","75940","20766921","1258559","6004"
"2016","4","1422750000000","1049470000000","373282000000","26.2","268740000000","104542000000","7.3","181987000000","137849000000","28442000000","20.6","103843000000","7.3","282.4","6348.0","1929192199366","2280552199366","-351360000000","25.3","1.0","24.8","11.2","1.6","13.6","110.0","1.77","39.0","1.7","4.4","0.46","1.3","4.4","3.2","3.3","3110470000000","1438700000000","376195000000","12","3","16","319855000000","331155000000","394.5","1671770000000","691561000000","364661000000","129460000000","326900000000","24835000000","0.0","-3.4","28","2418910000000","2334220000000","2334220000000","75","115703000000","1638120000000","164231000000","77445000000","-","-112089000000","-47972000000","96450000000","67781000000","55411000000","367712383","70153","20280672","1490200","6202"
"2015","4","1479630000000","1093470000000","386160000000","26.1","293504000000","92656000000","6.3","183446000000","145583000000","31392000000","21.6","109047000000","7.4","297.2","6226.6","1477240530689","1818510530689","-341270000000","20.2","0.8","16.1","8.4","1.2","10.1","100.0","2.02","33.6","1.6","4.8","0.48","1.4","4.7","2.6","3.5","3095050000000","1434760000000","374020000000","12","3","21","289294000000","327875000000","390.1","1660290000000","721287000000","367832000000","115644000000","353455000000","32750000000","0.0","-3.1","30","2373760000000","2284260000000","2284262000000","74","115703000000","1571000000000","194040000000","76647000000","14143000000","-106809000000","-50608000000","125107000000","68933000000","58755000000","366857077","69229","21372980","1338399","4957"
"2014","4","1526540000000","1137140000000","389399000000","25.5","295971000000","93428000000","6.1","166422000000","121862000000","-3441000000","-2.8","115875000000","7.6","315.9","6038.6","2098438058752","2418350058752","-319912000000","24.9","1.1","27.2","10.1","1.6","14.2","100.0","1.52","31.7","1.7","5.2","0.51","1.4","5.1","4.3","3.8","3021180000000","1457550000000","351363000000","12","3","15","318542000000","354499000000","409.1","1563640000000","717561000000","356251000000","119654000000","361310000000","31451000000","0.0","-2.8","31","2303620000000","2215320000000","2215316000000","73","115703000000","1502310000000","130767000000","72994000000","-","-93608000000","-39992000000","74097000000","56670000000","55285000000","366861356","68185","22388209","1370213","6592"
"2013","4","1447370000000","1068470000000","378904000000","26.2","258322000000","120582000000","8.3","196733000000","146268000000","51254000000","35.0","88756000000","6.1","241.9","5206.5","1407746824895","1707030824895","-299284000000","20.2","0.9","18.1","7.4","1.2","10.6","120.0","1.72","41.3","2.3","4.6","0.55","1.4","4.6","3.6","3.4","2636700000000","1367440000000","335174000000","13","3","20","279904000000","335802000000","417.6","1269270000000","649478000000","327451000000","122424000000","322027000000","35890000000","0.0","-3.4","32","1987230000000","1910080000000","1910087000000","72","115703000000","1415780000000","149141000000","76151000000","-","-101141000000","-32805000000","92530000000","56611000000","48830000000","366866715","69789","20739228","1727808","4653"
"2012","4","1280050000000","952350000000","327704000000","25.6","250778000000","76926000000","6.0","150523000000","101363000000","34012000000","33.6","66473000000","5.2","181.2","4486.9","1345865814200","1616104814200","-270239000000","-","1.0","-","-","-","22.0","120.0","1.36","33.1","2.7","4.0","0.56","1.4","3.9","2.6","2.9","2282850000000","1268380000000","305454000000","13","3","19","307708000000","355238000000","388.3","1014470000000","567911000000","326630000000","111249000000","241281000000","35215000000","0.0","-4.1","32","1714940000000","1646160000000","1646155000000","72","115703000000","1368510000000","109489000000","73597000000","-","-66142000000","-31431000000","52801000000","56688000000","47519000000","366879640","71645","17866564","1073711","4405"
