"決算年度","決算四半期","売上高","売上原価","売上総利益","売上総利益率","販管費","営業利益","営業利益率","EBITDA","経常利益","法人税等","実質実効税率","親会社に帰属する純利益","純利益率","EPS","BPS","企業価値","時価総額","純有利子負債","PER（会予）","PBR","PER × PBR","EV/EBITDA（会予）","PSR","PCFR","一株当たり配当金","配当利回り（実績）","配当性向","自己資本配当率","ROE","総資産回転率","財務レバレッジ","実質ROE","ROIC","ROA","総資産","流動資産","現金及び預金","現金/総資産","現金/月間売上","現金/時価総額","売掛金および受取手形","製品および仕掛品","流動比率","固定資産","負債","流動負債","買掛金および支払手形","固定負債","有利子負債","D/Eレシオ","ネットD純利益倍率","自己株調整済負債比率","純資産","株主資本","自己資本","自己資本比率","資本金","利益剰余金","営業CF","減価償却費","のれん償却費","投資CF","財務CF","フリーCF","設備投資額","研究開発費","発行済株式総数","従業員数","売上/従業員数","営利/従業員数","株価"
"2021","4","-","-","-","-","-","-","-","-","-","-","-","142996000000","-","47.4","985.1","1554772626982","1554772626982","-","-","0.5","-","-","-","-","22.0","4.27","46.4","2.2","4.8","-","14.6","4.8","-","0.3","43412156000000","-","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","-","2972803000000","-","2972803000000","7","-","-","-","-","-","-","-","0","0","-","3017804012","-","-","-","515"
"2020","4","1617235000000","215363000000","1401872000000","86.7","1171201000000","230671000000","14.3","294517000000","230671000000","70274000000","30.5","153116000000","9.5","50.0","879.8","7332852569328","1780918569328","5551934000000","-","0.7","-","-","-","27.9","35.0","6.02","70.0","4.0","5.7","0.04","15.8","5.5","1.3","0.4","42516480000000","40020974000000","3791176000000","9","28","213","1252759000000","-","131.0","2495506000000","39760029000000","30545850000000","3228454000000","9214179000000","9343110000000","3.5","36.3","1396","2756451000000","2694938000000","2694938000000","6","594493000000","1533713000000","665770000000","63846000000","-","-139026000000","-269927000000","785645000000","-119875000000","-","3063155434","26402","61254261","8736876","581"
"2019","4","1952482000000","664653000000","1287829000000","66.0","1039568000000","248261000000","12.7","263598000000","248261000000","28894000000","11.6","216998000000","11.1","71.4","873.3","7152201354295","1391065354295","5761136000000","-","0.5","-","-","-","90.7","20.0","4.37","28.0","2.3","8.2","0.04","16.6","7.5","1.8","0.5","43999815000000","41752795000000","3501262000000","8","22","252","2272520000000","-","128.6","2247020000000","41268551000000","32458438000000","3120929000000","8810113000000","9262398000000","3.5","26.5","1387","2731264000000","2653467000000","2653467000000","6","594493000000","1645451000000","-15943000000","15337000000","-","216336000000","332062000000","-33403000000","17460000000","-","3038587493","26629","73321642","9322956","458"
"2018","4","1835118000000","718348000000","1116770000000","60.9","1154471000000","-37701000000","-","-","-37701000000","57010000000","-151.2","-100442000000","-","-30.3","794.7","7106097479760","1324982479760","5781115000000","-","0.5","-","-","-","80.3","6.0","1.5","-19.8","0.8","-","0.04","15.6","-","-","-","40969439000000","38806578000000","2976412000000","7","19","225","1341989000000","-","131.5","2162861000000","38288646000000","29514010000000","2375419000000","7915769000000","8757527000000","3.3","-57.6","1372","2680793000000","2631061000000","2631061000000","6","594493000000","1486825000000","-361165000000","16500000000","-","-112503000000","761191000000","-410597000000","49432000000","-","3310800799","27864","65859819","-1353036","400"
"2017","4","1972160000000","475189000000","1496971000000","75.9","1168810000000","328158000000","16.6","342871000000","328158000000","103866000000","31.7","219343000000","11.1","64.6","810.3","7543601435136","2087674435136","5455927000000","-","0.8","-","-","-","141.9","20.0","3.25","30.9","2.5","8.0","0.05","14.8","7.5","2.1","0.5","40591300000000","38282100000000","2670080000000","7","16","128","1658730000000","-","130.0","2309269000000","37791500000000","29458500000000","2653310000000","7382510000000","8126007000000","3.0","24.9","1278","2799820000000","2749320000000","2749316000000","7","594493000000","1696890000000","-445696000000","14713000000","-","-56172000000","373168000000","-532971000000","87275000000","-","3392937486","28048","70313748","11699872","615"
"2016","4","1715520000000","312319000000","1403201000000","81.8","1080400000000","322795000000","18.8","340378000000","322795000000","80229000000","24.9","239617000000","14.0","67.9","790.7","7435149337147","2441320337147","4993829000000","-","0.9","-","-","-","138.8","20.0","2.89","29.5","2.5","8.6","0.04","15.4","8.1","2.3","0.6","42852100000000","39964700000000","2744630000000","6","19","112","1225150000000","-","126.9","2887430000000","40008300000000","31504400000000","2575590000000","7195410000000","7738459000000","2.8","20.8","1322","2843790000000","2789920000000","2789915000000","7","594493000000","1663230000000","1305030000000","17583000000","-","-118051000000","-2130640000000","1249829000000","55201000000","-","3528429451","28186","60864259","11452317","692"
"2015","4","1723100000000","327415000000","1395685000000","81.0","1230520000000","165158000000","9.6","182645000000","165158000000","22596000000","13.7","131550000000","7.6","36.5","748.3","6934232336297","1814660336297","5119572000000","-","0.7","-","-","-","103.8","13.0","2.59","35.7","1.7","4.9","0.04","15.2","4.6","1.2","0.3","41090200000000","38325500000000","3672890000000","9","26","202","1367450000000","-","132.1","2764660000000","38347200000000","29016900000000","2026130000000","8129560000000","8792462000000","3.3","38.9","1326","2743020000000","2700240000000","2700244000000","7","594493000000","1516580000000","1238370000000","17487000000","-","-23711000000","986387000000","1139970000000","98400000000","-","3608391999","28865","59695133","5721739","503"
"2014","4","1930590000000","326412000000","1604178000000","83.1","1257420000000","346759000000","18.0","367096000000","346759000000","120780000000","34.8","224785000000","11.6","62.5","752.4","9896514613421","2541518613421","7354996000000","-","0.9","-","-","-","125.0","19.0","2.69","30.4","2.5","8.3","0.05","15.4","7.9","1.9","0.5","41783200000000","39024700000000","1643560000000","4","10","65","1490600000000","-","132.4","2758580000000","39038300000000","29484900000000","2178200000000","8336300000000","8998556000000","3.3","32.7","1348","2744950000000","2707770000000","2707778000000","6","594493000000","1437940000000","-77028000000","20337000000","-","12337000000","-178206000000","-177028000000","100000000000","-","3598865213","28672","67333636","12093994","706"
"2013","4","1831840000000","274774000000","1557066000000","85.0","1195460000000","361614000000","19.7","381003000000","361614000000","145165000000","40.1","213591000000","11.7","57.5","676.1","9436795477244","2461074477244","6975721000000","-","1.0","-","-","-","126.9","17.0","2.57","29.6","2.5","8.5","0.04","17.3","8.3","1.9","0.5","43520300000000","40779300000000","1853470000000","4","12","75","1245810000000","-","129.1","2741010000000","40967100000000","31598300000000","1722690000000","8227060000000","8829191000000","3.5","32.7","1560","2553210000000","2513680000000","2513677000000","6","594493000000","1287000000000","457426000000","19389000000","-","-103195000000","289385000000","436225000000","21201000000","-","3717635162","27670","66203108","13068811","662"
"2012","4","2079940000000","-","-","-","1575900000000","237730000000","11.4","258202000000","237730000000","132039000000","55.5","107234000000","5.2","28.9","606.1","10764243065404","2141224065404","8623019000000","-","1.0","-","-","-","104.6","8.0","1.39","27.7","1.3","4.8","0.05","16.9","4.6","0.9","0.3","37942400000000","3221039000000","1383010000000","4","8","65","-","-","485.2","2554812000000","35623500000000","663807000000","-","3236320000000","10006029000000","4.4","80.4","1491","2318980000000","2294370000000","2249278000000","6","594493000000","1136520000000","549501000000","20472000000","-","-160486000000","-701623000000","484184000000","65317000000","-","3710960252","27956","74400486","8503720","577"
